Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,63.5,,45.74,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,91.97,12.51,80.58,10.8,,
2017-11-01,2017-11-01,2018-10-01,Bullish,MACD Bullish,144.19,34.23,90.06,17.23,,
2018-10-01,2018-10-01,2019-01-01,Bullish breath,MACD Bullish breath,139.31,23.61,104.77,15.7,,
2019-01-01,2019-01-01,2019-02-01,Bullish,MACD Bullish breath,142.26,22.61,111.44,22.61,,
2019-02-01,2019-02-01,2019-09-01,Bullish,MACD Bullish,201.0,48.81,140.67,33.63,,
2019-09-01,2019-09-01,2019-10-01,Bullish breath,MACD Bullish,196.81,43.17,174.71,43.17,,
2019-10-01,2019-10-01,2019-11-01,Bullish breath,MACD Bullish breath,191.64,36.25,168.26,36.25,,
2019-11-01,2019-11-01,2020-03-01,Bullish,MACD Bullish,248.27,56.85,175.53,46.99,,
2020-03-01,2020-03-01,2020-04-01,Bullish breath,MACD Bullish breath,236.65,37.04,151.97,37.04,,
2020-04-01,2020-04-01,2020-05-01,Bullish,MACD Bullish breath,226.05,42.06,158.83,42.06,,
2020-05-01,2020-05-01,2022-01-01,Bullish,MACD Bullish,725.4,235.06,203.32,46.98,,
2022-01-01,2022-01-01,2022-06-01,Bullish breath,MACD Bullish breath,675.34,131.22,168.59,-90.37,,
2022-06-01,2022-06-01,2022-08-01,Bullish breath,MACD Bearish,349.67,-51.02,270.32,-74.24,,
2022-08-01,2022-08-01,2022-10-01,Bullish breath,MACD Bearish breath,462.99,-5.48,343.08,-11.58,,
2022-10-01,2022-10-01,2022-11-01,Bullish breath,MACD Bearish,389.59,-19.17,303.55,-19.17,,
2022-11-01,2022-11-01,2022-12-01,Bullish breath,MACD Bearish breath,376.98,-14.06,298.67,-14.06,,
2022-12-01,2022-12-01,2023-09-01,Bearish,MACD Bearish,385.96,-28.57,197.99,-88.59,,
2023-09-01,2023-09-01,2023-10-01,Bearish,MACD Bearish breath,270.76,-67.57,251.35,-67.57,,
2023-10-01,2023-10-01,2023-11-01,Bearish,MACD Bearish,256.25,-77.89,209.15,-77.89,,
2023-11-01,2023-11-01,2023-12-01,Bearish,MACD Bearish breath,263.54,-52.73,212.43,-62.48,,
