Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,21.9,,16.81,,,
2017-09-01,2017-09-01,2017-10-01,,MACD Bearish breath,15.38,0.41,13.65,0.41,,
2017-10-01,2017-10-01,2017-11-01,,MACD Bullish,15.59,0.34,13.84,0.34,,
2017-11-01,2017-11-01,2017-12-01,Bearish breath,MACD Bullish,14.98,0.27,13.22,0.27,,
2017-12-01,2017-12-01,2018-04-01,Bullish,MACD Bullish,20.25,3.5,13.81,2.37,,
2018-04-01,2018-04-01,2018-05-01,Bullish breath,MACD Bullish breath,19.7,1.55,15.12,1.55,,
2018-05-01,2018-05-01,2018-07-01,Bullish,MACD Bullish breath,18.38,1.69,14.64,1.58,,
2018-07-01,2018-07-01,2018-11-01,Bullish breath,MACD Bullish breath,18.14,1.35,10.59,-1.78,,
2018-11-01,2018-11-01,2019-03-01,Bearish,MACD Bearish,13.86,-1.87,9.6,-2.96,,
2019-03-01,2019-03-01,2019-05-01,Bearish,MACD Bearish breath,14.68,-1.44,11.78,-1.45,,
2019-05-01,2019-05-01,2019-11-01,Bearish,MACD Bearish,12.25,-2.05,8.43,-2.81,Buy - Monthly Divergence,
2019-11-01,2019-11-01,2019-12-01,Bearish,MACD Bearish breath,11.86,-1.79,9.92,-1.79,,
2019-12-01,2019-12-01,2020-02-01,Bearish breath,MACD Bearish breath,13.64,-0.59,10.7,-0.87,,
2020-02-01,2020-02-01,2020-03-01,Bearish,MACD Bearish breath,12.86,-1.45,9.2,-1.45,,
2020-03-01,2020-03-01,2020-06-01,Bearish,MACD Bearish,10.8,-2.45,4.82,-3.04,,
2020-06-01,2020-06-01,2020-09-01,Bearish breath,MACD Bearish breath,15.89,1.79,9.01,-1.14,,
2020-09-01,2020-09-01,2021-08-01,Bullish,MACD Bullish,46.1,17.59,14.67,2.53,,
2021-08-01,2021-08-01,2021-10-01,Bullish breath,MACD Bullish breath,39.2,12.86,30.02,9.92,,
2021-10-01,2021-10-01,2021-11-01,Bullish,MACD Bullish breath,39.67,10.41,30.93,10.41,,
2021-11-01,2021-11-01,2021-12-01,Bullish breath,MACD Bullish breath,41.6,9.97,35.3,9.97,,
2021-12-01,2021-12-01,2022-01-01,Bullish,MACD Bullish breath,42.77,11.39,35.61,11.39,,
2022-01-01,2022-01-01,2022-02-01,Bullish breath,MACD Bullish breath,46.2,9.7,34.94,9.7,,
2022-02-01,2022-02-01,2022-04-01,Bullish,MACD Bullish,51.99,14.81,37.52,12.7,Sell - Monthly Divergence,
2022-04-01,2022-04-01,2022-11-01,Bullish breath,MACD Bullish breath,51.85,11.32,24.8,-2.3,,
2022-11-01,2022-11-01,2023-04-01,Bullish breath,MACD Bullish,46.73,6.99,30.28,2.87,,
2023-04-01,2023-04-01,2023-07-01,Bullish breath,MACD Bullish breath,43.46,4.48,33.05,2.0,,
2023-07-01,2023-07-01,2023-09-01,Bullish breath,MACD Bullish,44.7,5.61,37.2,4.5,,
2023-09-01,2023-09-01,2023-12-01,Bullish breath,MACD Bullish breath,41.85,2.7,32.83,0.27,,
