Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,66.66,,60.21,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,109.78,20.06,92.53,17.53,,
2017-11-01,2017-11-01,2017-12-01,Bullish breath,MACD Bullish,110.01,17.65,98.91,17.65,,
2017-12-01,2017-12-01,2018-01-01,Bullish,MACD Bullish breath,114.43,17.09,99.72,17.09,,
2018-01-01,2018-01-01,2018-03-01,Bullish,MACD Bullish,121.65,19.55,96.12,18.21,,
2018-03-01,2018-03-01,2018-05-01,Bullish breath,MACD Bullish breath,123.96,17.61,97.94,12.97,,
2018-05-01,2018-05-01,2018-06-01,Bullish,MACD Bullish breath,115.33,15.23,100.39,15.23,,
2018-06-01,2018-06-01,2018-07-01,Bullish breath,MACD Bullish breath,118.56,11.16,99.84,11.16,,
2018-07-01,2018-07-01,2018-08-01,Bullish breath,MACD Bullish,122.4,15.2,100.36,15.2,Sell - Monthly Divergence,
2018-08-01,2018-08-01,2018-09-01,Bullish,MACD Bullish,119.7,15.99,108.36,15.99,,
2018-09-01,2018-09-01,2019-02-01,Bullish breath,MACD Bullish breath,119.3,9.59,80.65,-2.88,,
2019-02-01,2019-02-01,2019-04-01,Bullish breath,MACD Bullish,124.68,13.0,103.45,8.78,Sell - Monthly Divergence,
2019-04-01,2019-04-01,2019-05-01,Bullish,MACD Bullish,128.21,17.91,119.41,17.91,,
2019-05-01,2019-05-01,2019-06-01,Bullish breath,MACD Bullish breath,129.03,9.13,101.91,9.13,,
2019-06-01,2019-06-01,2020-02-01,Bullish,MACD Bullish,184.5,44.78,101.34,11.16,,
2020-02-01,2020-02-01,2020-04-01,Bullish breath,MACD Bullish breath,180.08,30.87,110.19,21.35,,
2020-04-01,2020-04-01,2020-05-01,Bullish,MACD Bullish breath,177.17,24.82,125.56,24.82,,
2020-05-01,2020-05-01,2021-09-01,Bullish,MACD Bullish,359.69,109.38,147.54,30.56,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish breath,374.6,87.96,333.9,87.96,,
2021-10-01,2021-10-01,2022-01-01,Bullish,MACD Bullish,442.44,125.47,317.99,97.24,,
2022-01-01,2022-01-01,2022-02-01,Bullish breath,MACD Bullish,457.12,109.2,344.03,109.2,,
2022-02-01,2022-02-01,2022-11-01,Bullish breath,MACD Bullish breath,405.78,80.26,250.2,8.68,,Waiting for confirmation : Buy
2022-11-01,2022-11-01,2023-05-01,Bullish breath,MACD Bullish,429.46,52.12,307.3,38.38,,
2023-05-01,2023-05-01,2023-09-01,Bullish,MACD Bullish,517.3,112.12,369.66,66.99,,
2023-09-01,2023-09-01,2023-10-01,Bullish breath,MACD Bullish,520.19,89.62,440.15,89.62,,
2023-10-01,2023-10-01,2023-11-01,Bullish breath,MACD Bullish breath,506.92,80.59,448.31,80.59,,
2023-11-01,2023-11-01,2023-12-01,Bullish,MACD Bullish,562.84,114.75,465.77,105.33,,
