Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,5.62,,4.74,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,51.97,21.29,40.68,18.63,,
2017-11-01,2017-11-01,2018-04-01,Bullish,MACD Bullish,63.62,24.14,45.15,19.43,,
2018-04-01,2018-04-01,2018-05-01,Bullish breath,MACD Bullish breath,59.81,20.08,52.58,20.08,,
2018-05-01,2018-05-01,2018-06-01,Bullish,MACD Bullish,65.12,21.16,55.55,21.16,Sell - Monthly Divergence,
2018-06-01,2018-06-01,2018-08-01,Bullish breath,MACD Bullish breath,67.3,19.25,58.31,18.5,,
2018-08-01,2018-08-01,2018-10-01,Bullish,MACD Bullish,71.31,21.82,59.68,21.28,,
2018-10-01,2018-10-01,2019-05-01,Bullish breath,MACD Bullish breath,73.19,13.78,31.11,-5.48,,
2019-05-01,2019-05-01,2019-09-01,Bullish breath,MACD Bearish,46.22,-1.59,33.15,-4.68,,
2019-09-01,2019-09-01,2019-11-01,Bullish breath,MACD Bearish breath,52.22,2.76,40.81,-0.59,,
2019-11-01,2019-11-01,2019-12-01,Bullish breath,MACD Bullish,55.35,5.89,49.65,5.89,,
2019-12-01,2019-12-01,2021-02-01,Bullish,MACD Bullish,147.27,54.07,45.17,9.09,,
2021-02-01,2021-02-01,2021-03-01,Bullish,MACD Bullish breath,153.73,43.09,129.03,43.09,,
2021-03-01,2021-03-01,2021-04-01,Bullish breath,MACD Bullish breath,139.25,39.86,115.67,39.86,,
2021-04-01,2021-04-01,2022-01-01,Bullish,MACD Bullish,346.47,125.34,134.59,43.97,,
2022-01-01,2022-01-01,2022-02-01,Bullish breath,MACD Bullish,307.11,95.8,208.88,95.8,,
2022-02-01,2022-02-01,2022-03-01,Bullish breath,MACD Bullish breath,269.25,79.41,208.9,79.41,,
2022-03-01,2022-03-01,2022-04-01,Bullish,MACD Bullish breath,289.46,81.25,206.5,81.25,,
2022-04-01,2022-04-01,2022-10-01,Bullish breath,MACD Bullish breath,275.58,41.86,119.46,-30.89,,
2022-10-01,2022-10-01,2023-01-01,Bullish breath,MACD Bearish,187.9,-17.05,108.13,-32.22,,
2023-01-01,2023-01-01,2023-02-01,Bullish breath,MACD Bearish breath,206.28,1.44,140.34,1.44,,
2023-02-01,2023-02-01,2023-03-01,Bullish breath,MACD Bullish,238.88,26.63,196.11,26.63,,
2023-03-01,2023-03-01,2023-10-01,Bullish,MACD Bullish,502.66,198.65,222.97,56.73,,
2023-10-01,2023-10-01,2023-11-01,Bullish breath,MACD Bullish,476.09,145.79,392.3,145.79,,
2023-11-01,2023-11-01,2023-12-01,Bullish,MACD Bullish,505.48,152.45,408.69,149.86,,
