Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,50.07,,44.26,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,50.77,6.59,46.24,6.52,,
2017-11-01,2017-11-01,2018-03-01,Bullish,MACD Bullish,59.25,9.89,46.72,6.23,,
2018-03-01,2018-03-01,2018-04-01,Bullish breath,MACD Bullish,53.57,8.04,49.69,8.04,,
2018-04-01,2018-04-01,2018-07-01,Bullish,MACD Bullish,60.72,8.98,50.05,8.38,,
2018-07-01,2018-07-01,2019-01-01,Bullish breath,MACD Bullish breath,56.96,7.83,44.62,0.57,,
2019-01-01,2019-01-01,2019-03-01,Bullish breath,MACD Bullish,59.97,6.02,46.32,3.83,,
2019-03-01,2019-03-01,2019-07-01,Bullish,MACD Bullish,63.27,8.14,53.65,6.77,,
2019-07-01,2019-07-01,2019-12-01,Bullish breath,MACD Bullish breath,64.02,6.23,47.88,0.45,,
2019-12-01,2019-12-01,2020-01-01,Bullish breath,MACD Bullish,59.7,3.58,53.98,3.58,,
2020-01-01,2020-01-01,2020-04-01,Bullish breath,MACD Bullish breath,61.11,2.01,35.35,-3.74,,Waiting for confirmation : Buy
2020-04-01,2020-04-01,2020-05-01,Bearish,MACD Bearish,49.18,-4.34,43.98,-4.34,,
2020-05-01,2020-05-01,2020-06-01,Bullish breath,MACD Bearish,54.08,-1.16,44.11,-1.16,,
2020-06-01,2020-06-01,2020-07-01,Bullish breath,MACD Bearish breath,58.91,1.31,54.12,1.31,,
2020-07-01,2020-07-01,2020-10-01,Bullish,MACD Bullish,66.55,5.92,55.33,4.48,,
2020-10-01,2020-10-01,2020-11-01,Bullish breath,MACD Bullish,63.14,4.19,55.39,4.19,,
2020-11-01,2020-11-01,2021-08-01,Bullish,MACD Bullish,95.97,19.84,56.97,6.73,,
2021-08-01,2021-08-01,2022-02-01,Bullish breath,MACD Bullish breath,89.39,11.83,59.58,-1.95,,
2022-02-01,2022-02-01,2022-04-01,Bullish breath,MACD Bullish,84.69,7.63,67.5,5.16,,
2022-04-01,2022-04-01,2022-08-01,Bullish breath,MACD Bullish breath,83.21,4.54,53.83,-4.37,,
2022-08-01,2022-08-01,2022-11-01,Bearish,MACD Bearish,62.36,-7.42,50.92,-10.24,,
2022-11-01,2022-11-01,2023-01-01,Bearish,MACD Bearish breath,73.35,0.29,52.25,-3.88,,
2023-01-01,2023-01-01,2023-02-01,Bullish,MACD Bearish breath,80.52,5.68,70.62,5.68,,
2023-02-01,2023-02-01,2023-04-01,Bullish,MACD Bullish,79.39,3.87,64.03,2.41,,
2023-04-01,2023-04-01,2023-05-01,Bullish breath,MACD Bullish breath,70.55,-0.32,61.95,-0.32,,
2023-05-01,2023-05-01,2023-11-01,Bearish,MACD Bearish,70.21,-1.5,58.27,-3.68,,
2023-11-01,2023-11-01,2023-12-01,Bearish,MACD Bearish breath,70.43,0.44,64.23,0.44,,
2023-12-01,2023-12-01,2023-12-01,Bearish breath,MACD Bearish breath,71.51,2.37,70.22,2.37,,
