Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,319.94,,253.01,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bearish breath,181.2,-9.26,145.25,-21.85,,
2017-11-01,2017-11-01,2018-04-01,Bearish breath,MACD Bearish breath,202.35,8.76,160.4,-2.33,,
2018-04-01,2018-04-01,2018-05-01,Bearish breath,MACD Bullish,237.0,22.46,185.95,22.46,,
2018-05-01,2018-05-01,2018-11-01,Bullish,MACD Bullish,329.95,78.39,221.05,42.48,,
2018-11-01,2018-11-01,2018-12-01,Bullish breath,MACD Bullish,320.0,61.08,271.65,61.08,,
2018-12-01,2018-12-01,2019-02-01,Bullish breath,MACD Bullish breath,282.27,37.4,230.93,28.59,,
2019-02-01,2019-02-01,2019-09-01,Bullish,MACD Bullish,444.65,121.88,242.47,50.46,,
2019-09-01,2019-09-01,2019-10-01,Bullish breath,MACD Bullish,424.94,96.32,336.06,96.32,,
2019-10-01,2019-10-01,2020-04-01,Bullish breath,MACD Bullish breath,433.62,85.34,290.02,50.22,,
2020-04-01,2020-04-01,2021-05-01,Bullish,MACD Bullish,1349.98,443.63,349.11,88.25,,
2021-05-01,2021-05-01,2021-12-01,Bullish breath,MACD Bullish breath,1231.85,369.14,435.12,-184.72,,
2021-12-01,2021-12-01,2022-01-01,Bullish breath,MACD Bearish,547.71,-170.36,438.23,-170.36,,
2022-01-01,2022-01-01,2022-09-01,Bearish,MACD Bearish,535.0,-183.66,287.0,-222.81,,
2022-09-01,2022-09-01,2023-05-01,Bearish,MACD Bearish breath,422.75,-108.23,303.18,-180.48,,
2023-05-01,2023-05-01,2023-12-01,Bearish breath,MACD Bearish breath,395.52,-44.62,296.27,-107.47,,
