Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,30.95,,27.04,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,44.69,7.47,38.34,6.41,,
2017-11-01,2017-11-01,2018-05-01,Bullish,MACD Bullish,58.09,13.2,41.43,7.31,,
2018-05-01,2018-05-01,2019-01-01,Bullish breath,MACD Bullish breath,53.25,10.19,29.4,-6.05,,
2019-01-01,2019-01-01,2019-02-01,Bullish breath,MACD Bearish,34.24,-5.82,29.01,-5.82,,
2019-02-01,2019-02-01,2019-04-01,Bearish,MACD Bearish,40.23,-2.21,29.98,-4.66,,
2019-04-01,2019-04-01,2019-05-01,Bearish,MACD Bearish breath,42.42,-1.53,37.65,-1.53,,
2019-05-01,2019-05-01,2019-06-01,Bearish,MACD Bearish,38.6,-3.16,32.61,-3.16,,
2019-06-01,2019-06-01,2019-07-01,Bearish,MACD Bearish breath,39.52,-1.61,33.89,-1.61,,
2019-07-01,2019-07-01,2019-10-01,Bearish,MACD Bearish,39.19,-2.14,29.39,-4.09,,
2019-10-01,2019-10-01,2019-12-01,Bearish,MACD Bearish breath,38.77,-1.29,32.05,-2.86,,
2019-12-01,2019-12-01,2020-02-01,Bearish breath,MACD Bearish breath,44.82,1.38,36.8,0.52,,
2020-02-01,2020-02-01,2020-05-01,Bearish,MACD Bearish,41.08,-1.61,23.43,-4.88,,
2020-05-01,2020-05-01,2020-06-01,Bearish,MACD Bearish breath,37.11,-2.35,31.12,-2.35,,
2020-06-01,2020-06-01,2020-08-01,Bearish breath,MACD Bearish breath,46.15,2.99,35.45,0.15,,
2020-08-01,2020-08-01,2021-06-01,Bullish,MACD Bullish,83.29,20.5,42.02,6.05,,
2021-06-01,2021-06-01,2022-02-01,Bullish breath,MACD Bullish breath,72.41,14.47,54.92,4.49,,
2022-02-01,2022-02-01,2022-03-01,Bullish breath,MACD Bullish,69.94,8.84,61.8,8.84,,
2022-03-01,2022-03-01,2022-04-01,Bullish,MACD Bullish,78.72,12.49,67.3,12.49,,
2022-04-01,2022-04-01,2022-09-01,Bullish breath,MACD Bullish breath,79.32,7.91,44.7,-6.58,,
2022-09-01,2022-09-01,2022-11-01,Bearish,MACD Bearish,50.09,-8.01,42.42,-8.39,,
2022-11-01,2022-11-01,2022-12-01,Bearish,MACD Bearish breath,61.89,-1.55,46.65,-1.55,,
2022-12-01,2022-12-01,2023-01-01,Bullish breath,MACD Bearish breath,63.16,1.23,59.15,1.23,,
2023-01-01,2023-01-01,2023-05-01,Bullish,MACD Bullish,82.05,13.76,60.87,8.78,,
2023-05-01,2023-05-01,2023-06-01,Bullish breath,MACD Bullish,79.82,9.25,64.66,9.25,,
2023-06-01,2023-06-01,2023-09-01,Bullish,MACD Bullish,87.59,15.14,67.05,8.93,,
2023-09-01,2023-09-01,2023-10-01,Bullish breath,MACD Bullish,83.11,11.48,71.95,11.48,,
2023-10-01,2023-10-01,2023-12-01,Bullish breath,MACD Bullish breath,77.21,7.75,68.93,6.18,,
2023-12-01,2023-12-01,2023-12-01,Bullish,MACD Bullish breath,76.78,7.27,72.53,7.27,,
