Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,4010.0,,3685.0,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,4690.0,561.34,4133.25,534.74,,
2017-11-01,2017-11-01,2018-01-01,Bullish,MACD Bullish breath,4499.95,470.64,4105.0,459.72,,
2018-01-01,2018-01-01,2018-09-01,Bullish breath,MACD Bullish breath,4416.24,406.12,3525.0,-183.02,,
2018-09-01,2018-09-01,2018-11-01,Bullish breath,MACD Bearish,3865.0,-120.94,3550.0,-190.52,,
2018-11-01,2018-11-01,2019-02-01,Bearish,MACD Bearish,3920.0,-120.92,3434.71,-229.36,,
2019-02-01,2019-02-01,2019-03-01,Bearish,MACD Bearish breath,3988.0,-51.3,3550.0,-51.3,,
2019-03-01,2019-03-01,2019-04-01,Bullish breath,MACD Bearish breath,4322.2,147.01,3772.32,147.01,,
2019-04-01,2019-04-01,2019-07-01,Bullish,MACD Bullish,4743.71,323.19,3887.0,185.85,Sell - Monthly Divergence,
2019-07-01,2019-07-01,2019-08-01,Bullish breath,MACD Bullish,4263.69,137.7,3977.1,137.7,,
2019-08-01,2019-08-01,2019-11-01,Bullish,MACD Bullish,4450.0,227.3,3538.0,130.99,,
2019-11-01,2019-11-01,2019-12-01,Bullish breath,MACD Bullish breath,4450.0,129.97,4000.0,129.97,,
2019-12-01,2019-12-01,2020-01-01,Bullish,MACD Bullish breath,4387.96,153.29,4010.0,153.29,,
2020-01-01,2020-01-01,2020-02-01,Bullish breath,MACD Bullish breath,4297.55,-9.8,3813.0,-9.8,,
2020-02-01,2020-02-01,2020-03-01,Bearish,MACD Bullish breath,3981.68,-272.61,3400.0,-272.61,,
2020-03-01,2020-03-01,2020-10-01,Bearish,MACD Bearish,3755.0,-640.68,2614.0,-803.84,,
2020-10-01,2020-10-01,2021-02-01,Bearish,MACD Bearish breath,3591.75,-308.06,2834.0,-385.94,,
2021-02-01,2021-02-01,2021-07-01,Bearish breath,MACD Bearish breath,4189.96,232.91,3099.02,-203.63,,
2021-07-01,2021-07-01,2021-11-01,Bullish,MACD Bullish,4400.0,492.32,3741.16,323.39,,
2021-11-01,2021-11-01,2022-01-01,Bullish,MACD Bullish breath,4100.0,264.6,3647.0,246.75,,
2022-01-01,2022-01-01,2022-03-01,Bullish breath,MACD Bullish breath,4080.0,180.35,3577.79,159.75,,
2022-03-01,2022-03-01,2022-06-01,Bullish,MACD Bullish,4394.25,350.25,3652.4,291.67,,
2022-06-01,2022-06-01,2023-01-01,Bullish breath,MACD Bullish breath,4296.77,203.61,3295.0,-125.93,,
2023-01-01,2023-01-01,2023-03-01,Bullish breath,MACD Bullish,4061.0,81.09,3621.73,47.13,,
2023-03-01,2023-03-01,2023-04-01,Bullish breath,MACD Bullish breath,3949.99,17.16,3700.0,17.16,,
2023-04-01,2023-04-01,2023-05-01,Bullish breath,MACD Bullish,4080.11,59.79,3752.03,59.79,Sell - Monthly Divergence,
2023-05-01,2023-05-01,2023-07-01,Bullish breath,MACD Bullish breath,3999.0,16.98,3510.0,-105.14,,
2023-07-01,2023-07-01,2023-12-01,Bearish,MACD Bearish,3862.0,-55.71,3402.38,-181.35,,
