Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish,Neutral,11.33,,9.5,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,12.88,0.71,9.5,-0.45,,
2015-08-10,2015-08-10,2015-09-28,,MACD Bullish,14.75,1.64,12.21,1.0,,Sell signal
2015-09-28,2015-09-28,2015-11-16,,MACD Bullish breath,13.47,0.94,10.52,-0.79,,
2015-11-16,2015-11-16,2015-12-14,,MACD Bearish,11.0,-1.88,8.05,-2.48,,
2015-12-14,2015-12-14,2016-01-11,,MACD Bearish breath,11.55,-0.92,8.55,-1.33,,
2016-01-11,2016-01-11,2016-01-25,,MACD Bearish,10.05,-1.24,8.36,-1.48,,
2016-01-25,2016-01-25,2016-03-14,,MACD Bearish breath,11.62,0.5,8.35,-1.09,,
2016-03-14,2016-03-14,2016-04-04,,MACD Bearish,10.69,-0.2,9.25,-0.51,,
2016-04-04,2016-04-04,2016-04-11,,MACD Bearish breath,12.84,-0.01,10.4,-0.01,,Sell signal
2016-04-11,2016-04-11,2016-05-23,,MACD Bearish,10.52,-0.51,8.38,-1.05,,Sell signal
2016-05-23,2016-05-23,2016-07-18,,MACD Bearish breath,11.76,0.69,8.76,-0.82,,
2016-07-18,2016-07-18,2016-09-05,,MACD Bullish,11.9,1.29,10.35,0.83,,
2016-09-05,2016-09-05,2016-09-12,,MACD Bullish breath,11.77,0.76,11.01,0.76,,
2016-09-12,2016-09-12,2016-10-03,,MACD Bullish,11.8,0.95,11.04,0.89,,
2016-10-03,2016-10-03,2016-10-31,,MACD Bullish breath,12.1,0.77,11.01,0.7,,
2016-10-31,2016-10-31,2016-11-07,,MACD Bullish,12.04,0.79,11.9,0.79,,
2016-11-07,2016-11-07,2016-12-19,,MACD Bullish breath,11.95,0.56,9.41,-0.47,,
2016-12-19,2016-12-19,2017-03-27,,MACD Bullish,21.5,5.83,11.04,0.13,,Sell signal
2017-03-27,2017-03-27,2017-05-29,,MACD Bullish breath,22.0,4.09,16.5,1.58,,
2017-05-29,2017-05-29,2017-07-17,,MACD Bullish,29.69,6.77,18.95,2.91,,Sell signal
2017-07-17,2017-07-17,2017-09-18,,MACD Bullish breath,28.13,4.78,20.37,0.06,,
2017-09-18,2017-09-18,2017-11-06,,MACD Bullish,30.17,4.54,24.56,2.81,Weekly Bearish Divergence,
2017-11-06,2017-11-06,2017-11-13,Bullish,MACD Bullish,30.51,3.88,28.61,3.88,Weekly Bearish Divergence,
2017-11-13,2017-11-13,2017-11-20,Bullish,MACD Bullish breath,28.96,2.98,27.25,2.98,Weekly Bearish Divergence,
2017-11-20,2017-11-20,2017-12-25,Bullish,MACD Bullish,35.0,5.3,27.54,3.5,Weekly Bearish Divergence,
2017-12-25,2017-12-25,2018-01-01,Bullish,MACD Bullish breath,34.29,4.29,30.88,4.29,Weekly Bearish Divergence,
2018-01-01,2018-01-01,2018-01-22,Bullish,MACD Bullish,34.28,4.77,31.6,4.55,Weekly Bearish Divergence,
2018-01-22,2018-01-22,2018-02-05,Bullish,MACD Bullish breath,34.05,4.17,30.86,2.74,Weekly Bearish Divergence,
2018-02-05,2018-02-05,2018-03-05,Bullish breath,MACD Bullish breath,31.06,0.74,25.14,0.29,Sell - divergence,
2018-03-05,2018-03-05,2018-04-30,Bullish,MACD Bullish,50.99,11.25,30.44,7.23,,Buy signal
2018-04-30,2018-04-30,2018-05-07,Bullish,MACD Bullish breath,44.58,7.75,43.1,7.75,,
2018-05-07,2018-05-07,2018-05-14,Bullish breath,MACD Bullish,51.89,10.19,42.51,10.19,Weekly Bearish Divergence,
2018-05-14,2018-05-14,2018-07-02,Bullish breath,MACD Bullish breath,52.0,6.54,23.9,-5.08,Weekly Bearish Divergence,
2018-07-02,2018-07-02,2018-07-09,Bullish breath,MACD Bearish,36.41,-1.21,31.9,-1.21,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-07-09,2018-07-09,2018-07-16,Bullish breath,MACD Bearish breath,38.11,-0.0,35.98,-0.0,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-07-16,2018-07-16,2018-09-10,Bullish breath,MACD Bearish,38.25,-0.46,28.36,-4.05,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-09-10,2018-09-10,2018-09-24,Bullish breath,MACD Bearish breath,37.42,-0.54,31.56,-1.79,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-09-24,2018-09-24,2018-10-29,Bullish breath,MACD Bearish,32.82,-2.05,29.49,-2.85,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-10-29,2018-10-29,2018-12-10,Bullish breath,MACD Bearish breath,37.42,1.33,31.06,-0.56,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-12-10,2018-12-10,2019-01-07,Bullish breath,MACD Bearish,33.11,-0.98,26.73,-3.93,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-01-07,2019-01-07,2019-03-11,Bullish breath,MACD Bearish breath,37.17,0.58,29.87,-1.55,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-03-11,2019-03-11,2019-03-18,Bullish breath,MACD Bullish,38.34,1.0,34.0,1.0,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-03-18,2019-03-18,2019-04-22,Bullish breath,MACD Bearish,35.93,-0.33,30.35,-1.07,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-04-22,2019-04-22,2019-04-29,Bullish breath,MACD Bearish breath,33.02,-0.32,31.52,-0.32,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-04-29,2019-04-29,2019-07-01,Bullish breath,MACD Bearish,32.5,-0.64,22.85,-5.67,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-07-01,2019-07-01,2019-08-05,Bullish breath,MACD Bearish breath,31.37,-2.71,24.26,-3.68,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-08-05,2019-08-05,2019-08-19,Bullish breath,MACD Bearish,25.5,-3.54,23.0,-3.74,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-08-19,2019-08-19,2019-09-16,Bullish breath,MACD Bearish breath,33.15,2.45,23.55,-2.22,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-09-16,2019-09-16,2019-10-14,Bullish breath,MACD Bullish,32.83,2.76,29.61,1.46,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-10-14,2019-10-14,2019-10-28,Bullish breath,MACD Bullish breath,30.69,0.85,27.0,0.51,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-10-28,2019-10-28,2019-12-02,Bullish breath,MACD Bullish,35.02,3.13,30.64,1.48,Weekly Bearish Divergence,Waiting for confirmation : Buy
2019-12-02,2019-12-02,2020-01-06,Bullish,MACD Bullish,41.5,6.9,34.42,4.56,Weekly Bearish Divergence,Buy signal
2020-01-06,2020-01-06,2020-03-09,Bullish breath,MACD Bullish breath,37.84,4.33,30.1,-0.31,Sell - divergence,
2020-03-09,2020-03-09,2020-04-06,Bullish breath,MACD Bearish,33.11,-3.38,16.0,-9.87,,
2020-04-06,2020-04-06,2020-05-04,Bearish,MACD Bearish,21.78,-7.75,16.5,-9.57,Weekly Bullish Divergence,
2020-05-04,2020-05-04,2020-06-22,Bearish,MACD Bearish breath,40.42,5.48,16.65,-6.84,Weekly Bullish Divergence,
2020-06-22,2020-06-22,2020-07-13,Bearish,MACD Bullish,37.97,4.84,25.26,2.24,Weekly Bullish Divergence,
2020-07-13,2020-07-13,2020-08-03,Bearish,MACD Bullish breath,28.52,0.64,23.0,-1.73,Weekly Bullish Divergence,
2020-08-03,2020-08-03,2020-09-28,Bearish,MACD Bearish,26.14,-1.31,22.1,-1.98,Weekly Bullish Divergence,
2020-09-28,2020-09-28,2020-10-26,Bearish,MACD Bearish breath,25.57,-0.78,23.23,-1.26,Weekly Bullish Divergence,
2020-10-26,2020-10-26,2020-11-02,Bearish,MACD Bearish,23.84,-1.9,21.79,-1.9,Weekly Bullish Divergence,
2020-11-02,2020-11-02,2020-11-23,Bearish,MACD Bearish breath,32.26,1.27,21.75,-1.26,Weekly Bullish Divergence,Sell signal
2020-11-23,2020-11-23,2020-12-21,Bearish,MACD Bullish,28.5,1.32,25.15,0.65,Weekly Bullish Divergence,
2020-12-21,2020-12-21,2021-01-04,Bearish,MACD Bullish breath,26.33,-0.02,23.77,-0.61,Weekly Bullish Divergence,
2021-01-04,2021-01-04,2021-02-15,Bearish,MACD Bearish,25.1,-1.51,20.34,-2.34,Weekly Bullish Divergence,
2021-02-15,2021-02-15,2021-02-22,Bearish,MACD Bearish breath,23.62,-1.26,22.02,-1.26,Weekly Bullish Divergence,
2021-02-22,2021-02-22,2021-03-15,Bearish,MACD Bearish,23.05,-1.83,20.8,-2.12,Weekly Bullish Divergence,
2021-03-15,2021-03-15,2021-04-05,Bearish,MACD Bearish breath,23.39,-1.06,21.17,-1.32,Weekly Bullish Divergence,
2021-04-05,2021-04-05,2021-05-03,Bearish,MACD Bearish,22.66,-1.39,18.91,-2.3,Weekly Bullish Divergence,
2021-05-03,2021-05-03,2021-05-24,Bearish breath,MACD Bearish breath,32.9,2.75,18.61,-1.79,Buy - divergence,Sell signal
2021-05-24,2021-05-24,2021-07-05,Bearish breath,MACD Bullish,35.11,6.25,28.21,3.91,,Sell signal
2021-07-05,2021-07-05,2021-08-16,Bullish,MACD Bullish,40.31,8.24,30.91,5.61,,
2021-08-16,2021-08-16,2021-09-20,Bullish,MACD Bullish breath,37.61,5.58,33.0,3.08,,
2021-09-20,2021-09-20,2021-10-18,Bullish,MACD Bullish,42.4,5.68,33.51,5.2,Weekly Bearish Divergence,Buy signal
2021-10-18,2021-10-18,2022-01-10,Bullish,MACD Bullish breath,42.92,4.69,37.2,2.31,Weekly Bearish Divergence,Buy signal
2022-01-10,2022-01-10,2022-01-17,Bullish,MACD Bullish,40.36,2.97,39.6,2.97,Weekly Bearish Divergence,
2022-01-17,2022-01-17,2022-04-25,Bullish,MACD Bullish breath,40.1,2.2,37.35,0.5,Weekly Bearish Divergence,
2022-04-25,2022-04-25,2022-06-06,Bullish,MACD Bullish,47.35,5.32,38.41,1.45,Weekly Bearish Divergence,
2022-06-06,2022-06-06,2022-07-04,Bullish breath,MACD Bullish breath,47.15,2.6,37.01,0.1,Sell - divergence,
2022-07-04,2022-07-04,2022-07-18,Bullish,MACD Bullish breath,42.05,0.58,39.25,-0.32,,
2022-07-18,2022-07-18,2022-08-29,Bullish,MACD Bullish,47.76,2.3,41.85,1.59,,Buy signal
2022-08-29,2022-08-29,2022-09-05,Bullish,MACD Bullish breath,43.66,1.14,42.04,1.14,,
2022-09-05,2022-09-05,2022-09-26,Bullish breath,MACD Bullish breath,44.2,-0.34,37.35,-1.32,,Waiting for confirmation : Buy
2022-09-26,2022-09-26,2022-10-17,Bullish breath,MACD Bearish,44.5,-0.88,38.42,-1.35,,Waiting for confirmation : Buy
2022-10-17,2022-10-17,2022-11-28,Bullish breath,MACD Bearish breath,42.5,0.21,39.53,-0.52,,Waiting for confirmation : Buy
2022-11-28,2022-11-28,2022-12-05,Bullish breath,MACD Bullish,42.94,0.83,40.53,0.83,,Waiting for confirmation : Buy
2022-12-05,2022-12-05,2023-01-30,Bullish,MACD Bullish,47.35,3.36,41.22,1.32,,Buy signal
2023-01-30,2023-01-30,2023-02-06,Bullish,MACD Bullish breath,46.13,2.32,44.55,2.32,,
2023-02-06,2023-02-06,2023-02-13,Bullish breath,MACD Bullish,46.31,2.55,44.48,2.55,Weekly Bearish Divergence,
2023-02-13,2023-02-13,2023-04-03,Bullish breath,MACD Bullish breath,46.42,2.17,40.12,-0.65,Weekly Bearish Divergence,
2023-04-03,2023-04-03,2023-05-22,Bullish breath,MACD Bearish,41.99,-2.68,34.96,-4.95,Weekly Bearish Divergence,Waiting for confirmation : Buy
2023-05-22,2023-05-22,2023-07-10,Bullish breath,MACD Bearish breath,40.22,-2.23,35.19,-3.58,Weekly Bearish Divergence,Waiting for confirmation : Buy
2023-07-10,2023-07-10,2023-08-07,Bullish breath,MACD Bearish,35.9,-2.98,33.91,-3.21,Weekly Bullish Divergence,Waiting for confirmation : Buy
2023-08-07,2023-08-07,2023-09-04,Bullish breath,MACD Bearish breath,35.0,-2.58,33.91,-2.85,Weekly Bullish Divergence,Waiting for confirmation : Buy
2023-09-04,2023-09-04,2023-10-02,Bullish breath,MACD Bearish,34.31,-2.99,27.52,-4.71,Weekly Bullish Divergence,Waiting for confirmation : Buy
2023-10-02,2023-10-02,2023-10-30,Bearish,MACD Bearish,31.0,-4.85,27.23,-5.81,Weekly Bullish Divergence,
2023-10-30,2023-10-30,2023-11-27,Bearish,MACD Bearish breath,33.41,-0.69,29.0,-3.66,Weekly Bullish Divergence,
