Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish,Neutral,11.31,,10.34,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,12.63,-0.46,8.43,-1.15,,
2015-08-10,2015-08-10,2015-08-31,,MACD Bearish breath,10.38,-0.18,8.71,-0.5,,
2015-08-31,2015-08-31,2015-09-14,,MACD Bearish,9.38,-0.64,8.81,-0.64,,
2015-09-14,2015-09-14,2015-09-21,,MACD Bearish breath,9.47,-0.44,8.71,-0.44,,
2015-09-21,2015-09-21,2015-10-05,,MACD Bearish,9.56,-0.57,8.39,-0.74,Weekly Bullish Divergence,
2015-10-05,2015-10-05,2015-11-09,,MACD Bearish breath,9.6,-0.09,8.62,-0.5,Weekly Bullish Divergence,
2015-11-09,2015-11-09,2015-11-30,,MACD Bearish,9.5,-0.65,7.88,-0.79,Weekly Bullish Divergence,
2015-11-30,2015-11-30,2015-12-07,,MACD Bearish breath,8.99,-0.48,8.52,-0.48,Weekly Bullish Divergence,
2015-12-07,2015-12-07,2016-01-04,,MACD Bearish,8.96,-0.79,7.78,-0.91,Weekly Bullish Divergence,
2016-01-04,2016-01-04,2016-01-18,,MACD Bearish breath,8.93,-0.61,7.43,-0.71,Weekly Bullish Divergence,
2016-01-18,2016-01-18,2016-01-25,,MACD Bearish,8.23,-0.72,7.36,-0.72,Weekly Bullish Divergence,
2016-01-25,2016-01-25,2016-02-01,,MACD Bearish breath,7.96,-0.7,7.41,-0.7,Weekly Bullish Divergence,
2016-02-01,2016-02-01,2016-02-29,,MACD Bearish,8.19,-0.87,5.98,-1.46,Weekly Bullish Divergence,
2016-02-29,2016-02-29,2016-06-06,,MACD Bearish breath,8.71,0.25,6.71,-1.03,Weekly Bullish Divergence,
2016-06-06,2016-06-06,2016-08-08,,MACD Bullish,9.24,0.78,7.66,0.17,Weekly Bullish Divergence,Sell signal
2016-08-08,2016-08-08,2016-10-10,,MACD Bullish breath,9.23,0.17,6.73,-0.11,Weekly Bullish Divergence,
2016-10-10,2016-10-10,2016-10-24,,MACD Bullish,8.47,0.11,8.0,0.06,Weekly Bullish Divergence,
2016-10-24,2016-10-24,2016-11-07,,MACD Bullish breath,8.46,0.01,7.96,-0.01,Weekly Bullish Divergence,
2016-11-07,2016-11-07,2016-11-28,,MACD Bullish,8.8,0.22,7.85,0.2,Weekly Bullish Divergence,
2016-11-28,2016-11-28,2016-12-05,,MACD Bullish breath,8.58,0.07,8.11,0.07,Weekly Bullish Divergence,
2016-12-05,2016-12-05,2017-01-02,,MACD Bullish,8.97,0.21,7.97,0.14,Weekly Bullish Divergence,
2017-01-02,2017-01-02,2017-01-09,,MACD Bullish breath,8.61,0.15,8.21,0.15,Weekly Bullish Divergence,
2017-01-09,2017-01-09,2017-03-06,,MACD Bullish,9.43,0.54,8.39,0.28,Weekly Bullish Divergence,Sell signal
2017-03-06,2017-03-06,2017-04-17,,MACD Bullish breath,9.23,0.3,8.41,0.22,Weekly Bullish Divergence,
2017-04-17,2017-04-17,2017-05-01,,MACD Bullish,9.65,0.37,8.98,0.34,Weekly Bullish Divergence,Sell signal
2017-05-01,2017-05-01,2017-06-05,,MACD Bullish breath,9.94,0.3,8.75,0.19,Weekly Bullish Divergence,Sell signal
2017-06-05,2017-06-05,2017-07-10,,MACD Bullish,10.59,0.94,9.12,0.51,Weekly Bullish Divergence,Sell signal
2017-07-10,2017-07-10,2017-08-28,,MACD Bullish breath,10.59,0.66,9.11,0.22,Weekly Bullish Divergence,
2017-08-28,2017-08-28,2017-11-06,,MACD Bullish,12.6,1.65,9.56,0.37,Weekly Bullish Divergence,Sell signal
2017-11-06,2017-11-06,2017-12-18,Bullish,MACD Bullish,14.16,2.19,12.3,1.87,Weekly Bullish Divergence,
2017-12-18,2017-12-18,2018-01-15,Bullish,MACD Bullish breath,14.74,1.86,13.64,1.58,Weekly Bullish Divergence,
2018-01-15,2018-01-15,2018-04-09,Bullish,MACD Bullish,20.49,3.89,14.55,2.12,Weekly Bullish Divergence,
