Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish breath,Neutral,127.69,,110.0,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,143.16,7.37,103.75,1.02,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bullish,143.45,7.81,132.13,7.81,,Sell signal
2015-08-17,2015-08-17,2015-09-21,,MACD Bullish breath,142.49,4.12,112.89,-0.22,,Sell signal
2015-09-21,2015-09-21,2015-10-26,,MACD Bearish,126.78,-9.02,97.45,-11.69,,
2015-10-26,2015-10-26,2015-11-30,,MACD Bearish breath,134.71,5.34,112.11,-4.06,,
2015-11-30,2015-11-30,2015-12-07,,MACD Bullish,133.41,3.15,120.46,3.15,,
2015-12-07,2015-12-07,2015-12-28,,MACD Bearish,125.79,-1.08,113.73,-3.63,,
2015-12-28,2015-12-28,2016-01-04,,MACD Bearish breath,129.18,0.56,122.72,0.56,,
2016-01-04,2016-01-04,2016-03-07,,MACD Bearish,124.96,-5.14,78.51,-24.88,,
2016-03-07,2016-03-07,2016-03-14,,MACD Bearish breath,91.0,-18.52,81.16,-18.52,,
2016-03-14,2016-03-14,2016-04-04,,MACD Bearish,86.96,-19.08,75.9,-19.52,Weekly Bullish Divergence,
2016-04-04,2016-04-04,2016-06-20,,MACD Bearish breath,96.49,-2.3,78.84,-16.23,Weekly Bullish Divergence,
2016-06-20,2016-06-20,2016-06-27,,MACD Bearish,89.17,-6.64,81.82,-6.64,Weekly Bullish Divergence,
2016-06-27,2016-06-27,2016-08-08,,MACD Bearish breath,102.94,5.56,79.59,-5.15,Weekly Bullish Divergence,Sell signal
2016-08-08,2016-08-08,2016-08-29,,MACD Bullish,103.73,6.51,95.16,4.03,Weekly Bullish Divergence,Sell signal
2016-08-29,2016-08-29,2016-09-26,,MACD Bullish breath,98.05,2.48,88.16,-1.44,Weekly Bullish Divergence,
2016-09-26,2016-09-26,2016-11-07,,MACD Bearish,91.23,-3.49,73.31,-10.03,Weekly Bullish Divergence,
2016-11-07,2016-11-07,2016-11-28,,MACD Bearish breath,97.93,-1.52,79.31,-3.59,Weekly Bullish Divergence,
2016-11-28,2016-11-28,2017-01-02,,MACD Bearish,88.0,-6.59,71.46,-9.85,Weekly Bullish Divergence,
2017-01-02,2017-01-02,2017-02-27,,MACD Bearish breath,89.94,2.54,73.34,-7.21,Weekly Bullish Divergence,
