Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,66.58,,55.17,,,
2017-09-01,2017-09-01,2017-10-01,,MACD Bearish,64.69,-2.18,59.55,-2.18,,
2017-10-01,2017-10-01,2017-11-01,,MACD Bearish breath,67.52,-1.78,64.05,-1.78,,
2017-11-01,2017-11-01,2017-12-01,Bullish,MACD Bearish breath,74.99,2.37,60.65,2.37,,
2017-12-01,2017-12-01,2018-02-01,Bullish,MACD Bullish,80.26,5.59,70.66,4.46,,
2018-02-01,2018-02-01,2018-03-01,Bullish breath,MACD Bullish,76.49,3.43,63.85,3.43,,
2018-03-01,2018-03-01,2018-05-01,Bullish breath,MACD Bullish breath,76.0,0.56,62.03,-1.53,,
2018-05-01,2018-05-01,2018-07-01,Bearish,MACD Bearish,68.06,-2.27,60.87,-3.02,,
2018-07-01,2018-07-01,2018-08-01,Bearish,MACD Bearish breath,70.76,0.12,63.51,0.12,,
2018-08-01,2018-08-01,2018-11-01,Bearish,MACD Bearish,72.25,-1.97,59.16,-2.58,Buy - Monthly Divergence,
2018-11-01,2018-11-01,2018-12-01,Bearish,MACD Bearish breath,71.96,-0.28,63.87,-0.28,,
2018-12-01,2018-12-01,2019-02-01,Bearish,MACD Bearish,70.68,-3.33,55.93,-3.54,,
2019-02-01,2019-02-01,2019-03-01,Bearish breath,MACD Bearish breath,76.2,2.37,62.1,2.37,,
2019-03-01,2019-03-01,2019-08-01,Bullish,MACD Bullish,97.31,13.94,73.66,5.75,,
2019-08-01,2019-08-01,2020-02-01,Bullish breath,MACD Bullish breath,82.58,8.08,63.5,-3.51,,
2020-02-01,2020-02-01,2021-01-01,Bearish,MACD Bearish,68.4,-7.93,25.1,-21.49,,
2021-01-01,2021-01-01,2021-02-01,Bearish,MACD Bearish breath,46.8,-13.21,31.16,-13.21,,
2021-02-01,2021-02-01,2021-11-01,Bearish breath,MACD Bearish breath,61.35,4.07,43.08,-6.9,,
2021-11-01,2021-11-01,2022-03-01,Bearish breath,MACD Bearish,68.76,-1.36,39.13,-4.89,,
2022-03-01,2022-03-01,2022-04-01,Bearish breath,MACD Bearish breath,52.72,-2.9,44.67,-2.9,,
2022-04-01,2022-04-01,2022-10-01,Bearish,MACD Bearish,50.0,-7.13,25.38,-11.75,,
2022-10-01,2022-10-01,2022-12-01,Bearish,MACD Bearish breath,44.77,-7.01,28.13,-7.77,,
2022-12-01,2022-12-01,2023-01-01,Bearish,MACD Bearish,35.82,-8.86,28.9,-8.86,,
2023-01-01,2023-01-01,2023-04-01,Bearish,MACD Bearish breath,38.26,-7.23,29.36,-8.24,,
2023-04-01,2023-04-01,2023-08-01,Bearish breath,MACD Bearish breath,47.35,-0.23,27.34,-5.98,,
2023-08-01,2023-08-01,2023-09-01,Bearish breath,MACD Bearish,31.83,-7.27,25.04,-7.27,Buy - Monthly Divergence,
2023-09-01,2023-09-01,2023-12-01,Bearish,MACD Bearish,28.95,-12.36,15.02,-14.27,,
