Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish,Neutral,61.5,,55.11,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,66.58,-0.25,55.17,-1.65,,
2015-08-10,2015-08-10,2015-08-24,,MACD Bearish breath,63.32,-0.25,57.23,-0.45,,
2015-08-24,2015-08-24,2015-08-31,,MACD Bearish,60.22,-0.81,57.69,-0.81,,
2015-08-31,2015-08-31,2015-09-14,,MACD Bearish breath,64.89,0.91,56.97,-0.19,,
2015-09-14,2015-09-14,2015-11-09,,MACD Bullish,71.41,4.75,61.07,1.03,,Sell signal
2015-11-09,2015-11-09,2015-12-14,,MACD Bullish breath,66.76,-0.03,58.62,-1.52,,
2015-12-14,2015-12-14,2016-01-25,,MACD Bearish,63.36,-1.41,56.34,-2.85,,
2016-01-25,2016-01-25,2016-02-01,,MACD Bearish breath,62.5,-0.56,58.59,-0.56,,
2016-02-01,2016-02-01,2016-02-08,,MACD Bearish,61.94,-1.93,57.56,-1.93,,
2016-02-08,2016-02-08,2016-02-15,,MACD Bearish breath,63.0,-0.47,56.02,-0.47,,
2016-02-15,2016-02-15,2016-04-04,,MACD Bullish,76.58,8.89,64.88,4.21,,Sell signal
2016-04-04,2016-04-04,2016-04-18,,MACD Bullish breath,74.29,6.09,71.29,5.78,,
2016-04-18,2016-04-18,2016-05-09,,MACD Bullish,79.15,7.07,72.29,6.56,Weekly Bearish Divergence,
2016-05-09,2016-05-09,2016-07-11,,MACD Bullish breath,76.45,5.97,65.8,-0.72,Weekly Bearish Divergence,
2016-07-11,2016-07-11,2016-09-05,,MACD Bullish,76.77,2.9,72.0,2.27,Weekly Bearish Divergence,
2016-09-05,2016-09-05,2016-10-31,,MACD Bullish breath,76.18,1.69,70.34,-0.88,Weekly Bearish Divergence,
2016-10-31,2016-10-31,2016-11-07,,MACD Bearish,71.17,-1.94,68.45,-1.94,Weekly Bearish Divergence,
2016-11-07,2016-11-07,2016-11-28,,MACD Bullish,82.19,2.84,67.81,1.46,Weekly Bearish Divergence,Sell signal
2016-11-28,2016-11-28,2016-12-12,,MACD Bullish breath,74.67,-0.21,68.83,-1.71,Weekly Bearish Divergence,
2016-12-12,2016-12-12,2017-02-13,,MACD Bearish,70.48,-2.59,63.0,-5.05,Weekly Bearish Divergence,
2017-02-13,2017-02-13,2017-03-20,,MACD Bearish breath,69.72,-0.75,64.66,-2.91,Weekly Bearish Divergence,
2017-03-20,2017-03-20,2017-04-24,,MACD Bearish,65.07,-3.21,61.85,-4.11,Weekly Bearish Divergence,
2017-04-24,2017-04-24,2017-06-12,,MACD Bearish breath,72.62,3.26,62.54,-2.97,Weekly Bearish Divergence,Sell signal
2017-06-12,2017-06-12,2017-06-26,,MACD Bullish,72.14,1.93,65.21,0.87,Weekly Bearish Divergence,Sell signal
2017-06-26,2017-06-26,2017-07-10,,MACD Bullish breath,67.91,0.12,63.44,-1.13,Weekly Bearish Divergence,
2017-07-10,2017-07-10,2017-07-24,,MACD Bearish,66.2,-1.01,62.92,-1.42,Weekly Bearish Divergence,
2017-07-24,2017-07-24,2017-08-07,,MACD Bearish breath,67.94,-0.36,65.35,-0.46,Weekly Bearish Divergence,
2017-08-07,2017-08-07,2017-09-18,,MACD Bearish,67.48,-2.7,57.75,-4.21,Weekly Bearish Divergence,
2017-09-18,2017-09-18,2017-11-06,,MACD Bearish breath,67.52,0.17,61.64,-2.29,Weekly Bearish Divergence,
2017-11-06,2017-11-06,2018-01-29,Bullish,MACD Bullish,80.26,7.04,60.65,1.63,Weekly Bearish Divergence,Buy signal
2018-01-29,2018-01-29,2018-02-05,Bullish,MACD Bullish breath,77.53,5.11,74.87,5.11,Weekly Bearish Divergence,
2018-02-05,2018-02-05,2018-04-02,Bullish breath,MACD Bullish breath,76.0,1.4,62.85,-2.29,Sell - divergence,Waiting for confirmation : Buy
2018-04-02,2018-04-02,2018-05-07,Bullish breath,MACD Bearish,68.12,-3.96,62.03,-5.33,,Waiting for confirmation : Buy
2018-05-07,2018-05-07,2018-06-04,Bearish,MACD Bearish,68.06,-3.92,60.87,-4.54,,
2018-06-04,2018-06-04,2018-07-23,Bearish,MACD Bearish breath,70.76,1.81,61.72,-3.46,,
2018-07-23,2018-07-23,2018-08-06,Bearish,MACD Bullish,70.88,2.12,67.93,2.09,,
2018-08-06,2018-08-06,2018-09-24,Bearish,MACD Bearish,72.25,-2.27,59.16,-3.13,Weekly Bullish Divergence,
2018-09-24,2018-09-24,2018-10-08,Bearish,MACD Bearish breath,64.53,-1.79,62.13,-1.88,Weekly Bullish Divergence,
2018-10-08,2018-10-08,2018-10-22,Bearish,MACD Bearish,63.85,-2.88,59.61,-2.99,Weekly Bullish Divergence,
2018-10-22,2018-10-22,2018-11-12,Bearish,MACD Bearish breath,71.96,3.5,59.26,-2.32,Weekly Bullish Divergence,
2018-11-12,2018-11-12,2018-12-03,Bearish,MACD Bullish,71.14,3.27,66.5,2.54,Weekly Bullish Divergence,
2018-12-03,2018-12-03,2018-12-24,Bearish,MACD Bullish breath,70.68,1.14,58.56,-3.06,Weekly Bullish Divergence,
2018-12-24,2018-12-24,2019-01-28,Bearish,MACD Bearish,62.49,-2.53,55.93,-4.63,Weekly Bullish Divergence,
2019-01-28,2019-01-28,2019-02-04,Bearish,MACD Bearish breath,63.1,-1.61,60.59,-1.61,Weekly Bullish Divergence,
2019-02-04,2019-02-04,2019-02-11,Bearish breath,MACD Bearish breath,74.0,3.35,62.87,3.35,Buy - divergence,
2019-02-11,2019-02-11,2019-03-04,Bearish breath,MACD Bullish,76.41,7.82,72.26,5.89,,
2019-03-04,2019-03-04,2019-05-27,Bullish,MACD Bullish,97.31,14.51,73.66,7.25,,
2019-05-27,2019-05-27,2019-08-05,Bullish,MACD Bullish breath,94.46,10.37,78.22,-0.23,,
2019-08-05,2019-08-05,2019-08-19,Bullish breath,MACD Bullish breath,82.58,-1.04,73.63,-2.23,,
2019-08-19,2019-08-19,2019-11-11,Bullish breath,MACD Bearish,81.1,-1.23,66.02,-7.03,,Waiting for confirmation : Buy
2019-11-11,2019-11-11,2020-01-20,Bullish breath,MACD Bearish breath,75.91,-1.47,69.72,-4.86,,Waiting for confirmation : Buy
2020-01-20,2020-01-20,2020-02-03,Bullish breath,MACD Bearish,72.56,-3.11,63.5,-5.89,Weekly Bullish Divergence,Waiting for confirmation : Buy
2020-02-03,2020-02-03,2020-04-06,Bearish,MACD Bearish,68.4,-6.15,25.1,-24.83,Weekly Bullish Divergence,
2020-04-06,2020-04-06,2020-09-07,Bearish,MACD Bearish breath,48.0,-3.56,32.85,-18.21,Weekly Bullish Divergence,
2020-09-07,2020-09-07,2020-10-05,Bearish,MACD Bearish,38.47,-5.34,31.96,-6.83,Weekly Bullish Divergence,
2020-10-05,2020-10-05,2020-12-14,Bearish,MACD Bearish breath,37.49,-2.63,32.0,-5.42,Weekly Bullish Divergence,
2020-12-14,2020-12-14,2020-12-21,Bearish,MACD Bearish,36.05,-3.97,30.81,-3.97,Weekly Bullish Divergence,
