Company Name,Symbol,Country,Sector,Industry
York Water Company (The),YORW,United States,Utilities,Water Supply
Xcel Energy Inc.,XEL,United States,Utilities,Power Generation
Essential Utilities Inc.,WTRG,United States,Utilities,Water Supply
Williams Companies Inc. (The),WMB,United States,Utilities,Natural Gas Distribution
Waste Management Inc.,WM,United States,Utilities,Environmental Services
Western Midstream Partners LP Common Units Representing Limited Partner Interests,WES,United States,Utilities,Natural Gas Distribution
WEC Energy Group Inc.,WEC,United States,Utilities,Power Generation
Waste Connections Inc. Common Shares,WCN,Canada,Utilities,Environmental Services
Eco Wave Power Global AB (publ) American Depositary Shares,WAVE,Israel,Utilities,Electric Utilities: Central
VivoPower International PLC Ordinary Shares,VVPR,United Kingdom,Utilities,Power Generation
Vistra Corp.,VST,,Utilities,Electric Utilities: Central
Via Renewables Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,VIASP,United States,Utilities,Power Generation
Via Renewables Inc. Class A,VIA,United States,Utilities,Power Generation
UNITIL Corporation,UTL,United States,Utilities,Power Generation
USA Compression Partners LP Common Units Representing Limited Partner Interests,USAC,United States,Utilities,Natural Gas Distribution
UGI Corporation Corporate Units,UGIC,United States,Utilities,Natural Gas Distribution
UGI Corporation,UGI,United States,Utilities,Natural Gas Distribution
Tennessee Valley Authority,TVE,United States,Utilities,Electric Utilities: Central
Tennessee Valley Authority,TVC,United States,Utilities,Electric Utilities: Central
Targa Resources Inc.,TRGP,United States,Utilities,Natural Gas Distribution
Southwest Gas Holdings Inc. (DE),SWX,United States,Utilities,Oil & Gas Production
DBA Sempra,SRE,United States,Utilities,Oil/Gas Transmission
Spire Inc.,SR,United States,Utilities,Oil/Gas Transmission
Sonim Technologies Inc.,SONM,United States,Utilities,Telecommunications Equipment
Southern Company (The),SO,United States,Utilities,Power Generation
Summit Midstream Partners LP Common Units Representing Limited Partner Interests,SMLP,United States,Utilities,Natural Gas Distribution
Stabilis Solutions Inc.,SLNG,United States,Utilities,Oil/Gas Transmission
SJW Group (DE),SJW,United States,Utilities,Water Supply
374Water Inc.,SCWO,United States,Utilities,Environmental Services
Republic Services Inc.,RSG,United States,Utilities,Environmental Services
RGC Resources Inc.,RGCO,United States,Utilities,Oil & Gas Production
Quest Resource Holding Corporation,QRHC,United States,Utilities,Environmental Services
PPL Corporation,PPL,United States,Utilities,Electric Utilities: Central
Portland General Electric Co,POR,United States,Utilities,Electric Utilities: Central
Pinnacle West Capital Corporation,PNW,United States,Utilities,Electric Utilities: Central
PNM Resources Inc. (Holding Co.),PNM,United States,Utilities,Electric Utilities: Central
Pure Cycle Corporation,PCYO,United States,Utilities,Water Supply
PureCycle Technologies Inc. Unit,PCTTU,United States,Utilities,Environmental Services
PureCycle Technologies Inc.,PCT,United States,Utilities,Environmental Services
Pacific Gas & Electric Co. Equity Unit,PCGU,United States,Utilities,Power Generation
Pacific Gas & Electric Co.,PCG,United States,Utilities,Power Generation
Pampa Energia S.A. Pampa Energia S.A.,PAM,Argentina,Utilities,Electric Utilities: Central
Otter Tail Corporation,OTTR,United States,Utilities,Electric Utilities: Central
Ormat Technologies Inc.,ORA,United States,Utilities,Electric Utilities: Central
OPAL Fuels Inc. Class A,OPAL,United States,Utilities,Natural Gas Distribution
ONEOK Inc.,OKE,United States,Utilities,Oil & Gas Production
ONE Gas Inc.,OGS,,Utilities,Oil/Gas Transmission
OGE Energy Corp,OGE,United States,Utilities,Electric Utilities: Central
Northwest Natural Holding Company,NWN,United States,Utilities,Oil/Gas Transmission
NorthWestern Corporation,NWE,United States,Utilities,Power Generation
NETGEAR Inc.,NTGR,United States,Utilities,Telecommunications Equipment
NRG Energy Inc.,NRG,United States,Utilities,Electric Utilities: Central
Sunnova Energy International Inc.,NOVA,United States,Utilities,Electric Utilities: Central
NewJersey Resources Corporation,NJR,United States,Utilities,Oil/Gas Transmission
