Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,80.84,,73.33,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bearish breath,62.65,-2.49,53.55,-4.26,,
2017-11-01,2017-11-01,2018-02-01,Bearish breath,MACD Bearish breath,76.4,4.71,59.95,0.3,,
2018-02-01,2018-02-01,2018-04-01,Bearish breath,MACD Bullish,73.15,3.44,63.5,3.43,,
2018-04-01,2018-04-01,2018-09-01,Bullish,MACD Bullish,77.75,6.09,62.95,3.1,,
2018-09-01,2018-09-01,2018-10-01,Bullish breath,MACD Bullish,75.15,4.28,68.65,4.28,,
2018-10-01,2018-10-01,2018-11-01,Bullish breath,MACD Bullish breath,70.0,1.73,58.6,1.73,,
2018-11-01,2018-11-01,2018-12-01,Bullish,MACD Bullish breath,72.3,2.2,65.01,2.2,,
2018-12-01,2018-12-01,2019-01-01,Bullish breath,MACD Bullish breath,71.03,1.28,61.47,1.28,,
2019-01-01,2019-01-01,2019-02-01,Bullish,MACD Bullish breath,72.84,2.51,65.71,2.51,,
2019-02-01,2019-02-01,2019-03-01,Bullish,MACD Bullish,75.82,3.48,67.91,3.48,Sell - Monthly Divergence,
2019-03-01,2019-03-01,2019-04-01,Bullish breath,MACD Bullish breath,73.23,2.76,65.54,2.76,,
2019-04-01,2019-04-01,2020-01-01,Bullish,MACD Bullish,123.45,26.35,69.37,6.06,,
2020-01-01,2020-01-01,2020-07-01,Bullish breath,MACD Bullish breath,112.69,19.26,39.36,-9.04,,
2020-07-01,2020-07-01,2020-08-01,Bullish breath,MACD Bullish,109.82,6.17,75.22,6.17,,
2020-08-01,2020-08-01,2021-06-01,Bullish,MACD Bullish,216.88,71.57,91.52,12.92,,
2021-06-01,2021-06-01,2021-07-01,Bullish breath,MACD Bullish,205.81,57.11,157.79,57.11,,
2021-07-01,2021-07-01,2021-08-01,Bullish,MACD Bullish,206.76,62.94,169.94,62.94,,
2021-08-01,2021-08-01,2021-09-01,Bullish breath,MACD Bullish breath,211.46,55.11,182.46,55.11,,
2021-09-01,2021-09-01,2021-10-01,Bullish,MACD Bullish breath,207.29,53.92,169.25,53.92,,
2021-10-01,2021-10-01,2022-11-01,Bullish breath,MACD Bullish breath,230.97,50.94,138.88,1.13,,
2022-11-01,2022-11-01,2023-02-01,Bullish breath,MACD Bullish,223.29,31.59,150.73,12.77,Sell - Monthly Divergence,
2023-02-01,2023-02-01,2023-04-01,Bullish,MACD Bullish,253.67,41.52,189.07,37.3,,
2023-04-01,2023-04-01,2023-05-01,Bullish breath,MACD Bullish breath,211.69,26.92,184.03,26.92,,
2023-05-01,2023-05-01,2023-10-01,Bullish,MACD Bullish,256.39,40.49,186.72,27.79,Sell - Monthly Divergence,
2023-10-01,2023-10-01,2023-12-01,Bullish breath,MACD Bullish breath,232.9,18.6,178.4,16.55,,
