Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,48.9,,45.87,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bearish,44.42,-1.23,39.95,-1.7,,
2017-11-01,2017-11-01,2018-01-01,Bearish,MACD Bearish,42.23,-2.27,38.59,-2.37,,
2018-01-01,2018-01-01,2018-03-01,Bearish,MACD Bearish breath,43.69,-1.08,39.28,-1.1,,
2018-03-01,2018-03-01,2018-06-01,Bearish breath,MACD Bearish breath,46.25,1.0,40.99,-0.25,,
2018-06-01,2018-06-01,2018-11-01,Bullish,MACD Bullish,52.07,4.84,43.64,1.63,,
2018-11-01,2018-11-01,2019-05-01,Bullish breath,MACD Bullish breath,49.2,2.33,39.16,-1.01,,
2019-05-01,2019-05-01,2019-10-01,Bearish,MACD Bearish,44.89,-2.45,36.45,-3.54,,
2019-10-01,2019-10-01,2019-12-01,Bearish,MACD Bearish breath,43.78,-0.81,38.39,-1.69,,
2019-12-01,2019-12-01,2020-02-01,Bearish breath,MACD Bearish breath,47.2,1.24,42.55,1.08,,
2020-02-01,2020-02-01,2020-06-01,Bearish,MACD Bearish,46.51,-1.77,28.92,-4.25,,
2020-06-01,2020-06-01,2020-08-01,Bearish,MACD Bearish breath,43.6,-0.65,37.54,-2.38,,
2020-08-01,2020-08-01,2020-10-01,Bearish breath,MACD Bearish breath,48.56,2.46,42.47,1.0,,
2020-10-01,2020-10-01,2021-08-01,Bullish,MACD Bullish,69.3,14.2,45.68,2.94,,
2021-08-01,2021-08-01,2021-10-01,Bullish breath,MACD Bullish breath,63.26,9.38,58.44,8.54,,
2021-10-01,2021-10-01,2021-11-01,Bullish,MACD Bullish,66.78,9.64,59.42,9.64,,
2021-11-01,2021-11-01,2021-12-01,Bullish breath,MACD Bullish breath,66.98,8.92,62.2,8.92,,
2021-12-01,2021-12-01,2022-06-01,Bullish,MACD Bullish,98.88,24.07,61.8,10.55,,
2022-06-01,2022-06-01,2022-08-01,Bullish breath,MACD Bullish breath,91.21,17.71,70.02,16.3,,
2022-08-01,2022-08-01,2022-09-01,Bullish,MACD Bullish breath,91.44,17.23,81.38,17.23,,
2022-09-01,2022-09-01,2022-10-01,Bullish breath,MACD Bullish breath,92.26,13.86,80.16,13.86,,
2022-10-01,2022-10-01,2022-12-01,Bullish,MACD Bullish,98.28,20.64,80.92,18.82,,
2022-12-01,2022-12-01,2023-01-01,Bullish breath,MACD Bullish,97.9,18.74,89.84,18.74,,
2023-01-01,2023-01-01,2023-12-01,Bullish breath,MACD Bullish breath,92.85,12.91,69.31,-1.73,,
