Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2016-11-01,2016-11-01,2019-06-01,,Neutral,86.47,,67.37,,,
2019-06-01,2019-06-01,2019-07-01,,MACD Bullish,97.8,6.34,86.63,6.34,,
2019-07-01,2019-07-01,2019-08-01,,MACD Bullish breath,95.5,4.41,85.48,4.41,,
2019-08-01,2019-08-01,2019-10-01,Bullish breath,MACD Bullish breath,89.53,-2.01,68.63,-5.92,,Waiting for confirmation : Buy
2019-10-01,2019-10-01,2019-11-01,Bullish breath,MACD Bearish,89.42,-5.51,71.49,-5.51,,
2019-11-01,2019-11-01,2020-08-01,Bearish,MACD Bearish,81.61,-7.15,21.8,-35.25,,
2020-08-01,2020-08-01,2021-01-01,Bearish,MACD Bearish breath,53.55,-15.95,27.86,-26.56,,
2021-01-01,2021-01-01,2021-09-01,Bearish breath,MACD Bearish breath,79.16,12.19,39.02,-10.91,,
2021-09-01,2021-09-01,2022-07-01,Bullish,MACD Bullish,183.53,61.74,73.54,19.62,,
2022-07-01,2022-07-01,2022-08-01,Bullish breath,MACD Bullish breath,147.89,43.21,122.1,43.21,,
2022-08-01,2022-08-01,2022-09-01,Bullish,MACD Bullish breath,173.9,43.49,120.6,43.49,,
2022-09-01,2022-09-01,2022-10-01,Bullish breath,MACD Bullish breath,151.72,30.51,110.97,30.51,,
2022-10-01,2022-10-01,2022-11-01,Bullish,MACD Bullish breath,155.97,37.73,120.65,37.73,,
2022-11-01,2022-11-01,2022-12-01,Bullish,MACD Bullish,167.5,40.72,142.82,40.72,,
2022-12-01,2022-12-01,2023-02-01,Bullish breath,MACD Bullish breath,158.57,35.5,128.03,33.99,,
2023-02-01,2023-02-01,2023-03-01,Bullish,MACD Bullish breath,164.29,36.01,138.08,36.01,,
2023-03-01,2023-03-01,2023-09-01,Bullish breath,MACD Bullish breath,167.68,24.59,102.42,-0.99,,
2023-09-01,2023-09-01,2023-11-01,Bullish breath,MACD Bullish,175.1,26.43,132.98,25.49,Sell - Monthly Divergence,
2023-11-01,2023-11-01,2023-12-01,Bullish,MACD Bullish,174.84,34.67,140.11,30.56,,
