Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,129.89,,99.16,,,
2017-09-01,2017-09-01,2017-10-01,,MACD Bullish breath,255.34,53.17,231.53,53.17,,
2017-10-01,2017-10-01,2017-11-01,,MACD Bullish,266.7,57.76,237.51,57.76,,
2017-11-01,2017-11-01,2017-12-01,Bullish,MACD Bullish,285.68,63.72,248.87,63.72,,
2017-12-01,2017-12-01,2018-12-01,Bullish breath,MACD Bullish breath,275.7,55.16,197.46,6.12,,
2018-12-01,2018-12-01,2019-03-01,Bullish breath,MACD Bullish,286.63,33.78,217.61,18.66,Sell - Monthly Divergence,
2019-03-01,2019-03-01,2019-05-01,Bullish,MACD Bullish,322.45,57.74,259.2,46.17,,
2019-05-01,2019-05-01,2019-06-01,Bullish breath,MACD Bullish breath,323.2,32.52,250.09,32.52,,
2019-06-01,2019-06-01,2019-07-01,Bullish,MACD Bullish breath,291.75,35.06,251.2,35.06,,
2019-07-01,2019-07-01,2019-08-01,Bullish,MACD Bullish,305.75,35.85,272.41,35.85,,
2019-08-01,2019-08-01,2019-11-01,Bullish breath,MACD Bullish breath,302.33,31.76,262.5,25.89,,
2019-11-01,2019-11-01,2020-01-01,Bullish,MACD Bullish,331.2,43.12,292.09,39.83,,
2020-01-01,2020-01-01,2020-02-01,Bullish breath,MACD Bullish,331.58,38.42,298.8,38.42,,
2020-02-01,2020-02-01,2020-06-01,Bullish breath,MACD Bullish breath,325.7,20.96,155.67,-3.03,,
2020-06-01,2020-06-01,2020-08-01,Bullish breath,MACD Bullish,328.11,31.69,287.37,25.37,,
2020-08-01,2020-08-01,2021-09-01,Bullish,MACD Bullish,507.85,117.67,317.28,46.39,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish breath,510.7,93.62,484.48,93.62,,
2021-10-01,2021-10-01,2022-04-01,Bullish,MACD Bullish,677.76,165.64,472.78,106.03,,
2022-04-01,2022-04-01,2022-12-01,Bullish breath,MACD Bullish breath,636.72,107.99,415.07,-7.65,,
2022-12-01,2022-12-01,2023-03-01,Bullish breath,MACD Bullish,617.01,70.43,516.05,42.91,,
2023-03-01,2023-03-01,2023-12-01,Bullish,MACD Bullish,999.87,265.11,586.13,92.51,,
