Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,382.84,,339.44,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,489.79,62.22,409.41,49.7,,
2017-11-01,2017-11-01,2018-04-01,Bullish,MACD Bullish,594.52,111.26,461.07,78.65,,
2018-04-01,2018-04-01,2018-05-01,Bullish breath,MACD Bullish,544.58,88.47,509.12,88.47,,
2018-05-01,2018-05-01,2018-06-01,Bullish,MACD Bullish breath,549.58,83.32,500.85,83.32,,
2018-06-01,2018-06-01,2019-01-01,Bullish breath,MACD Bullish breath,557.0,62.87,360.79,-33.97,,
2019-01-01,2019-01-01,2019-04-01,Bullish breath,MACD Bearish,451.92,-16.7,377.28,-31.5,,
2019-04-01,2019-04-01,2019-05-01,Bullish breath,MACD Bearish breath,485.85,8.8,429.4,8.8,,
2019-05-01,2019-05-01,2019-06-01,Bullish breath,MACD Bearish,487.45,-9.39,415.02,-9.39,,
2019-06-01,2019-06-01,2019-07-01,Bullish breath,MACD Bearish breath,472.36,5.42,415.19,5.42,,
2019-07-01,2019-07-01,2019-08-01,Bullish breath,MACD Bullish,483.49,11.38,465.51,11.38,,
2019-08-01,2019-08-01,2019-10-01,Bullish breath,MACD Bearish,467.67,-3.27,403.54,-5.49,Buy - Monthly Divergence,
2019-10-01,2019-10-01,2019-11-01,Bullish breath,MACD Bullish,470.79,4.72,411.21,4.72,,
2019-11-01,2019-11-01,2020-02-01,Bullish,MACD Bullish,547.35,47.27,466.31,22.39,,
2020-02-01,2020-02-01,2020-03-01,Bullish breath,MACD Bullish,576.81,24.7,449.02,24.7,,
2020-03-01,2020-03-01,2020-04-01,Bullish breath,MACD Bullish breath,503.98,3.52,323.98,3.52,,Waiting for confirmation : Buy
2020-04-01,2020-04-01,2021-09-01,Bullish,MACD Bullish,959.89,231.62,401.9,20.02,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish breath,954.85,187.98,838.16,187.98,,
2021-10-01,2021-10-01,2021-11-01,Bullish,MACD Bullish,947.86,205.46,818.73,205.46,,
2021-11-01,2021-11-01,2022-08-01,Bullish breath,MACD Bullish breath,973.16,189.39,575.6,-70.28,,
2022-08-01,2022-08-01,2022-09-01,Bullish breath,MACD Bearish,763.67,-48.56,655.48,-48.56,,
2022-09-01,2022-09-01,2022-11-01,Bearish,MACD Bearish,701.8,-69.04,503.12,-92.75,,
2022-11-01,2022-11-01,2023-01-01,Bearish,MACD Bearish breath,785.65,-7.76,622.98,-25.66,,
2023-01-01,2023-01-01,2023-03-01,Bullish breath,MACD Bearish breath,781.77,22.36,678.58,5.75,,
2023-03-01,2023-03-01,2023-04-01,Bearish,MACD Bearish breath,698.79,-10.8,620.0,-10.8,,
2023-04-01,2023-04-01,2023-06-01,Bearish,MACD Bearish,704.01,-17.18,624.5,-25.31,,
2023-06-01,2023-06-01,2023-09-01,Bearish,MACD Bearish breath,757.01,12.32,660.37,-13.83,,
2023-09-01,2023-09-01,2023-11-01,Bearish,MACD Bearish,709.06,-17.81,596.18,-43.51,,
2023-11-01,2023-11-01,2023-12-01,Bearish,MACD Bearish breath,751.89,5.38,607.67,5.38,,
2023-12-01,2023-12-01,2023-12-01,Bullish,MACD Bearish breath,761.38,30.0,748.66,30.0,,
