Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,65.15,,60.44,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,74.66,6.16,61.4,2.67,,
2017-11-01,2017-11-01,2018-06-01,Bullish,MACD Bullish,83.54,11.27,73.65,8.16,,
2018-06-01,2018-06-01,2018-09-01,Bullish breath,MACD Bullish breath,82.73,8.93,76.75,7.57,,
2018-09-01,2018-09-01,2018-10-01,Bullish,MACD Bullish,85.85,9.57,79.9,9.57,Sell - Monthly Divergence,
2018-10-01,2018-10-01,2019-02-01,Bullish breath,MACD Bullish breath,85.85,1.63,60.72,-5.3,,
2019-02-01,2019-02-01,2019-03-01,Bullish breath,MACD Bearish,70.58,-2.48,67.0,-2.48,,
2019-03-01,2019-03-01,2019-06-01,Bearish,MACD Bearish,70.85,-1.55,63.25,-4.38,,
2019-06-01,2019-06-01,2019-07-01,Bearish,MACD Bearish breath,71.58,-0.52,63.85,-0.52,,
2019-07-01,2019-07-01,2019-09-01,Bullish breath,MACD Bearish breath,77.5,1.6,70.97,0.87,,
2019-09-01,2019-09-01,2019-10-01,Bullish breath,MACD Bullish,80.25,1.77,73.95,1.77,,
2019-10-01,2019-10-01,2020-03-01,Bullish,MACD Bullish,99.51,13.52,73.95,6.83,,
2020-03-01,2020-03-01,2020-07-01,Bullish breath,MACD Bullish breath,92.21,2.99,44.43,-2.39,,
2020-07-01,2020-07-01,2022-01-01,Bullish,MACD Bullish,182.76,43.6,82.41,7.12,,
2022-01-01,2022-01-01,2022-02-01,Bullish breath,MACD Bullish,183.67,38.06,150.08,38.06,,
2022-02-01,2022-02-01,2022-10-01,Bullish breath,MACD Bullish breath,168.9,31.29,102.01,-11.42,,
2022-10-01,2022-10-01,2022-12-01,Bullish breath,MACD Bearish,124.06,-7.44,99.16,-11.31,,
2022-12-01,2022-12-01,2023-01-01,Bullish breath,MACD Bearish breath,132.79,-1.23,114.1,-1.23,,
2023-01-01,2023-01-01,2023-04-01,Bullish breath,MACD Bullish,149.81,13.07,127.09,8.24,,
2023-04-01,2023-04-01,2023-10-01,Bullish,MACD Bullish,170.27,24.77,123.17,11.81,,
2023-10-01,2023-10-01,2023-11-01,Bullish breath,MACD Bullish breath,171.06,18.12,147.62,18.12,,
2023-11-01,2023-11-01,2023-12-01,Bullish,MACD Bullish,173.14,25.39,149.08,23.37,,
