Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,7.45,,6.2,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bearish,7.17,-0.63,5.35,-0.95,,
2017-11-01,2017-11-01,2018-05-01,Bearish,MACD Bearish,5.95,-1.52,3.82,-1.95,,
2018-05-01,2018-05-01,2018-07-01,Bearish,MACD Bearish breath,5.83,-1.01,4.05,-1.06,,
2018-07-01,2018-07-01,2019-02-01,Bearish breath,MACD Bearish breath,10.55,1.12,4.95,-0.84,,
2019-02-01,2019-02-01,2019-08-01,Bullish,MACD Bullish,11.98,3.01,7.64,1.84,,
2019-08-01,2019-08-01,2020-05-01,Bullish breath,MACD Bullish breath,11.16,1.41,4.6,-0.18,,
2020-05-01,2020-05-01,2020-06-01,Bullish breath,MACD Bullish,8.7,0.56,7.27,0.56,,
2020-06-01,2020-06-01,2020-07-01,Bullish breath,MACD Bullish breath,8.71,0.22,6.98,0.22,,
2020-07-01,2020-07-01,2020-12-01,Bullish breath,MACD Bullish,9.6,0.74,7.26,0.38,,
2020-12-01,2020-12-01,2021-03-01,Bullish breath,MACD Bullish breath,8.5,0.02,7.08,-0.13,,
2021-03-01,2021-03-01,2021-08-01,Bearish,MACD Bearish,8.1,-0.64,5.51,-1.16,,
2021-08-01,2021-08-01,2021-10-01,Bearish,MACD Bearish breath,6.9,-0.61,5.78,-0.71,,
2021-10-01,2021-10-01,2022-02-01,Bearish,MACD Bearish,6.68,-1.21,4.74,-1.37,,
2022-02-01,2022-02-01,2022-04-01,Bearish,MACD Bearish breath,6.98,-0.33,4.95,-0.84,,
2022-04-01,2022-04-01,2022-06-01,Bearish breath,MACD Bearish breath,8.25,0.61,6.1,-0.2,,
2022-06-01,2022-06-01,2023-07-01,Bullish,MACD Bullish,16.86,4.63,7.5,1.36,,
2023-07-01,2023-07-01,2023-08-01,Bullish breath,MACD Bullish breath,14.18,3.47,12.95,3.47,,
2023-08-01,2023-08-01,2023-12-01,Bullish,MACD Bullish,26.29,8.82,13.07,3.67,,
