Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish breath,Neutral,48.3,,38.54,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,54.59,2.3,38.69,-0.12,,
2015-08-10,2015-08-10,2015-08-31,,MACD Bullish,55.95,3.96,48.75,2.89,,
2015-08-31,2015-08-31,2015-10-19,,MACD Bullish breath,51.13,1.93,44.14,-1.72,,
2015-10-19,2015-10-19,2015-12-07,,MACD Bullish,57.68,4.78,46.99,0.27,,Sell signal
2015-12-07,2015-12-07,2015-12-21,,MACD Bullish breath,55.43,0.96,42.15,-2.8,,
2015-12-21,2015-12-21,2016-02-22,,MACD Bearish,45.13,-3.98,32.03,-8.61,,
2016-02-22,2016-02-22,2016-02-29,,MACD Bearish breath,36.88,-7.23,33.95,-7.23,,
2016-02-29,2016-02-29,2016-03-07,,MACD Bearish,36.04,-7.92,31.77,-7.92,Weekly Bullish Divergence,
2016-03-07,2016-03-07,2016-07-25,,MACD Bearish breath,41.4,0.77,32.57,-7.09,Weekly Bullish Divergence,
2016-07-25,2016-07-25,2016-08-01,,MACD Bullish,40.86,0.39,38.54,0.39,Weekly Bullish Divergence,
2016-08-01,2016-08-01,2016-08-29,,MACD Bearish,39.09,-0.15,35.77,-1.03,Weekly Bullish Divergence,
2016-08-29,2016-08-29,2016-10-03,,MACD Bearish breath,39.75,0.5,37.05,-0.34,Weekly Bullish Divergence,
2016-10-03,2016-10-03,2017-01-02,,MACD Bullish,52.4,6.12,38.05,0.45,Weekly Bullish Divergence,Sell signal
2017-01-02,2017-01-02,2017-04-10,,MACD Bullish breath,50.2,4.74,42.5,-1.04,Weekly Bullish Divergence,
2017-04-10,2017-04-10,2017-04-17,,MACD Bearish,45.45,-0.89,43.35,-0.89,Weekly Bullish Divergence,
2017-04-17,2017-04-17,2017-05-01,,MACD Bullish,47.95,1.03,43.45,0.34,Weekly Bullish Divergence,
2017-05-01,2017-05-01,2017-05-08,,MACD Bullish breath,47.9,-0.74,41.3,-0.74,Weekly Bullish Divergence,
2017-05-08,2017-05-08,2017-09-11,,MACD Bearish,42.75,-3.0,20.75,-9.83,Weekly Bullish Divergence,
2017-09-11,2017-09-11,2017-11-06,,MACD Bearish breath,27.3,-4.81,22.63,-8.41,Weekly Bullish Divergence,
