Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,37.7,,30.82,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish breath,46.7,3.08,40.7,2.82,,
2017-11-01,2017-11-01,2018-05-01,Bullish,MACD Bullish,58.7,9.0,42.78,3.7,,
2018-05-01,2018-05-01,2019-01-01,Bullish breath,MACD Bullish breath,54.5,5.29,40.96,0.71,,
2019-01-01,2019-01-01,2019-02-01,Bullish breath,MACD Bullish,54.39,4.25,48.48,4.25,,
2019-02-01,2019-02-01,2019-05-01,Bullish,MACD Bullish,61.68,8.13,52.0,7.18,,
2019-05-01,2019-05-01,2019-06-01,Bullish breath,MACD Bullish breath,58.4,4.16,49.04,4.16,,
2019-06-01,2019-06-01,2019-07-01,Bullish,MACD Bullish,59.18,5.86,50.66,5.86,,
2019-07-01,2019-07-01,2019-11-01,Bullish breath,MACD Bullish breath,62.08,4.88,51.69,3.84,,
2019-11-01,2019-11-01,2019-12-01,Bullish,MACD Bullish,60.76,4.92,55.26,4.92,Sell - Monthly Divergence,
2019-12-01,2019-12-01,2020-04-01,Bullish breath,MACD Bullish breath,60.08,4.68,38.04,-4.47,,Waiting for confirmation : Buy
2020-04-01,2020-04-01,2020-05-01,Bullish breath,MACD Bearish,53.13,-4.74,38.01,-4.74,,Waiting for confirmation : Buy
2020-05-01,2020-05-01,2020-08-01,Bearish,MACD Bearish,53.95,-1.64,40.33,-3.61,,
2020-08-01,2020-08-01,2020-09-01,Bearish,MACD Bearish breath,56.49,-0.47,49.84,-0.47,,
2020-09-01,2020-09-01,2020-11-01,Bearish,MACD Bearish,51.94,-2.12,45.32,-2.9,,
2020-11-01,2020-11-01,2020-12-01,Bearish,MACD Bearish breath,54.86,-0.83,46.26,-0.83,,
2020-12-01,2020-12-01,2021-01-01,Bullish,MACD Bearish breath,61.36,3.96,51.36,3.96,,
2021-01-01,2021-01-01,2022-01-01,Bullish,MACD Bullish,151.64,54.58,56.27,4.82,,
2022-01-01,2022-01-01,2022-02-01,Bullish breath,MACD Bullish,145.84,41.28,100.84,41.28,,
2022-02-01,2022-02-01,2022-05-01,Bullish breath,MACD Bullish breath,137.25,35.19,102.03,26.04,,
2022-05-01,2022-05-01,2022-06-01,Bullish,MACD Bullish breath,134.9,28.41,112.11,28.41,,
2022-06-01,2022-06-01,2022-07-01,Bullish breath,MACD Bullish breath,146.83,19.47,101.2,19.47,,
2022-07-01,2022-07-01,2022-09-01,Bullish,MACD Bullish,147.87,29.33,94.39,29.24,Sell - Monthly Divergence,
2022-09-01,2022-09-01,2022-10-01,Bullish breath,MACD Bullish breath,131.66,21.91,108.53,21.91,,
2022-10-01,2022-10-01,2022-11-01,Bullish,MACD Bullish breath,149.5,27.1,116.17,27.1,,
2022-11-01,2022-11-01,2022-12-01,Bullish,MACD Bullish,155.35,32.13,130.52,32.13,,
2022-12-01,2022-12-01,2023-01-01,Bullish breath,MACD Bullish,151.16,29.62,133.75,29.62,,
2023-01-01,2023-01-01,2023-04-01,Bullish,MACD Bullish,206.74,55.29,132.32,37.53,,
2023-04-01,2023-04-01,2023-05-01,Bullish breath,MACD Bullish,186.91,41.84,138.2,41.84,,
2023-05-01,2023-05-01,2023-06-01,Bullish breath,MACD Bullish breath,173.49,37.18,155.31,37.18,,
2023-06-01,2023-06-01,2023-07-01,Bullish,MACD Bullish,189.99,43.13,160.69,43.13,,
2023-07-01,2023-07-01,2023-09-01,Bullish breath,MACD Bullish breath,188.39,37.8,150.51,31.42,,
2023-09-01,2023-09-01,2023-10-01,Bullish,MACD Bullish breath,186.23,34.83,161.4,34.83,,
2023-10-01,2023-10-01,2023-12-01,Bullish breath,MACD Bullish breath,205.19,34.78,166.17,33.57,,
