Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2021-01-25,2021-01-25,2021-02-01,Bearish,Neutral,12.64,,11.34,,,
2021-02-01,2021-02-01,2021-08-30,,Neutral,52.85,9.37,12.26,4.82,,
2021-08-30,2021-08-30,2021-09-27,,MACD Bullish,62.2,15.48,47.59,11.85,,Sell signal
2021-09-27,2021-09-27,2021-11-15,,MACD Bullish breath,55.77,10.07,42.14,3.01,,
2021-11-15,2021-11-15,2021-12-06,,MACD Bullish,60.09,7.6,47.43,6.76,,
2021-12-06,2021-12-06,2021-12-27,,MACD Bullish breath,61.5,5.34,45.63,4.17,,
2021-12-27,2021-12-27,2022-03-21,,MACD Bullish,91.23,18.27,52.5,6.69,,Sell signal
2022-03-21,2022-03-21,2022-05-16,,MACD Bullish breath,88.73,12.13,48.21,-4.26,,Sell signal
2022-05-16,2022-05-16,2022-06-06,,MACD Bullish,71.4,4.27,59.56,2.0,,
2022-06-06,2022-06-06,2022-06-13,,MACD Bullish breath,69.39,-2.28,51.22,-2.28,,
2022-06-13,2022-06-13,2022-07-25,,MACD Bearish,52.36,-5.96,40.67,-11.79,,
2022-07-25,2022-07-25,2022-08-22,,MACD Bearish breath,53.59,-4.43,44.52,-7.65,,
2022-08-22,2022-08-22,2022-10-24,,MACD Bearish,51.73,-7.99,22.64,-19.25,,
2022-10-24,2022-10-24,2022-12-12,,MACD Bearish breath,29.38,-10.55,17.57,-15.96,,
2022-12-12,2022-12-12,2022-12-19,,MACD Bearish,18.8,-13.29,17.46,-13.29,,
2022-12-19,2022-12-19,2023-04-03,,MACD Bearish breath,25.12,-1.6,16.23,-12.95,,
2023-04-03,2023-04-03,2023-04-10,,MACD Bearish,23.83,-3.96,17.15,-3.96,,
2023-04-10,2023-04-10,2023-04-17,,MACD Bearish breath,21.86,-3.1,16.87,-3.1,,
2023-04-17,2023-04-17,2023-07-03,,MACD Bearish,21.89,-3.6,11.78,-6.36,Weekly Bullish Divergence,
2023-07-03,2023-07-03,2023-08-21,,MACD Bearish breath,15.47,-2.52,11.95,-5.58,Weekly Bullish Divergence,
2023-08-21,2023-08-21,2023-08-28,,MACD Bearish,12.77,-3.64,11.73,-3.64,Weekly Bullish Divergence,
2023-08-28,2023-08-28,2023-09-04,,MACD Bearish breath,12.51,-3.54,11.72,-3.54,Weekly Bullish Divergence,
2023-09-04,2023-09-04,2023-09-18,,MACD Bearish,12.17,-3.7,11.0,-3.83,Weekly Bullish Divergence,
2023-09-18,2023-09-18,2023-09-25,,MACD Bearish breath,12.03,-3.57,11.07,-3.57,Weekly Bullish Divergence,
2023-09-25,2023-09-25,2023-11-06,,MACD Bearish,11.23,-3.73,7.65,-4.48,Weekly Bullish Divergence,
2023-11-06,2023-11-06,2023-11-27,Bearish,MACD Bearish,7.93,-4.29,6.77,-4.53,Weekly Bullish Divergence,
2023-11-27,2023-11-27,2023-11-27,Bearish,MACD Bearish breath,7.68,-3.88,6.39,-3.88,Weekly Bullish Divergence,
