Time,Function,Symbol,Error
2024-01-18 17:46:26,create_stock_data_db,VCXA,'Growth'
2024-01-18 17:46:27,create_stock_data_db,VCXAU,'NoneType' object is not subscriptable
2024-01-18 17:46:28,create_stock_data_db,VCXB,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:47:08,create_stock_data_db,ADER,'NoneType' object is not subscriptable
2024-01-18 17:47:08,create_stock_data_db,ADERU,'NoneType' object is not subscriptable
2024-01-18 17:47:23,create_stock_data_db,COE,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:47:32,create_stock_data_db,VIIAU,'NoneType' object is not subscriptable
2024-01-18 17:47:39,create_stock_data_db,ASCA,'Growth'
2024-01-18 17:47:40,create_stock_data_db,ASCAU,'NoneType' object is not subscriptable
2024-01-18 17:47:40,create_stock_data_db,ASCB,'Growth'
2024-01-18 17:47:40,create_stock_data_db,ASCBR,'NoneType' object is not subscriptable
2024-01-18 17:48:48,create_stock_data_db,ENER,'Growth'
2024-01-18 17:48:48,create_stock_data_db,ENERR,'NoneType' object is not subscriptable
2024-01-18 17:48:52,create_stock_data_db,ACBAU,'NoneType' object is not subscriptable
2024-01-18 17:48:54,create_stock_data_db,ACRX,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:48:58,create_stock_data_db,ACGN,'NoneType' object is not subscriptable
2024-01-18 17:48:58,create_stock_data_db,AVHI,'Growth'
2024-01-18 17:49:00,create_stock_data_db,AVHIU,'NoneType' object is not subscriptable
2024-01-18 17:49:18,create_stock_data_db,ACAC,'Growth'
2024-01-18 17:49:25,create_stock_data_db,ATVI,'NoneType' object is not subscriptable
2024-01-18 17:49:39,create_stock_data_db,ADMP,'NoneType' object is not subscriptable
2024-01-18 17:50:04,create_stock_data_db,ADIL,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:51:08,create_stock_data_db,GMFI,'Growth'
2024-01-18 17:51:30,create_stock_data_db,AGAC,'NoneType' object is not subscriptable
2024-01-18 17:52:15,create_stock_data_db,AGNCP,'NoneType' object is not subscriptable
2024-01-18 17:52:16,create_stock_data_db,AGNCO,'NoneType' object is not subscriptable
2024-01-18 17:52:16,create_stock_data_db,AGNCN,'NoneType' object is not subscriptable
2024-01-18 17:52:17,create_stock_data_db,AGNCL,'NoneType' object is not subscriptable
2024-01-18 17:52:17,create_stock_data_db,AGNCM,'NoneType' object is not subscriptable
2024-01-18 17:52:36,create_stock_data_db,AIB,'Growth'
2024-01-18 17:52:36,create_stock_data_db,AIBBR,'NoneType' object is not subscriptable
2024-01-18 17:52:52,create_stock_data_db,AIRTP,'NoneType' object is not subscriptable
2024-01-18 17:53:44,create_stock_data_db,ALCY,'Growth'
2024-01-18 17:53:45,create_stock_data_db,ALCYU,'NoneType' object is not subscriptable
2024-01-18 17:54:11,create_stock_data_db,AQNU,'NoneType' object is not subscriptable
2024-01-18 17:54:47,create_stock_data_db,AENT,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:54:47,create_stock_data_db,AENTW,'NoneType' object is not subscriptable
2024-01-18 17:54:52,create_stock_data_db,AWF,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:54:56,create_stock_data_db,AFB,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:54:59,create_stock_data_db,AMOT,'NoneType' object is not subscriptable
2024-01-18 17:55:29,create_stock_data_db,ALSA,'Growth'
2024-01-18 17:55:43,create_stock_data_db,ATMC,'Growth'
2024-01-18 17:55:44,create_stock_data_db,ATMV,'Growth'
2024-01-18 17:55:52,create_stock_data_db,ACAX,'Growth'
2024-01-18 17:55:52,create_stock_data_db,ACAXR,'NoneType' object is not subscriptable
2024-01-18 17:55:55,create_stock_data_db,ALOR,'NoneType' object is not subscriptable
2024-01-18 17:56:00,create_stock_data_db,ALCC,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:56:01,create_stock_data_db,AEAE,'Growth'
2024-01-18 17:56:22,create_stock_data_db,ALTUU,'NoneType' object is not subscriptable
2024-01-18 17:56:47,create_stock_data_db,APE,'NoneType' object is not subscriptable
2024-01-18 17:57:06,create_stock_data_db,AMAO,'NoneType' object is not subscriptable
2024-01-18 17:57:07,create_stock_data_db,AMAOU,'NoneType' object is not subscriptable
2024-01-18 17:57:43,create_stock_data_db,AMSWA,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:58:14,create_stock_data_db,ABC,'NoneType' object is not subscriptable
2024-01-18 17:58:28,create_stock_data_db,POWWP,'NoneType' object is not subscriptable
2024-01-18 17:59:03,create_stock_data_db,AMRS,'NoneType' object is not subscriptable
2024-01-18 17:59:16,create_stock_data_db,FINS,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:59:24,create_stock_data_db,ANGO,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 17:59:51,create_stock_data_db,ANZU,'NoneType' object is not subscriptable
2024-01-18 17:59:53,create_stock_data_db,APCA,'Growth'
2024-01-18 18:00:01,create_stock_data_db,APGN,'NoneType' object is not subscriptable
2024-01-18 18:00:05,create_stock_data_db,APGE,'NoneType' object is not subscriptable
2024-01-18 18:00:43,create_stock_data_db,AUVIP,'NoneType' object is not subscriptable
2024-01-18 18:00:45,create_stock_data_db,SFR,'NoneType' object is not subscriptable
