Time,Function,Symbol,Error
2024-02-03 13:56:28,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:28,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:28,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:28,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:28,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:28,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:28,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:28,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:28,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:28,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:28,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:29,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:30,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:30,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:31,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:31,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:31,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:32,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
