Time,Function,Symbol,Error
2024-01-24 11:04:25,selection_by_fundamentals,,'APIResponse[~_ReturnT]' object has no attribute 'error'
2024-01-24 11:05:42,selection_by_fundamentals,,'Debt to Equity'
2024-01-24 11:16:58,selection_by_fundamentals,,'Symbol'
2024-01-24 11:18:11,selection_by_fundamentals,,"{'code': '42703', 'details': None, 'hint': 'Perhaps you meant to reference the column ""stocks_ranking_data.Top 100"".', 'message': 'column stocks_ranking_data.TOP 100 does not exist'}"
2024-01-24 11:18:57,selection_by_fundamentals,,'Sector'
2024-01-24 11:20:05,selection_by_fundamentals,,"{'code': '23502', 'details': 'Failing row contains (null, PAM, null, null, null, null, null, null, null, null, null, null, null, t).', 'hint': None, 'message': 'null value in column ""Stock_id"" of relation ""stocks_ranking_data"" violates not-null constraint'}"
2024-01-24 11:30:08,selection_by_fundamentals,,"{'code': '23502', 'details': 'Failing row contains (4000, null, null, null, null, null, null, null, null, null, null, null, null, t).', 'hint': None, 'message': 'null value in column ""Symbol"" of relation ""stocks_ranking_data"" violates not-null constraint'}"
2024-01-24 14:45:17,create_stock_data_db,VCXA,'Growth'
2024-01-24 14:45:19,create_stock_data_db,VCXAU,'NoneType' object is not subscriptable
2024-01-24 14:45:22,create_stock_data_db - Update data_stock,VCXB,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 14:45:42,create_stock_data_db,ADER,'NoneType' object is not subscriptable
2024-01-24 14:45:43,create_stock_data_db,ADERU,'NoneType' object is not subscriptable
2024-01-24 14:46:07,create_stock_data_db,VIIAU,'NoneType' object is not subscriptable
2024-01-24 14:46:16,create_stock_data_db,ASCA,'Growth'
2024-01-24 14:46:17,create_stock_data_db,ASCAU,'NoneType' object is not subscriptable
2024-01-24 14:46:17,create_stock_data_db,ASCB,'Growth'
2024-01-24 14:46:18,create_stock_data_db,ASCBR,'NoneType' object is not subscriptable
2024-01-24 14:47:42,create_stock_data_db,ENER,'Growth'
2024-01-24 14:47:42,create_stock_data_db,ENERR,'NoneType' object is not subscriptable
2024-01-24 14:47:47,create_stock_data_db,ACBAU,'NoneType' object is not subscriptable
