Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,91.34,,83.86,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish,138.7,15.75,127.26,13.92,None,
2017-10-01,2017-10-01,2018-03-01,Bullish,MACD Bullish,165.58,29.59,133.66,19.12,None,
2018-03-01,2018-03-01,2018-04-01,Bullish breath,MACD Bullish,164.3,25.64,147.16,25.64,None,
2018-04-01,2018-04-01,2018-06-01,Bullish breath,MACD Bullish breath,157.65,21.88,146.05,21.26,,
2018-06-01,2018-06-01,2018-07-01,Bullish,MACD Bullish,165.56,23.53,155.3,23.53,Sell - Monthly Divergence,
2018-07-01,2018-07-01,2018-08-01,Bullish breath,MACD Bullish breath,168.95,21.9,158.08,21.9,,
2018-08-01,2018-08-01,2018-10-01,Bullish,MACD Bullish,175.64,25.25,157.84,24.48,,
2018-10-01,2018-10-01,2019-03-01,Bullish breath,MACD Bullish breath,174.82,19.31,132.63,7.81,,
2019-03-01,2019-03-01,2019-04-01,Bullish breath,MACD Bullish,177.49,18.09,160.5,18.09,Sell - Monthly Divergence,
2019-04-01,2019-04-01,2019-10-01,Bullish,MACD Bullish,202.8,31.27,170.35,23.32,,
2019-10-01,2019-10-01,2019-11-01,Bullish breath,MACD Bullish breath,193.37,23.85,181.97,23.85,,
2019-11-01,2019-11-01,2020-02-01,Bullish,MACD Bullish,213.25,31.91,185.48,27.31,,
2020-02-01,2020-02-01,2020-06-01,Bullish breath,MACD Bullish breath,216.39,18.33,137.15,4.61,,
2020-06-01,2020-06-01,2020-07-01,Bullish breath,MACD Bullish,217.89,24.17,194.83,24.17,Sell - Monthly Divergence,
2020-07-01,2020-07-01,2020-10-01,Bullish,MACD Bullish,247.82,40.32,210.42,31.6,,
2020-10-01,2020-10-01,2020-11-01,Bullish breath,MACD Bullish,234.71,30.12,212.45,30.12,,
2020-11-01,2020-11-01,2022-01-01,Bullish,MACD Bullish,417.37,106.5,218.32,39.56,,
2022-01-01,2022-01-01,2022-02-01,Bullish breath,MACD Bullish,415.53,86.74,319.1,86.74,,
2022-02-01,2022-02-01,2023-02-01,Bullish breath,MACD Bullish breath,360.1,58.39,242.95,-11.38,,
2023-02-01,2023-02-01,2023-05-01,Bullish breath,MACD Bearish,295.79,-4.47,242.8,-12.12,,
2023-05-01,2023-05-01,2023-06-01,Bullish breath,MACD Bearish breath,318.91,7.06,261.68,7.06,,
2023-06-01,2023-06-01,2023-08-01,Bullish breath,MACD Bullish,327.93,18.95,296.0,13.26,,
2023-08-01,2023-08-01,2023-09-01,Bullish,MACD Bullish,326.23,24.05,301.31,24.05,,
2023-09-01,2023-09-01,2023-10-01,Bullish breath,MACD Bullish,330.44,18.42,294.49,18.42,,
2023-10-01,2023-10-01,2023-11-01,Bullish breath,MACD Bullish breath,315.43,10.86,288.46,10.86,,
2023-11-01,2023-11-01,2024-02-01,Bullish,MACD Bullish,375.73,50.97,298.17,22.32,,
