Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,51.68,,46.56,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bearish,44.26,-1.13,41.06,-1.53,None,
2017-10-01,2017-10-01,2018-01-01,Bearish,MACD Bearish,44.42,-1.6,38.59,-2.28,None,
2018-01-01,2018-01-01,2018-03-01,Bearish,MACD Bearish breath,43.69,-1.01,39.28,-1.02,None,
2018-03-01,2018-03-01,2018-06-01,Bearish breath,MACD Bearish breath,46.25,1.07,40.99,-0.18,,
2018-06-01,2018-06-01,2018-11-01,Bullish,MACD Bullish,52.07,4.88,43.64,1.68,,
2018-11-01,2018-11-01,2019-05-01,Bullish breath,MACD Bullish breath,49.2,2.37,39.16,-0.99,,
2019-05-01,2019-05-01,2019-10-01,Bearish,MACD Bearish,44.89,-2.43,36.45,-3.52,,
2019-10-01,2019-10-01,2019-12-01,Bearish,MACD Bearish breath,43.78,-0.8,38.39,-1.67,,
2019-12-01,2019-12-01,2020-02-01,Bearish breath,MACD Bearish breath,47.2,1.25,42.55,1.09,,
2020-02-01,2020-02-01,2020-06-01,Bearish,MACD Bearish,46.51,-1.75,28.92,-4.24,,
2020-06-01,2020-06-01,2020-08-01,Bearish,MACD Bearish breath,43.6,-0.64,37.54,-2.37,,
2020-08-01,2020-08-01,2020-10-01,Bearish breath,MACD Bearish breath,48.56,2.47,42.47,1.01,,
2020-10-01,2020-10-01,2021-08-01,Bullish,MACD Bullish,69.3,14.2,45.68,2.95,,
2021-08-01,2021-08-01,2021-10-01,Bullish breath,MACD Bullish breath,63.26,9.39,58.44,8.54,,
2021-10-01,2021-10-01,2021-11-01,Bullish,MACD Bullish,66.78,9.64,59.42,9.64,,
2021-11-01,2021-11-01,2021-12-01,Bullish breath,MACD Bullish breath,66.98,8.92,62.2,8.92,,
2021-12-01,2021-12-01,2022-06-01,Bullish,MACD Bullish,98.88,24.07,61.8,10.55,,
2022-06-01,2022-06-01,2022-08-01,Bullish breath,MACD Bullish breath,91.21,17.71,70.02,16.31,,
2022-08-01,2022-08-01,2022-09-01,Bullish,MACD Bullish breath,91.44,17.23,81.38,17.23,,
2022-09-01,2022-09-01,2022-10-01,Bullish breath,MACD Bullish breath,92.26,13.86,80.16,13.86,,
2022-10-01,2022-10-01,2022-12-01,Bullish,MACD Bullish,98.28,20.64,80.92,18.82,,
2022-12-01,2022-12-01,2023-01-01,Bullish breath,MACD Bullish,97.9,18.74,89.84,18.74,,
2023-01-01,2023-01-01,2024-01-01,Bullish breath,MACD Bullish breath,92.85,12.91,69.31,-2.42,,
2024-01-01,2024-01-01,,Bullish breath,MACD Bearish,74.02,-3.26,70.29,-3.26,,
