Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2021-02-08,2021-02-08,2021-03-01,Bullish,Neutral,16.7,,12.88,,,
2021-03-01,2021-03-01,2021-09-13,,Neutral,54.87,19.67,11.13,7.81,,
2021-09-13,2021-09-13,2021-11-01,,MACD Bullish,69.29,23.28,42.02,17.57,,Sell signal
2021-11-01,2021-11-01,2021-12-27,,MACD Bullish breath,64.45,19.66,43.0,4.03,,
2021-12-27,2021-12-27,2022-04-18,,MACD Bullish,159.34,52.94,54.17,10.72,,Sell signal
2022-04-18,2022-04-18,2022-04-25,,MACD Bullish breath,164.69,42.74,128.0,42.74,,
2022-04-25,2022-04-25,2022-05-16,,MACD Bullish,178.7,55.18,120.11,47.29,,
2022-05-16,2022-05-16,2022-05-23,,MACD Bullish breath,169.35,44.31,138.0,44.31,,
2022-05-23,2022-05-23,2022-06-06,,MACD Bullish,183.01,51.13,153.89,48.85,Weekly Bearish Divergence,
2022-06-06,2022-06-06,2022-08-08,,MACD Bullish breath,186.98,41.3,103.9,1.13,Weekly Bearish Divergence,
2022-08-08,2022-08-08,2022-09-05,,MACD Bullish,173.93,23.63,127.0,13.18,Weekly Bearish Divergence,
2022-09-05,2022-09-05,2022-10-03,,MACD Bullish breath,160.21,13.27,116.86,-4.18,Weekly Bearish Divergence,
2022-10-03,2022-10-03,2022-11-14,,MACD Bullish,180.0,25.5,139.71,6.68,Weekly Bearish Divergence,
2022-11-14,2022-11-14,2022-11-21,,MACD Bullish breath,169.36,15.69,152.52,15.69,Weekly Bearish Divergence,
2022-11-21,2022-11-21,2022-12-05,,MACD Bullish,175.0,18.47,154.96,18.26,Weekly Bearish Divergence,
2022-12-05,2022-12-05,2023-01-16,,MACD Bullish breath,171.62,11.59,130.54,0.61,Weekly Bearish Divergence,
2023-01-16,2023-01-16,2023-02-06,,MACD Bullish,174.55,11.64,156.33,9.18,Weekly Bearish Divergence,
2023-02-06,2023-02-06,2023-02-13,,MACD Bullish breath,161.2,7.11,153.08,7.11,Weekly Bearish Divergence,
2023-02-13,2023-02-13,2023-02-20,,MACD Bullish,177.09,10.83,154.32,10.83,Weekly Bearish Divergence,
2023-02-20,2023-02-20,2023-02-27,,MACD Bullish breath,171.0,6.46,153.57,6.46,Weekly Bearish Divergence,
2023-02-27,2023-02-27,2023-03-13,,MACD Bullish,183.46,15.42,158.54,11.88,Weekly Bearish Divergence,
2023-03-13,2023-03-13,2023-04-10,,MACD Bullish breath,166.64,1.08,140.5,-3.15,Weekly Bearish Divergence,
2023-04-10,2023-04-10,2023-04-17,,MACD Bullish,166.98,3.0,152.96,3.0,Weekly Bearish Divergence,
2023-04-17,2023-04-17,2023-05-01,,MACD Bullish breath,168.92,1.33,140.88,-3.46,Weekly Bearish Divergence,
2023-05-01,2023-05-01,2023-06-05,,MACD Bearish,165.7,-3.54,132.72,-9.94,Weekly Bearish Divergence,
2023-06-05,2023-06-05,2023-06-26,,MACD Bearish breath,170.24,5.26,142.27,-5.01,Weekly Bearish Divergence,
2023-06-26,2023-06-26,2023-10-09,,MACD Bullish,267.6,57.97,151.24,2.94,Weekly Bearish Divergence,Sell signal
2023-10-09,2023-10-09,2023-11-13,,MACD Bullish breath,255.66,40.11,205.34,21.12,Weekly Bearish Divergence,
2023-11-13,2023-11-13,2023-11-27,,MACD Bullish,297.36,58.43,223.22,35.11,,
2023-11-27,2023-11-27,2023-11-27,,MACD Bullish,297.36,58.43,271.87,58.43,,
2023-11-27,2023-11-27,2023-12-04,,MACD Bullish,297.36,58.43,271.87,58.43,,
2023-12-04,2023-12-04,2024-02-05,Bullish,MACD Bullish,411.2,107.15,284.01,64.35,,
2024-02-05,2024-02-05,,Bullish,MACD Bullish breath,398.11,85.19,342.18,85.19,,
