Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2016-10-01,2016-10-01,2019-05-01,,Neutral,80.65,,59.05,,None,
2019-05-01,2019-05-01,2019-06-01,,MACD Bullish breath,98.03,5.77,85.79,5.77,None,
2019-06-01,2019-06-01,2019-07-01,,MACD Bullish,97.8,6.73,86.63,6.73,None,
2019-07-01,2019-07-01,2019-10-01,Bullish breath,MACD Bullish breath,95.5,4.78,68.63,-5.6,None,Waiting for confirmation : Buy
2019-10-01,2019-10-01,2019-11-01,Bullish breath,MACD Bearish,89.42,-5.21,71.49,-5.21,,
2019-11-01,2019-11-01,2020-08-01,Bearish,MACD Bearish,81.61,-6.88,21.8,-35.07,,
2020-08-01,2020-08-01,2021-01-01,Bearish,MACD Bearish breath,53.55,-15.85,27.86,-26.42,,
2021-01-01,2021-01-01,2021-09-01,Bearish breath,MACD Bearish breath,79.16,12.24,39.02,-10.82,,
2021-09-01,2021-09-01,2022-07-01,Bullish,MACD Bullish,183.53,61.77,73.54,19.66,,
2022-07-01,2022-07-01,2022-08-01,Bullish breath,MACD Bullish breath,147.89,43.24,122.1,43.24,,
2022-08-01,2022-08-01,2022-09-01,Bullish,MACD Bullish breath,173.9,43.51,120.6,43.51,,
2022-09-01,2022-09-01,2022-10-01,Bullish breath,MACD Bullish breath,151.72,30.53,110.97,30.53,,
2022-10-01,2022-10-01,2022-11-01,Bullish,MACD Bullish breath,155.97,37.74,120.65,37.74,,
2022-11-01,2022-11-01,2022-12-01,Bullish,MACD Bullish,167.5,40.73,142.82,40.73,,
2022-12-01,2022-12-01,2023-02-01,Bullish breath,MACD Bullish breath,158.57,35.51,128.03,34.01,,
2023-02-01,2023-02-01,2023-03-01,Bullish,MACD Bullish breath,164.29,36.03,138.08,36.03,,
2023-03-01,2023-03-01,2023-09-01,Bullish breath,MACD Bullish breath,167.68,24.6,102.42,-0.98,,
2023-09-01,2023-09-01,2023-11-01,Bullish breath,MACD Bullish,175.1,26.44,132.98,25.5,Sell - Monthly Divergence,
2023-11-01,2023-11-01,2024-02-01,Bullish,MACD Bullish,187.45,35.85,140.11,30.57,,
