Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,175.45,,165.67,,None,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish breath,189.44,3.83,176.66,2.42,None,
2017-11-01,2017-11-01,2018-02-01,Bullish breath,MACD Bullish breath,188.91,1.68,166.21,-4.15,None,
2018-02-01,2018-02-01,2018-06-01,Bearish,MACD Bearish,171.82,-10.17,152.65,-12.05,None,
2018-06-01,2018-06-01,2018-09-01,Bearish,MACD Bearish breath,185.34,2.43,164.31,-6.39,,
2018-09-01,2018-09-01,2018-11-01,Bearish breath,MACD Bearish breath,185.99,3.62,170.77,1.57,,
2018-11-01,2018-11-01,2018-12-01,Bullish,MACD Bullish,190.65,7.04,172.01,7.04,,
2018-12-01,2018-12-01,2019-01-01,Bullish breath,MACD Bullish,191.91,2.27,167.01,2.27,,
2019-01-01,2019-01-01,2019-12-01,Bullish,MACD Bullish,222.87,22.07,168.34,8.02,,
2019-12-01,2019-12-01,2020-01-01,Bullish breath,MACD Bullish breath,216.84,16.62,206.08,16.62,,
2020-01-01,2020-01-01,2020-02-01,Bullish,MACD Bullish breath,220.88,17.31,204.56,17.31,,
2020-02-01,2020-02-01,2020-05-01,Bullish breath,MACD Bullish breath,229.4,10.13,118.17,-21.24,,Waiting for confirmation : Buy
2020-05-01,2020-05-01,2020-11-01,Bearish,MACD Bearish,178.12,-24.86,131.38,-30.33,,
2020-11-01,2020-11-01,2021-03-01,Bearish,MACD Bearish breath,185.66,-5.56,137.9,-19.38,,
2021-03-01,2021-03-01,2021-06-01,Bearish breath,MACD Bearish breath,207.39,17.28,174.85,1.72,,
2021-06-01,2021-06-01,2022-04-01,Bullish,MACD Bullish,259.05,42.42,205.91,21.58,,
2022-04-01,2022-04-01,2022-10-01,Bullish breath,MACD Bullish breath,258.81,25.05,180.01,-12.33,,
2022-10-01,2022-10-01,2022-11-01,Bullish breath,MACD Bearish,189.81,-19.92,168.05,-19.92,,
2022-11-01,2022-11-01,2023-04-01,Bearish,MACD Bearish,185.78,-22.79,153.07,-28.97,,
2023-04-01,2023-04-01,2023-10-01,Bearish,MACD Bearish breath,198.66,-5.95,164.18,-17.56,,
2023-10-01,2023-10-01,2023-12-01,Bearish,MACD Bearish,179.77,-14.05,160.45,-15.63,,
2023-12-01,2023-12-01,2024-01-01,Bearish,MACD Bearish breath,193.33,-6.71,172.3,-6.71,,
2024-01-01,2024-01-01,,Bearish breath,MACD Bearish breath,188.27,-6.32,175.1,-6.32,,
