Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish breath,Neutral,181.32,,165.13,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,181.69,3.05,158.72,-4.67,,
2015-08-10,2015-08-10,2015-08-24,,MACD Bullish,180.24,4.97,173.2,4.11,,Sell signal
2015-08-24,2015-08-24,2015-09-07,,MACD Bullish breath,172.45,1.54,159.3,-3.19,,Sell signal
2015-09-07,2015-09-07,2015-09-21,,MACD Bearish,173.42,-0.69,160.93,-3.03,,
2015-09-21,2015-09-21,2015-09-28,,MACD Bearish breath,173.38,0.35,167.66,0.35,,
2015-09-28,2015-09-28,2015-11-02,,MACD Bullish,186.89,9.07,166.18,3.0,,Sell signal
2015-11-02,2015-11-02,2015-11-16,,MACD Bullish breath,180.38,3.09,168.83,1.65,,
2015-11-16,2015-11-16,2015-12-07,,MACD Bullish,185.32,6.6,169.02,4.06,,
2015-12-07,2015-12-07,2015-12-21,,MACD Bullish breath,182.88,3.57,171.7,3.43,,
2015-12-21,2015-12-21,2016-01-04,,MACD Bullish,186.38,6.37,178.83,5.16,,
2016-01-04,2016-01-04,2016-02-08,,MACD Bullish breath,185.12,4.69,165.92,-4.88,,
2016-02-08,2016-02-08,2016-02-29,,MACD Bearish,173.04,-3.64,160.66,-6.93,,
2016-02-29,2016-02-29,2016-03-14,,MACD Bearish breath,183.21,4.29,171.05,0.87,,
2016-03-14,2016-03-14,2016-04-18,,MACD Bullish,190.83,9.79,177.2,6.23,,
2016-04-18,2016-04-18,2016-05-02,,MACD Bullish breath,184.39,3.81,174.68,1.11,,
2016-05-02,2016-05-02,2016-05-16,,MACD Bullish,192.29,5.17,177.63,4.47,Weekly Bearish Divergence,
2016-05-16,2016-05-16,2016-06-13,,MACD Bullish breath,188.33,2.9,166.59,-4.9,Weekly Bearish Divergence,
2016-06-13,2016-06-13,2016-06-27,,MACD Bearish,176.96,-4.63,169.19,-4.74,Weekly Bearish Divergence,
2016-06-27,2016-06-27,2016-07-11,,MACD Bearish breath,185.17,2.37,171.49,-1.14,Weekly Bearish Divergence,
2016-07-11,2016-07-11,2016-08-08,,MACD Bullish,188.0,4.84,176.62,3.19,Weekly Bearish Divergence,
2016-08-08,2016-08-08,2016-08-29,,MACD Bullish breath,186.6,2.12,172.6,-2.98,Weekly Bearish Divergence,
2016-08-29,2016-08-29,2016-09-19,,MACD Bearish,179.88,-3.14,168.57,-5.56,Weekly Bearish Divergence,
2016-09-19,2016-09-19,2016-10-03,,MACD Bearish breath,184.0,-0.43,173.25,-0.43,Weekly Bearish Divergence,
2016-10-03,2016-10-03,2016-12-05,,MACD Bearish,177.58,-5.21,158.32,-9.52,Weekly Bearish Divergence,
2016-12-05,2016-12-05,2017-01-09,,MACD Bearish breath,180.69,4.21,163.27,-5.43,Weekly Bearish Divergence,
2017-01-09,2017-01-09,2017-01-30,,MACD Bullish,180.03,3.45,172.12,1.43,Weekly Bearish Divergence,
2017-01-30,2017-01-30,2017-02-06,,MACD Bullish breath,179.0,0.7,169.5,0.7,Weekly Bearish Divergence,
2017-02-06,2017-02-06,2017-06-19,,MACD Bullish,199.52,9.39,172.68,3.03,Weekly Bearish Divergence,
2017-06-19,2017-06-19,2017-09-18,,MACD Bullish breath,197.76,8.21,182.14,-1.88,Weekly Bearish Divergence,
2017-09-18,2017-09-18,2017-10-23,,MACD Bearish,184.59,-4.4,176.66,-6.15,Weekly Bearish Divergence,
2017-10-23,2017-10-23,2017-11-06,,MACD Bearish breath,183.86,-3.03,177.94,-3.65,Weekly Bearish Divergence,
2017-11-06,2017-11-06,2017-12-04,Bullish breath,MACD Bearish breath,188.91,-0.24,179.03,-1.57,Weekly Bearish Divergence,
