Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,41.26,,35.8,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,43.9,-0.01,30.92,-3.45,,
2015-08-10,2015-08-10,2015-10-12,,MACD Bearish,32.77,-3.04,24.4,-6.0,,
2015-10-12,2015-10-12,2015-12-07,,MACD Bearish breath,33.15,-1.08,26.75,-4.38,,
2015-12-07,2015-12-07,2016-03-07,,MACD Bearish,28.88,-3.0,13.8,-8.49,,
2016-03-07,2016-03-07,2016-07-11,,MACD Bearish breath,23.92,0.59,16.21,-6.42,,
2016-07-11,2016-07-11,2016-08-15,,MACD Bullish,29.95,3.46,23.99,2.15,,Sell signal
2016-08-15,2016-08-15,2016-10-24,,MACD Bullish breath,27.22,1.62,23.15,-0.25,,
2016-10-24,2016-10-24,2016-11-21,,MACD Bearish,21.8,-2.5,17.8,-3.58,,
2016-11-21,2016-11-21,2017-01-23,,MACD Bearish breath,24.9,0.59,21.01,-1.61,,
2017-01-23,2017-01-23,2017-03-20,,MACD Bullish,28.7,2.93,22.9,0.91,,Sell signal
2017-03-20,2017-03-20,2017-04-03,,MACD Bullish breath,28.25,2.17,25.9,1.78,,
2017-04-03,2017-04-03,2017-05-08,,MACD Bullish,33.4,3.55,26.3,2.64,,Sell signal
2017-05-08,2017-05-08,2017-06-12,,MACD Bullish breath,29.85,2.37,26.25,0.72,,Sell signal
2017-06-12,2017-06-12,2017-07-03,,MACD Bullish,30.85,2.23,28.85,1.94,,
2017-07-03,2017-07-03,2017-07-24,,MACD Bullish breath,30.7,1.55,27.6,1.03,,
2017-07-24,2017-07-24,2017-08-07,,MACD Bullish,33.15,2.02,28.95,1.82,,Sell signal
2017-08-07,2017-08-07,2017-09-04,,MACD Bullish breath,31.02,1.44,28.0,0.6,,
2017-09-04,2017-09-04,2017-11-06,,MACD Bullish,38.85,4.42,29.3,1.95,,Sell signal
2017-11-06,2017-11-06,2018-01-01,Bullish,MACD Bullish,40.95,5.16,34.95,3.94,,
2018-01-01,2018-01-01,2018-01-08,Bullish,MACD Bullish breath,40.25,4.66,37.75,4.66,,
2018-01-08,2018-01-08,2018-02-05,Bullish,MACD Bullish,45.95,6.66,39.95,5.34,,
2018-02-05,2018-02-05,2018-04-16,Bullish,MACD Bullish breath,44.5,4.95,37.35,0.4,,
2018-04-16,2018-04-16,2018-06-18,Bullish,MACD Bullish,49.3,5.77,40.0,1.59,Weekly Bearish Divergence,
2018-06-18,2018-06-18,2018-07-02,Bullish,MACD Bullish breath,46.25,3.02,42.8,2.5,Weekly Bearish Divergence,
2018-07-02,2018-07-02,2018-08-20,Bullish breath,MACD Bullish breath,46.9,2.4,40.65,0.61,Sell - divergence,
