Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,92.89,,87.65,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,93.04,1.58,75.66,-6.78,,
2015-08-10,2015-08-10,2015-09-28,,MACD Bearish,78.18,-7.79,67.06,-11.17,,
2015-09-28,2015-09-28,2015-11-09,,MACD Bearish breath,79.87,-1.64,68.75,-7.13,,
2015-11-09,2015-11-09,2015-12-21,,MACD Bearish,73.31,-6.69,61.55,-9.78,Weekly Bullish Divergence,
2015-12-21,2015-12-21,2016-01-11,,MACD Bearish breath,69.18,-5.44,65.25,-6.51,Weekly Bullish Divergence,
2016-01-11,2016-01-11,2016-03-07,,MACD Bearish,67.14,-7.39,46.08,-14.18,Weekly Bullish Divergence,
2016-03-07,2016-03-07,2016-06-06,,MACD Bearish breath,68.23,3.45,53.5,-9.34,Weekly Bullish Divergence,Sell signal
2016-06-06,2016-06-06,2016-06-20,,MACD Bullish,68.22,3.04,60.71,1.11,Weekly Bullish Divergence,Sell signal
2016-06-20,2016-06-20,2016-06-27,,MACD Bullish breath,62.43,-1.03,58.74,-1.03,Weekly Bullish Divergence,
2016-06-27,2016-06-27,2016-07-18,,MACD Bearish,61.13,-1.24,56.69,-2.06,Weekly Bullish Divergence,
2016-07-18,2016-07-18,2016-08-01,,MACD Bearish breath,65.94,1.53,60.61,-0.42,Weekly Bullish Divergence,
2016-08-01,2016-08-01,2016-08-22,,MACD Bullish,67.08,2.71,61.59,1.93,Weekly Bullish Divergence,
2016-08-22,2016-08-22,2016-09-19,,MACD Bullish breath,64.58,0.86,59.76,-0.82,Weekly Bullish Divergence,
2016-09-19,2016-09-19,2016-10-24,,MACD Bearish,62.17,-1.42,58.19,-2.07,Weekly Bullish Divergence,
2016-10-24,2016-10-24,2016-11-07,,MACD Bearish breath,70.28,2.85,60.81,-0.73,Weekly Bullish Divergence,Sell signal
2016-11-07,2016-11-07,2017-01-02,,MACD Bullish,74.0,6.77,63.96,2.26,Weekly Bullish Divergence,Sell signal
2017-01-02,2017-01-02,2017-02-13,,MACD Bullish breath,73.4,4.74,67.2,1.81,Weekly Bullish Divergence,
2017-02-13,2017-02-13,2017-03-27,,MACD Bullish,82.66,9.64,67.52,5.47,Weekly Bullish Divergence,Sell signal
2017-03-27,2017-03-27,2017-05-22,,MACD Bullish breath,81.72,7.3,66.5,-2.24,Weekly Bullish Divergence,
