Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,397.0,,334.4,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bearish breath,330.0,6.0,280.6,-0.8,None,
2017-10-01,2017-10-01,2017-12-01,Bearish breath,MACD Bearish breath,348.84,13.54,301.81,8.3,None,
2017-12-01,2017-12-01,2018-01-01,Bearish breath,MACD Bullish,335.8,13.93,311.75,13.93,None,
2018-01-01,2018-01-01,2018-02-01,Bullish,MACD Bullish,370.57,26.05,318.33,26.05,,
2018-02-01,2018-02-01,2018-03-01,Bullish breath,MACD Bullish breath,352.38,5.64,283.97,5.64,,
2018-03-01,2018-03-01,2018-04-01,Bearish breath,MACD Bullish breath,292.3,-10.48,259.76,-10.48,,
2018-04-01,2018-04-01,2018-07-01,Bearish breath,MACD Bearish,310.91,-10.01,249.17,-17.65,,
2018-07-01,2018-07-01,2018-08-01,Bearish breath,MACD Bearish breath,388.67,9.91,288.13,9.91,,
2018-08-01,2018-08-01,2018-10-01,Bullish,MACD Bullish,357.5,33.7,332.48,26.91,,
2018-10-01,2018-10-01,2018-11-01,Bullish breath,MACD Bullish,358.41,14.72,288.34,14.72,,
2018-11-01,2018-11-01,2018-12-01,Bullish,MACD Bullish,333.77,17.92,304.27,17.92,,
2018-12-01,2018-12-01,2019-01-01,Bullish breath,MACD Bullish breath,338.72,4.77,278.46,4.77,,
2019-01-01,2019-01-01,2019-03-01,Bullish,MACD Bullish,344.0,13.16,296.54,12.5,Sell - Monthly Divergence,
2019-03-01,2019-03-01,2019-04-01,Bearish,MACD Bullish breath,336.57,-26.05,216.12,-26.05,,Waiting for confirmation : Buy
2019-04-01,2019-04-01,2019-10-01,Bearish,MACD Bearish,246.99,-46.28,215.78,-58.17,,
2019-10-01,2019-10-01,2019-11-01,Bearish,MACD Bearish breath,318.0,-15.22,219.7,-15.22,,
2019-11-01,2019-11-01,2020-04-01,Bearish breath,MACD Bearish breath,374.99,19.19,262.25,-2.29,,
2020-04-01,2020-04-01,2020-05-01,Bearish breath,MACD Bullish,350.24,14.26,289.02,14.26,,
2020-05-01,2020-05-01,2020-06-01,Bullish,MACD Bullish,335.0,15.81,291.83,15.81,,
2020-06-01,2020-06-01,2020-10-01,Bearish breath,MACD Bullish breath,312.0,-0.89,257.6,-5.55,,
2020-10-01,2020-10-01,2021-01-01,Bearish,MACD Bearish,363.92,-15.32,223.25,-28.01,,
2021-01-01,2021-01-01,2021-03-01,Bearish,MACD Bearish breath,296.38,-8.02,238.4,-11.81,,
2021-03-01,2021-03-01,2021-06-01,Bearish breath,MACD Bearish breath,290.36,-3.04,250.42,-6.96,,
2021-06-01,2021-06-01,2021-09-01,Bullish,MACD Bullish,468.55,39.33,264.12,26.37,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish,341.29,17.21,282.64,17.21,,
2021-10-01,2021-10-01,2021-11-01,Bullish breath,MACD Bullish breath,290.76,-0.61,259.63,-0.61,,
2021-11-01,2021-11-01,2021-12-01,Bearish,MACD Bullish breath,284.59,-22.02,228.68,-22.02,,
2021-12-01,2021-12-01,2022-09-01,Bearish,MACD Bearish,265.54,-29.33,187.16,-51.27,,
2022-09-01,2022-09-01,2022-10-01,Bearish,MACD Bearish breath,283.44,-13.25,193.65,-13.25,,
2022-10-01,2022-10-01,2023-01-01,Bearish breath,MACD Bearish breath,311.88,27.39,250.31,8.42,,
2023-01-01,2023-01-01,2023-07-01,Bullish,MACD Bullish,319.76,27.02,254.8,16.66,,
2023-07-01,2023-07-01,2023-11-01,Bullish breath,MACD Bullish breath,287.6,11.54,233.76,-13.7,,
2023-11-01,2023-11-01,2024-02-01,Bearish,MACD Bearish,268.3,-11.75,220.86,-20.06,,
