Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish,Neutral,397.0,,334.4,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,480.18,9.9,299.76,-55.55,,
2015-08-10,2015-08-10,2015-09-07,,MACD Bearish,319.48,-54.06,265.0,-60.42,,
2015-09-07,2015-09-07,2015-09-21,,MACD Bearish breath,330.54,-39.53,302.11,-45.07,,
2015-09-21,2015-09-21,2015-10-26,,MACD Bearish,315.43,-48.1,254.0,-55.29,Weekly Bullish Divergence,
2015-10-26,2015-10-26,2016-01-11,,MACD Bearish breath,311.65,-8.33,273.37,-41.62,Weekly Bullish Divergence,
2016-01-11,2016-01-11,2016-02-22,,MACD Bearish,285.56,-22.7,242.07,-35.45,Weekly Bullish Divergence,
2016-02-22,2016-02-22,2016-03-14,,MACD Bearish breath,274.57,-23.92,249.01,-27.1,Weekly Bullish Divergence,
2016-03-14,2016-03-14,2016-03-21,,MACD Bearish,259.89,-26.67,242.25,-26.67,Weekly Bullish Divergence,
2016-03-21,2016-03-21,2016-06-06,,MACD Bearish breath,292.69,5.41,246.74,-25.29,Weekly Bullish Divergence,
2016-06-06,2016-06-06,2016-07-11,,MACD Bearish,290.74,-10.26,223.02,-28.4,Weekly Bullish Divergence,
2016-07-11,2016-07-11,2016-08-01,,MACD Bearish breath,290.92,11.73,250.02,-11.59,Weekly Bullish Divergence,
2016-08-01,2016-08-01,2016-09-05,,MACD Bullish,333.65,33.15,297.66,26.04,Weekly Bullish Divergence,Sell signal
2016-09-05,2016-09-05,2016-09-19,,MACD Bullish breath,316.47,19.98,293.83,18.76,Weekly Bullish Divergence,
2016-09-19,2016-09-19,2016-10-03,,MACD Bullish,317.32,21.36,303.17,20.94,Weekly Bullish Divergence,
2016-10-03,2016-10-03,2016-11-07,,MACD Bullish breath,314.0,17.6,268.0,-5.92,Weekly Bullish Divergence,
2016-11-07,2016-11-07,2016-11-28,,MACD Bullish,329.83,15.87,289.23,9.86,Weekly Bullish Divergence,
2016-11-28,2016-11-28,2017-01-09,,MACD Bullish breath,307.42,7.84,272.96,-5.83,Weekly Bullish Divergence,
2017-01-09,2017-01-09,2017-02-13,,MACD Bearish,301.42,-4.11,260.5,-15.23,Weekly Bullish Divergence,
2017-02-13,2017-02-13,2017-03-13,,MACD Bearish breath,298.0,3.14,266.0,-5.91,Weekly Bullish Divergence,
2017-03-13,2017-03-13,2017-06-05,,MACD Bearish,294.56,-3.61,244.28,-21.23,Weekly Bullish Divergence,
2017-06-05,2017-06-05,2017-06-12,,MACD Bearish breath,262.37,-14.7,254.52,-14.7,Weekly Bullish Divergence,
2017-06-12,2017-06-12,2017-06-19,,MACD Bearish,265.48,-16.02,250.88,-16.02,Weekly Bullish Divergence,
2017-06-19,2017-06-19,2017-07-24,,MACD Bearish breath,285.84,6.59,252.94,-3.87,Weekly Bullish Divergence,
2017-07-24,2017-07-24,2017-10-23,,MACD Bullish,348.84,34.22,280.01,7.08,Weekly Bullish Divergence,Sell signal
2017-10-23,2017-10-23,2017-11-06,,MACD Bullish breath,335.51,20.57,301.81,16.21,Weekly Bullish Divergence,
2017-11-06,2017-11-06,2017-12-11,Bearish breath,MACD Bullish breath,327.55,14.54,306.11,8.18,Weekly Bullish Divergence,
2017-12-11,2017-12-11,2017-12-18,Bearish breath,MACD Bullish,332.85,16.59,321.11,16.59,Weekly Bearish Divergence,
2017-12-18,2017-12-18,2018-01-01,Bearish breath,MACD Bullish breath,335.8,13.33,316.25,10.93,Weekly Bearish Divergence,
2018-01-01,2018-01-01,2018-02-05,Bullish,MACD Bullish,370.57,33.42,318.33,19.61,Weekly Bearish Divergence,
2018-02-05,2018-02-05,2018-02-26,Bearish breath,MACD Bullish breath,348.34,11.58,283.97,-14.42,Weekly Bearish Divergence,Sell signal
2018-02-26,2018-02-26,2018-04-23,Bearish breath,MACD Bearish,296.1,-19.97,254.33,-35.13,Weekly Bearish Divergence,
2018-04-23,2018-04-23,2018-07-02,Bearish breath,MACD Bearish breath,310.91,7.78,249.17,-23.82,Weekly Bearish Divergence,
2018-07-02,2018-07-02,2018-08-06,Bearish breath,MACD Bullish,388.67,42.19,288.13,28.13,Weekly Bearish Divergence,Sell signal
2018-08-06,2018-08-06,2018-08-20,Bullish,MACD Bullish,352.46,30.24,337.31,28.69,Weekly Bearish Divergence,
2018-08-20,2018-08-20,2018-08-27,Bullish,MACD Bullish breath,347.56,25.68,339.24,25.68,Weekly Bearish Divergence,
2018-08-27,2018-08-27,2018-09-03,Bullish,MACD Bullish,355.94,28.09,340.42,28.09,Weekly Bearish Divergence,
2018-09-03,2018-09-03,2018-10-01,Bullish,MACD Bullish breath,357.5,22.27,332.48,18.34,Weekly Bearish Divergence,Buy signal
2018-10-01,2018-10-01,2018-11-05,Bullish breath,MACD Bullish breath,358.41,17.28,288.34,-10.9,Sell - divergence,
2018-11-05,2018-11-05,2018-11-19,Bullish,MACD Bullish breath,331.88,-2.85,310.0,-5.19,,Waiting for confirmation : Buy
2018-11-19,2018-11-19,2018-11-26,Bullish,MACD Bearish,326.32,-3.35,313.25,-3.35,,Waiting for confirmation : Buy
2018-11-26,2018-11-26,2018-12-03,Bullish,MACD Bullish,333.77,2.35,315.41,2.35,Weekly Bearish Divergence,Buy signal
2018-12-03,2018-12-03,2019-01-07,Bullish breath,MACD Bearish,338.72,-2.33,278.46,-21.97,Sell - divergence,Waiting for confirmation : Buy
2019-01-07,2019-01-07,2019-01-28,Bullish,MACD Bearish breath,344.0,10.78,317.41,0.77,,Buy signal
2019-01-28,2019-01-28,2019-02-04,Bullish,MACD Bullish,335.88,9.17,321.42,9.17,,
2019-02-04,2019-02-04,2019-02-11,Bullish,MACD Bullish breath,338.87,1.36,305.45,1.36,,Waiting for confirmation : Buy
2019-02-11,2019-02-11,2019-03-04,Bullish,MACD Bullish,335.94,6.51,314.54,3.65,,Buy signal
2019-03-04,2019-03-04,2019-03-18,Bearish,MACD Bullish breath,336.57,1.26,305.9,-3.56,,
