Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-06-01,2015-06-01,2018-01-01,,Neutral,30.4,,22.75,,None,
2018-01-01,2018-01-01,2018-03-01,,MACD Bullish,78.64,23.47,68.58,20.04,None,
2018-03-01,2018-03-01,2018-06-01,Bullish,MACD Bullish,85.9,22.93,67.31,20.64,None,
2018-06-01,2018-06-01,2019-01-01,Bullish breath,MACD Bullish breath,87.21,20.34,41.27,-8.57,None,
2019-01-01,2019-01-01,2019-03-01,Bullish breath,MACD Bearish,61.0,-2.08,43.71,-6.24,,
2019-03-01,2019-03-01,2019-06-01,Bullish breath,MACD Bullish,86.96,12.12,58.38,2.18,Sell - Monthly Divergence,
2019-06-01,2019-06-01,2020-02-01,Bullish,MACD Bullish,119.99,30.47,75.89,15.62,,
2020-02-01,2020-02-01,2020-03-01,Bullish breath,MACD Bullish,125.66,24.8,97.72,24.8,,
2020-03-01,2020-03-01,2020-05-01,Bullish breath,MACD Bullish breath,116.35,10.18,54.83,8.75,,
2020-05-01,2020-05-01,2021-05-01,Bullish,MACD Bullish,235.5,72.11,80.77,19.62,,
2021-05-01,2021-05-01,2021-06-01,Bullish breath,MACD Bullish,234.5,61.37,191.26,61.37,,
2021-06-01,2021-06-01,2021-08-01,Bullish breath,MACD Bullish breath,206.56,54.01,179.5,50.7,,
2021-08-01,2021-08-01,2021-09-01,Bullish,MACD Bullish breath,229.89,54.14,200.43,54.14,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish breath,231.93,47.78,204.6,47.78,,
2021-10-01,2021-10-01,2022-01-01,Bullish,MACD Bullish,284.07,81.36,200.13,65.28,,
2022-01-01,2022-01-01,2022-11-01,Bullish breath,MACD Bullish breath,280.83,62.2,150.71,-11.13,,
2022-11-01,2022-11-01,2023-01-01,Bullish breath,MACD Bearish,182.67,-18.71,140.66,-20.49,,
2023-01-01,2023-01-01,2023-03-01,Bullish breath,MACD Bearish breath,216.24,9.84,156.49,-2.01,,
2023-03-01,2023-03-01,2023-06-01,Bullish breath,MACD Bullish,227.08,24.49,184.5,15.19,,
2023-06-01,2023-06-01,2023-10-01,Bullish,MACD Bullish,307.54,64.94,199.31,41.37,,
2023-10-01,2023-10-01,2023-11-01,Bullish breath,MACD Bullish breath,257.26,33.13,217.08,33.13,,
2023-11-01,2023-11-01,2024-01-01,Bullish,MACD Bullish,382.95,97.97,225.52,52.11,,
