Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish breath,Neutral,11.5,,9.5,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,12.8,-0.57,8.6,-0.9,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bearish breath,10.2,-0.62,9.2,-0.62,,
2015-08-17,2015-08-17,2015-11-02,,MACD Bearish,9.9,-0.96,5.4,-1.94,,
2015-11-02,2015-11-02,2015-11-09,,MACD Bearish breath,7.3,-1.49,6.8,-1.49,,
2015-11-09,2015-11-09,2015-11-23,,MACD Bearish,7.7,-1.76,5.5,-1.82,,
2015-11-23,2015-11-23,2015-12-07,,MACD Bearish breath,6.9,-1.52,6.1,-1.59,,
2015-12-07,2015-12-07,2016-02-01,,MACD Bearish,6.5,-1.68,3.0,-2.66,,
2016-02-01,2016-02-01,2016-04-18,,MACD Bearish breath,7.2,0.83,3.3,-2.25,,
2016-04-18,2016-04-18,2016-06-27,,MACD Bullish,8.15,1.14,6.5,0.68,,Sell signal
2016-06-27,2016-06-27,2016-07-18,,MACD Bullish breath,7.29,0.58,6.8,0.54,,
2016-07-18,2016-07-18,2016-07-25,,MACD Bullish,7.5,0.63,7.15,0.63,,
2016-07-25,2016-07-25,2016-08-01,,MACD Bullish breath,7.48,0.58,7.19,0.58,,
2016-08-01,2016-08-01,2016-09-05,,MACD Bullish,9.7,1.54,7.15,1.25,,Sell signal
2016-09-05,2016-09-05,2016-12-26,,MACD Bullish breath,9.69,1.21,6.97,-0.16,,
2016-12-26,2016-12-26,2017-02-20,,MACD Bearish,7.87,-0.17,6.38,-0.87,,
2017-02-20,2017-02-20,2017-03-27,,MACD Bearish breath,8.46,0.48,6.36,-0.61,,
2017-03-27,2017-03-27,2017-05-15,,MACD Bullish,11.25,1.98,7.84,0.94,,Sell signal
2017-05-15,2017-05-15,2017-06-05,,MACD Bullish breath,10.24,1.21,8.55,1.05,,
2017-06-05,2017-06-05,2017-07-03,,MACD Bullish,11.08,1.68,9.46,1.28,,
2017-07-03,2017-07-03,2017-10-23,,MACD Bullish breath,11.78,1.42,7.57,-0.81,,
2017-10-23,2017-10-23,2017-11-06,,MACD Bearish,9.5,-0.72,7.79,-0.96,,
2017-11-06,2017-11-06,2017-11-20,Bullish breath,MACD Bearish,9.4,-0.49,8.5,-0.76,Weekly Bullish Divergence,
2017-11-20,2017-11-20,2017-12-04,Bullish breath,MACD Bearish breath,9.88,-0.09,9.19,-0.31,Weekly Bullish Divergence,
2017-12-04,2017-12-04,2017-12-25,Bullish,MACD Bearish breath,10.16,0.22,9.24,0.11,Buy - divergence,Buy signal
2017-12-25,2017-12-25,2018-05-14,Bullish,MACD Bullish,41.85,16.89,9.7,0.16,,
2018-05-14,2018-05-14,2018-09-03,Bullish,MACD Bullish breath,46.42,13.1,31.54,2.33,,
