Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish breath,Neutral,90.81,,79.76,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,92.2,-3.11,79.03,-4.39,,
2015-08-10,2015-08-10,2015-08-24,,MACD Bearish breath,85.92,-1.79,79.98,-2.82,,
2015-08-24,2015-08-24,2015-10-05,,MACD Bearish,79.68,-4.04,72.19,-6.01,,
2015-10-05,2015-10-05,2015-11-02,,MACD Bearish breath,97.99,6.87,75.16,-2.93,,Sell signal
2015-11-02,2015-11-02,2015-12-07,,MACD Bullish,104.09,11.9,95.75,10.45,,Sell signal
2015-12-07,2015-12-07,2016-02-08,,MACD Bullish breath,103.35,8.05,78.08,-3.28,,
2016-02-08,2016-02-08,2016-04-25,,MACD Bullish,111.13,10.74,90.45,1.93,Weekly Bearish Divergence,
2016-04-25,2016-04-25,2016-06-27,,MACD Bullish breath,110.74,5.21,87.31,-2.03,Weekly Bearish Divergence,
2016-06-27,2016-06-27,2016-07-25,,MACD Bearish,94.87,-1.61,87.5,-3.4,Weekly Bearish Divergence,
2016-07-25,2016-07-25,2016-08-22,,MACD Bearish breath,101.66,0.65,92.65,-0.82,Weekly Bearish Divergence,
2016-08-22,2016-08-22,2016-10-17,,MACD Bullish,103.95,3.53,96.18,1.63,Weekly Bearish Divergence,
2016-10-17,2016-10-17,2016-10-31,,MACD Bullish breath,105.0,2.58,97.9,1.53,Weekly Bearish Divergence,
2016-10-31,2016-10-31,2016-12-26,,MACD Bullish,133.7,21.63,96.05,2.86,Weekly Bearish Divergence,Sell signal
2016-12-26,2016-12-26,2017-05-01,,MACD Bullish breath,135.35,14.09,112.1,-3.53,Weekly Bearish Divergence,
2017-05-01,2017-05-01,2017-06-12,,MACD Bullish,132.45,4.58,115.1,2.48,Weekly Bearish Divergence,
2017-06-12,2017-06-12,2017-06-26,,MACD Bullish breath,129.85,2.76,118.65,2.16,Weekly Bearish Divergence,
2017-06-26,2017-06-26,2017-08-14,,MACD Bullish,133.15,4.94,122.2,3.15,Weekly Bearish Divergence,
2017-08-14,2017-08-14,2017-08-28,,MACD Bullish breath,133.0,1.98,118.1,1.51,Weekly Bearish Divergence,
2017-08-28,2017-08-28,2017-10-30,,MACD Bullish,147.31,12.23,124.0,3.46,Weekly Bearish Divergence,Sell signal
2017-10-30,2017-10-30,2017-11-06,,MACD Bullish breath,146.7,5.6,129.05,5.6,Weekly Bearish Divergence,Sell signal
2017-11-06,2017-11-06,2017-12-11,Bullish breath,MACD Bullish breath,133.8,1.1,121.6,-2.27,Weekly Bearish Divergence,
2017-12-11,2017-12-11,2017-12-25,Bullish breath,MACD Bullish,136.76,2.63,131.4,2.38,Weekly Bearish Divergence,
2017-12-25,2017-12-25,2018-01-01,Bullish breath,MACD Bullish breath,135.9,1.9,131.7,1.9,Weekly Bearish Divergence,
2018-01-01,2018-01-01,2018-03-19,Bullish,MACD Bullish,159.4,14.35,133.0,3.54,Weekly Bearish Divergence,
2018-03-19,2018-03-19,2018-04-16,Bullish,MACD Bullish breath,156.55,9.7,142.85,8.58,Weekly Bearish Divergence,
2018-04-16,2018-04-16,2018-04-23,Bullish,MACD Bullish,160.2,11.09,154.35,11.09,Weekly Bearish Divergence,
2018-04-23,2018-04-23,2018-05-07,Bullish,MACD Bullish breath,160.4,9.24,147.15,9.13,Weekly Bearish Divergence,
2018-05-07,2018-05-07,2018-06-25,Bullish,MACD Bullish,174.8,14.74,155.7,12.08,Weekly Bearish Divergence,
2018-06-25,2018-06-25,2018-07-02,Bullish,MACD Bullish breath,171.95,13.21,166.85,13.21,Weekly Bearish Divergence,
2018-07-02,2018-07-02,2018-07-23,Bullish,MACD Bullish,180.9,17.17,166.8,15.89,Weekly Bearish Divergence,
2018-07-23,2018-07-23,2018-08-13,Bullish,MACD Bullish breath,183.45,15.23,170.68,14.16,Weekly Bearish Divergence,
2018-08-13,2018-08-13,2018-09-17,Bullish,MACD Bullish,200.85,22.05,176.75,17.06,Weekly Bearish Divergence,
2018-09-17,2018-09-17,2018-10-01,Bullish,MACD Bullish breath,196.4,16.05,181.7,12.11,Weekly Bearish Divergence,
2018-10-01,2018-10-01,2018-12-03,Bullish breath,MACD Bullish breath,188.0,10.21,163.54,-4.55,Sell - divergence,Waiting for confirmation : Buy
2018-12-03,2018-12-03,2019-01-14,Bullish breath,MACD Bearish,167.13,-10.14,138.39,-20.98,,Waiting for confirmation : Buy
2019-01-14,2019-01-14,2019-02-18,Bullish breath,MACD Bearish breath,181.81,7.69,147.09,-13.53,,Waiting for confirmation : Buy
2019-02-18,2019-02-18,2019-04-01,Bullish breath,MACD Bullish,187.07,12.61,176.31,9.26,,Waiting for confirmation : Buy
2019-04-01,2019-04-01,2019-06-10,Bullish,MACD Bullish,210.12,19.99,180.38,9.77,,Buy signal
2019-06-10,2019-06-10,2019-07-01,Bullish,MACD Bullish breath,212.85,16.26,200.92,13.92,,
2019-07-01,2019-07-01,2019-07-15,Bullish,MACD Bullish,215.29,17.75,205.09,17.34,Weekly Bearish Divergence,
2019-07-15,2019-07-15,2019-07-22,Bullish,MACD Bullish breath,215.57,16.09,209.71,16.09,Weekly Bearish Divergence,
2019-07-22,2019-07-22,2019-07-29,Bullish,MACD Bullish,218.23,17.58,209.12,17.58,Weekly Bearish Divergence,
2019-07-29,2019-07-29,2019-08-26,Bullish,MACD Bullish breath,219.95,15.08,195.17,10.33,Weekly Bearish Divergence,
2019-08-26,2019-08-26,2019-09-09,Bullish,MACD Bullish,229.37,17.98,209.88,14.54,Weekly Bearish Divergence,
2019-09-09,2019-09-09,2019-09-16,Bullish,MACD Bullish breath,227.95,14.2,206.08,14.2,Weekly Bearish Divergence,
2019-09-16,2019-09-16,2019-10-14,Bullish,MACD Bullish,235.0,17.47,213.48,16.95,Weekly Bearish Divergence,
2019-10-14,2019-10-14,2019-11-11,Bullish,MACD Bullish breath,231.46,14.85,215.0,9.83,Weekly Bearish Divergence,
2019-11-11,2019-11-11,2020-02-03,Bullish,MACD Bullish,280.67,30.71,225.07,12.79,Weekly Bearish Divergence,Buy signal
2020-02-03,2020-02-03,2020-02-17,Bullish breath,MACD Bullish,279.86,29.27,268.69,28.69,Sell - divergence,
2020-02-17,2020-02-17,2020-03-23,Bullish breath,MACD Bullish breath,288.59,27.25,156.15,-29.33,,
2020-03-23,2020-03-23,2020-04-06,Bullish breath,MACD Bearish,223.62,-24.51,172.84,-27.73,,
2020-04-06,2020-04-06,2020-04-13,Bullish,MACD Bearish,233.49,-15.81,207.4,-15.81,Weekly Bullish Divergence,Waiting for confirmation : Buy
2020-04-13,2020-04-13,2020-05-04,Bullish,MACD Bearish breath,258.99,7.55,219.21,-3.93,Weekly Bullish Divergence,Buy signal
2020-05-04,2020-05-04,2020-05-11,Bullish breath,MACD Bearish breath,258.3,8.24,245.23,8.24,Weekly Bullish Divergence,
2020-05-11,2020-05-11,2020-06-15,Bullish breath,MACD Bullish,266.31,10.2,221.64,2.42,Weekly Bullish Divergence,
2020-06-15,2020-06-15,2020-06-29,Bullish breath,MACD Bullish breath,249.19,1.7,214.9,-9.6,Weekly Bullish Divergence,
2020-06-29,2020-06-29,2020-08-10,Bullish breath,MACD Bearish,223.0,-12.63,190.16,-26.53,Weekly Bullish Divergence,
