Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,62.89,,58.25,,None,
2017-09-01,2017-09-01,2017-11-01,,MACD Bearish breath,38.1,-0.04,28.89,-2.81,None,
2017-11-01,2017-11-01,2018-01-01,Bearish breath,MACD Bearish breath,43.42,3.64,33.5,1.02,None,
2018-01-01,2018-01-01,2018-05-01,Bearish breath,MACD Bullish,45.0,4.67,35.7,2.25,None,
2018-05-01,2018-05-01,2018-11-01,Bullish,MACD Bullish,56.51,10.69,37.02,2.95,,
2018-11-01,2018-11-01,2019-06-01,Bullish breath,MACD Bullish breath,54.08,4.85,38.9,0.28,,
2019-06-01,2019-06-01,2019-07-01,Bullish breath,MACD Bullish,47.92,2.34,40.12,2.34,,
2019-07-01,2019-07-01,2019-10-01,Bullish,MACD Bullish,55.15,5.0,43.81,4.42,,
2019-10-01,2019-10-01,2019-12-01,Bullish breath,MACD Bullish breath,51.06,3.34,43.32,2.81,,
2019-12-01,2019-12-01,2020-01-01,Bullish,MACD Bullish breath,48.88,3.12,43.67,3.12,,
2020-01-01,2020-01-01,2020-03-01,Bullish breath,MACD Bullish breath,48.19,-0.04,35.18,-2.95,,Waiting for confirmation : Buy
2020-03-01,2020-03-01,2020-08-01,Bearish,MACD Bearish,39.01,-8.3,19.73,-10.35,,
2020-08-01,2020-08-01,2020-10-01,Bearish,MACD Bearish breath,36.12,-6.58,29.77,-6.78,,
2020-10-01,2020-10-01,2020-11-01,Bearish,MACD Bearish,32.62,-7.56,25.3,-7.56,,
2020-11-01,2020-11-01,2020-12-01,Bearish,MACD Bearish breath,39.41,-3.61,25.96,-3.61,,
2020-12-01,2020-12-01,2021-03-01,Bearish breath,MACD Bearish breath,48.88,4.02,36.21,-1.04,,
2021-03-01,2021-03-01,2021-04-01,Bearish breath,MACD Bullish,51.24,5.17,43.37,5.17,,
2021-04-01,2021-04-01,2021-08-01,Bullish,MACD Bullish,57.19,9.44,44.32,6.89,,
2021-08-01,2021-08-01,2021-09-01,Bullish breath,MACD Bullish breath,49.64,5.3,43.19,5.3,,
2021-09-01,2021-09-01,2022-06-01,Bullish,MACD Bullish,113.49,34.65,44.04,8.6,,
2022-06-01,2022-06-01,2022-07-01,Bullish breath,MACD Bullish,99.5,27.84,80.35,27.84,,
2022-07-01,2022-07-01,2022-09-01,Bullish,MACD Bullish,119.6,30.16,79.18,27.81,,
2022-09-01,2022-09-01,2022-10-01,Bullish breath,MACD Bullish breath,108.3,27.06,90.25,27.06,,
2022-10-01,2022-10-01,2022-12-01,Bullish,MACD Bullish,112.44,29.48,95.44,28.89,,
2022-12-01,2022-12-01,2023-09-01,Bullish breath,MACD Bullish breath,108.87,18.88,60.08,-6.9,,
2023-09-01,2023-09-01,2023-11-01,Bullish breath,MACD Bullish,87.9,4.53,78.0,3.66,,
2023-11-01,2023-11-01,2024-01-01,Bullish breath,MACD Bullish breath,83.98,1.8,72.8,0.57,,
