Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish,Neutral,13.02,,11.21,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,20.28,3.38,11.8,1.38,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bullish,19.41,2.66,18.03,2.66,,Sell signal
2015-08-17,2015-08-17,2015-10-05,,MACD Bullish breath,18.63,1.79,12.76,-1.24,,
2015-10-05,2015-10-05,2015-11-02,,MACD Bearish,14.92,-1.23,12.94,-1.36,,
2015-11-02,2015-11-02,2015-11-09,,MACD Bearish breath,15.78,-0.45,14.02,-0.45,,
2015-11-09,2015-11-09,2015-12-21,,MACD Bearish,16.51,-1.24,11.59,-1.82,,
2015-12-21,2015-12-21,2016-01-04,,MACD Bearish breath,14.48,-0.84,13.17,-0.87,,
2016-01-04,2016-01-04,2016-01-18,,MACD Bearish,13.86,-1.21,12.27,-1.29,,
2016-01-18,2016-01-18,2016-03-14,,MACD Bearish breath,15.0,0.33,12.57,-0.82,,
2016-03-14,2016-03-14,2016-06-13,,MACD Bullish,18.99,2.44,14.1,0.75,,Sell signal
2016-06-13,2016-06-13,2016-07-25,,MACD Bullish breath,18.92,1.75,17.06,1.19,,
2016-07-25,2016-07-25,2016-08-15,,MACD Bullish,20.28,2.07,18.25,2.03,Weekly Bearish Divergence,Sell signal
2016-08-15,2016-08-15,2016-11-07,,MACD Bullish breath,19.7,1.3,16.01,-0.84,Weekly Bearish Divergence,
2016-11-07,2016-11-07,2017-01-16,,MACD Bullish,21.6,2.02,16.35,0.26,Weekly Bearish Divergence,Sell signal
2017-01-16,2017-01-16,2017-02-13,,MACD Bullish breath,20.15,0.89,15.0,-1.64,Weekly Bearish Divergence,
2017-02-13,2017-02-13,2017-03-13,,MACD Bearish,17.55,-1.19,15.6,-1.7,Weekly Bearish Divergence,
2017-03-13,2017-03-13,2017-03-20,,MACD Bearish breath,17.65,-0.93,16.75,-0.93,Weekly Bearish Divergence,
2017-03-20,2017-03-20,2017-06-12,,MACD Bearish,17.65,-1.05,12.2,-2.58,Weekly Bearish Divergence,
2017-06-12,2017-06-12,2017-07-24,,MACD Bearish breath,13.85,-1.53,11.65,-2.17,Weekly Bearish Divergence,
