Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,105.7,,88.0,,None,
2017-08-01,2017-08-01,2017-09-01,,MACD Bullish,244.8,45.37,200.1,45.37,None,
2017-09-01,2017-09-01,2017-10-01,,MACD Bullish breath,218.13,39.29,206.81,39.29,None,
2017-10-01,2017-10-01,2017-11-01,Bullish,MACD Bullish breath,228.03,39.19,215.49,39.19,None,
2017-11-01,2017-11-01,2018-06-01,Bullish breath,MACD Bullish breath,230.0,33.5,125.08,-29.53,,
2018-06-01,2018-06-01,2018-09-01,Bearish,MACD Bearish,176.0,-18.36,126.11,-34.6,,
2018-09-01,2018-09-01,2018-11-01,Bearish,MACD Bearish breath,186.78,-4.48,160.19,-6.22,,
2018-11-01,2018-11-01,2019-01-01,Bullish breath,MACD Bearish breath,221.83,13.49,166.67,6.33,,
2019-01-01,2019-01-01,2019-10-01,Bullish,MACD Bullish,413.39,87.2,172.5,19.15,,
2019-10-01,2019-10-01,2020-08-01,Bullish breath,MACD Bullish breath,307.73,52.76,188.08,-17.93,,
2020-08-01,2020-08-01,2020-10-01,Bullish breath,MACD Bullish,285.94,10.88,227.09,5.16,,
2020-10-01,2020-10-01,2020-11-01,Bullish breath,MACD Bullish breath,258.13,-2.68,228.05,-2.68,,
2020-11-01,2020-11-01,2021-03-01,Bullish breath,MACD Bullish,289.09,16.95,223.5,7.74,,
2021-03-01,2021-03-01,2022-02-01,Bullish,MACD Bullish,638.0,203.11,252.14,24.72,,
2022-02-01,2022-02-01,2022-03-01,Bullish breath,MACD Bullish,591.62,154.6,420.34,154.6,,
2022-03-01,2022-03-01,2022-05-01,Bullish breath,MACD Bullish breath,519.03,129.17,426.4,89.04,,
2022-05-01,2022-05-01,2022-06-01,Bullish,MACD Bullish breath,587.97,119.75,435.23,119.75,,
2022-06-01,2022-06-01,2022-07-01,Bullish,MACD Bullish,656.11,129.08,489.88,129.08,Sell - Monthly Divergence,
2022-07-01,2022-07-01,2023-02-01,Bullish breath,MACD Bullish breath,597.49,106.94,405.03,32.56,,
2023-02-01,2023-02-01,2023-05-01,Bullish breath,MACD Bullish,593.53,92.6,492.76,73.68,,
2023-05-01,2023-05-01,2023-09-01,Bullish,MACD Bullish,745.53,145.02,584.69,124.26,,
2023-09-01,2023-09-01,2023-10-01,Bullish breath,MACD Bullish,701.0,122.61,630.05,122.61,,
2023-10-01,2023-10-01,2023-11-01,Bullish breath,MACD Bullish breath,670.0,107.73,614.22,107.73,,
2023-11-01,2023-11-01,2024-02-01,Bullish,MACD Bullish,961.91,255.28,628.0,138.64,,
