Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,78.26,,65.24,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,93.8,2.98,63.84,-1.36,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bullish,86.8,0.57,81.76,0.57,,
2015-08-17,2015-08-17,2015-08-24,,MACD Bullish breath,87.36,-0.2,82.88,-0.2,,
2015-08-24,2015-08-24,2015-09-28,,MACD Bearish,87.08,-0.39,78.4,-1.26,,
2015-09-28,2015-09-28,2015-10-05,,MACD Bearish breath,90.86,-0.41,79.66,-0.41,,
2015-10-05,2015-10-05,2015-11-02,,MACD Bullish,92.96,3.46,83.3,1.91,,
2015-11-02,2015-11-02,2015-11-30,,MACD Bullish breath,89.6,1.27,77.28,-0.83,,
2015-11-30,2015-11-30,2015-12-28,,MACD Bearish,84.7,-3.24,68.6,-9.21,,
2015-12-28,2015-12-28,2016-01-04,,MACD Bearish breath,83.86,-4.24,65.8,-4.24,,
2016-01-04,2016-01-04,2016-02-01,,MACD Bearish,85.96,-6.73,59.64,-10.78,,
2016-02-01,2016-02-01,2016-02-08,,MACD Bearish breath,76.86,-6.48,69.3,-6.48,,
2016-02-08,2016-02-08,2016-04-18,,MACD Bearish,76.16,-9.19,49.7,-14.29,,
2016-04-18,2016-04-18,2016-05-02,,MACD Bearish breath,58.1,-10.83,53.34,-11.73,,
2016-05-02,2016-05-02,2016-05-23,,MACD Bearish,56.28,-13.86,42.98,-15.38,,
2016-05-23,2016-05-23,2016-06-27,,MACD Bearish breath,51.1,-11.62,43.4,-13.12,,
2016-06-27,2016-06-27,2016-07-04,,MACD Bearish,44.52,-13.35,37.8,-13.35,Weekly Bullish Divergence,
2016-07-04,2016-07-04,2016-08-15,,MACD Bearish breath,68.6,2.77,38.08,-6.28,Weekly Bullish Divergence,
2016-08-15,2016-08-15,2016-10-31,,MACD Bearish,55.58,-2.33,32.06,-12.78,Weekly Bullish Divergence,
2016-10-31,2016-10-31,2016-12-19,,MACD Bearish breath,61.6,-0.9,30.1,-10.33,Weekly Bullish Divergence,
2016-12-19,2016-12-19,2017-01-23,,MACD Bearish,39.9,-4.73,34.3,-5.48,Weekly Bullish Divergence,
2017-01-23,2017-01-23,2017-01-30,,MACD Bearish breath,38.64,-4.74,35.7,-4.74,Weekly Bullish Divergence,
2017-01-30,2017-01-30,2017-02-06,,MACD Bearish,37.8,-5.32,34.3,-5.32,Weekly Bullish Divergence,
2017-02-06,2017-02-06,2017-02-27,,MACD Bearish breath,37.8,-4.07,32.2,-4.79,Weekly Bullish Divergence,
2017-02-27,2017-02-27,2017-04-24,,MACD Bearish,35.7,-6.17,22.4,-10.83,Weekly Bullish Divergence,
2017-04-24,2017-04-24,2017-05-08,,MACD Bearish breath,26.6,-8.44,23.1,-8.65,Weekly Bullish Divergence,
2017-05-08,2017-05-08,2017-06-05,,MACD Bearish,26.6,-8.92,17.5,-10.44,Weekly Bullish Divergence,
