Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-08-10,,Neutral,88.1,2.21,75.0,-0.11,,
2015-08-10,2015-08-10,2015-08-31,,MACD Bullish,87.0,3.65,82.0,2.76,,
2015-08-31,2015-08-31,2015-10-12,,MACD Bullish breath,84.59,1.65,78.0,-1.53,,
2015-10-12,2015-10-12,2015-11-09,,MACD Bullish,85.85,1.41,82.36,1.11,,
2015-11-09,2015-11-09,2015-11-23,,MACD Bullish breath,83.8,-0.46,79.93,-0.94,,
2015-11-23,2015-11-23,2015-12-28,,MACD Bearish,82.7,-1.03,72.02,-3.03,,
2015-12-28,2015-12-28,2016-01-04,,MACD Bearish breath,82.1,-1.09,78.75,-1.09,,
2016-01-04,2016-01-04,2016-02-08,,MACD Bearish,82.09,-2.54,69.5,-6.97,,
2016-02-08,2016-02-08,2016-03-21,,MACD Bearish breath,82.75,2.18,75.86,-3.53,,
2016-03-21,2016-03-21,2016-05-23,,MACD Bullish,86.23,4.25,79.0,1.49,,
2016-05-23,2016-05-23,2016-05-30,,MACD Bullish breath,85.99,2.95,84.18,2.95,,
2016-05-30,2016-05-30,2016-06-06,,MACD Bullish,86.05,3.17,83.21,3.17,,
2016-06-06,2016-06-06,2016-06-13,,MACD Bullish breath,87.99,2.84,83.52,2.84,,
2016-06-13,2016-06-13,2016-08-01,,MACD Bullish,93.0,6.3,85.31,3.1,,Sell signal
2016-08-01,2016-08-01,2016-08-08,,MACD Bullish breath,91.9,4.7,89.48,4.7,,
2016-08-08,2016-08-08,2016-08-15,,MACD Bullish,91.97,4.99,88.98,4.99,,
2016-08-15,2016-08-15,2016-10-17,,MACD Bullish breath,92.0,4.15,88.53,2.79,,
2016-10-17,2016-10-17,2016-10-24,,MACD Bullish,96.1,4.06,91.95,4.06,Weekly Bearish Divergence,Sell signal
2016-10-24,2016-10-24,2016-11-21,,MACD Bullish breath,94.0,3.29,87.8,1.72,Weekly Bearish Divergence,Sell signal
2016-11-21,2016-11-21,2017-01-23,,MACD Bullish,122.9,18.51,91.05,2.98,Weekly Bearish Divergence,Sell signal
2017-01-23,2017-01-23,2017-04-17,,MACD Bullish breath,112.0,9.57,96.05,-1.58,Weekly Bearish Divergence,
2017-04-17,2017-04-17,2017-05-01,,MACD Bearish,99.5,-1.41,92.03,-2.13,Weekly Bearish Divergence,
2017-05-01,2017-05-01,2017-05-08,,MACD Bearish breath,105.25,0.39,96.5,0.39,Weekly Bearish Divergence,
