Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,50.45,,45.27,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish,88.18,11.89,77.96,10.37,None,
2017-10-01,2017-10-01,2018-10-01,Bullish,MACD Bullish,144.19,34.69,86.53,13.52,None,
2018-10-01,2018-10-01,2019-01-01,Bullish breath,MACD Bullish breath,139.31,24.01,104.77,16.04,None,
2019-01-01,2019-01-01,2019-02-01,Bullish,MACD Bullish breath,142.26,22.93,111.44,22.93,,
2019-02-01,2019-02-01,2019-09-01,Bullish,MACD Bullish,201.0,49.0,140.67,33.92,,
2019-09-01,2019-09-01,2019-10-01,Bullish breath,MACD Bullish,196.81,43.34,174.71,43.34,,
2019-10-01,2019-10-01,2019-11-01,Bullish breath,MACD Bullish breath,191.64,36.41,168.26,36.41,,
2019-11-01,2019-11-01,2020-03-01,Bullish,MACD Bullish,248.27,56.98,175.53,47.13,,
2020-03-01,2020-03-01,2020-04-01,Bullish breath,MACD Bullish breath,236.65,37.15,151.97,37.15,,
2020-04-01,2020-04-01,2020-05-01,Bullish,MACD Bullish breath,226.05,42.16,158.83,42.16,,
2020-05-01,2020-05-01,2022-01-01,Bullish,MACD Bullish,725.4,235.09,203.32,47.07,,
2022-01-01,2022-01-01,2022-06-01,Bullish breath,MACD Bullish breath,675.34,131.24,168.59,-90.35,,
2022-06-01,2022-06-01,2022-08-01,Bullish breath,MACD Bearish,349.67,-51.01,270.32,-74.22,,
2022-08-01,2022-08-01,2022-10-01,Bullish breath,MACD Bearish breath,462.99,-5.47,343.08,-11.57,,
2022-10-01,2022-10-01,2022-11-01,Bullish breath,MACD Bearish,389.59,-19.16,303.55,-19.16,,
2022-11-01,2022-11-01,2022-12-01,Bullish breath,MACD Bearish breath,376.98,-14.05,298.67,-14.05,,
2022-12-01,2022-12-01,2023-09-01,Bearish,MACD Bearish,385.96,-28.56,197.99,-88.58,,
2023-09-01,2023-09-01,2023-10-01,Bearish,MACD Bearish breath,270.76,-67.57,251.35,-67.57,,
2023-10-01,2023-10-01,2023-11-01,Bearish,MACD Bearish,256.25,-77.88,209.15,-77.88,,
2023-11-01,2023-11-01,2024-02-01,Bearish,MACD Bearish breath,302.85,-26.53,212.43,-62.47,,
2024-02-01,2024-02-01,,Bearish breath,MACD Bearish breath,293.11,-22.32,275.64,-22.32,,
