Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,55.72,,47.94,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish,63.6,10.0,57.55,8.25,None,
2017-10-01,2017-10-01,2018-07-01,Bullish,MACD Bullish,95.4,23.49,59.35,10.73,None,
2018-07-01,2018-07-01,2018-11-01,Bullish breath,MACD Bullish breath,94.15,18.7,72.26,12.38,None,
2018-11-01,2018-11-01,2018-12-01,Bullish,MACD Bullish breath,89.92,14.7,78.86,14.7,,
2018-12-01,2018-12-01,2019-04-01,Bullish breath,MACD Bullish breath,90.57,11.56,66.28,8.12,,
2019-04-01,2019-04-01,2019-09-01,Bullish,MACD Bullish,106.8,18.31,86.2,15.97,Sell - Monthly Divergence,
2019-09-01,2019-09-01,2020-05-01,Bullish breath,MACD Bullish breath,101.91,12.77,60.04,-6.63,,
2020-05-01,2020-05-01,2020-06-01,Bullish breath,MACD Bearish,73.94,-7.98,65.35,-7.98,,
2020-06-01,2020-06-01,2020-12-01,Bearish,MACD Bearish,77.25,-9.29,51.15,-17.27,,
2020-12-01,2020-12-01,2021-04-01,Bearish,MACD Bearish breath,74.68,-6.11,54.85,-9.26,,
2021-04-01,2021-04-01,2021-08-01,Bearish breath,MACD Bearish breath,84.83,5.13,65.0,-2.3,,
2021-08-01,2021-08-01,2021-11-01,Bullish,MACD Bullish,97.04,11.28,78.38,8.38,,
2021-11-01,2021-11-01,2022-03-01,Bullish breath,MACD Bullish breath,90.12,0.8,61.08,-1.7,,
2022-03-01,2022-03-01,2022-04-01,Bearish,MACD Bullish breath,72.58,-2.36,58.3,-2.36,,
2022-04-01,2022-04-01,2022-05-01,Bullish,MACD Bullish,82.15,1.44,68.95,1.44,,
2022-05-01,2022-05-01,2022-06-01,Bullish breath,MACD Bullish,79.56,0.96,66.58,0.96,,
2022-06-01,2022-06-01,2022-07-01,Bearish,MACD Bullish breath,74.95,-1.49,64.33,-1.49,,
2022-07-01,2022-07-01,2022-08-01,Bearish,MACD Bearish,74.33,-0.97,63.43,-0.97,,
2022-08-01,2022-08-01,2022-09-01,Bullish,MACD Bullish,82.5,1.31,70.14,1.31,,
2022-09-01,2022-09-01,2022-10-01,Bullish breath,MACD Bullish,82.31,0.35,72.45,0.35,,
2022-10-01,2022-10-01,2023-06-01,Bullish,MACD Bullish,105.68,15.24,73.58,9.68,,
2023-06-01,2023-06-01,2023-09-01,Bullish breath,MACD Bullish breath,102.68,11.37,88.69,6.94,,
2023-09-01,2023-09-01,2023-10-01,Bullish,MACD Bullish breath,102.09,9.82,88.05,9.82,,
2023-10-01,2023-10-01,2024-01-01,Bullish,MACD Bullish,116.83,17.34,97.81,14.43,,
2024-01-01,2024-01-01,2024-02-01,Bullish breath,MACD Bullish,109.39,14.61,103.55,14.61,,
2024-02-01,2024-02-01,,Bullish,MACD Bullish,122.87,18.91,115.67,18.91,,
