Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,251.6,,221.61,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,269.5,12.58,226.09,4.85,,
2015-08-10,2015-08-10,2015-08-31,,MACD Bullish breath,256.45,3.12,225.83,-6.47,,
2015-08-31,2015-08-31,2015-10-12,,MACD Bearish,240.66,-12.35,213.74,-19.92,,
2015-10-12,2015-10-12,2015-11-09,,MACD Bearish breath,266.76,11.83,224.6,-11.71,,
2015-11-09,2015-11-09,2015-12-07,,MACD Bullish,267.85,15.67,246.28,8.52,,
2015-12-07,2015-12-07,2015-12-21,,MACD Bullish breath,257.99,2.79,231.03,0.06,,
2015-12-21,2015-12-21,2016-01-04,,MACD Bullish,264.98,7.87,248.79,6.97,,
2016-01-04,2016-01-04,2016-01-18,,MACD Bullish breath,257.97,1.72,220.61,-8.08,,
2016-01-18,2016-01-18,2016-02-29,,MACD Bearish,247.74,-4.09,217.41,-10.52,,
2016-02-29,2016-02-29,2016-03-21,,MACD Bearish breath,256.52,5.02,233.18,-0.93,,
2016-03-21,2016-03-21,2016-04-04,,MACD Bullish,257.2,3.72,243.93,3.6,,
2016-04-04,2016-04-04,2016-04-11,,MACD Bullish breath,249.27,0.03,237.66,0.03,,
2016-04-11,2016-04-11,2016-05-09,,MACD Bullish,259.66,7.7,239.5,4.66,,
2016-05-09,2016-05-09,2016-05-23,,MACD Bullish breath,258.73,4.1,241.38,4.07,,
2016-05-23,2016-05-23,2016-06-06,,MACD Bullish,262.49,6.74,250.45,6.41,,
2016-06-06,2016-06-06,2016-07-04,,MACD Bullish breath,262.36,4.43,229.51,-4.48,,
2016-07-04,2016-07-04,2016-10-17,,MACD Bullish,296.96,21.97,245.6,2.58,,Sell signal
2016-10-17,2016-10-17,2016-11-07,,MACD Bullish breath,295.99,18.67,280.98,13.09,,
2016-11-07,2016-11-07,2016-12-26,,MACD Bullish,367.0,57.83,283.98,27.45,,Sell signal
2016-12-26,2016-12-26,2017-05-01,,MACD Bullish breath,384.12,47.1,319.4,-8.02,,
2017-05-01,2017-05-01,2017-05-15,,MACD Bullish,357.9,7.84,330.37,4.65,,
2017-05-15,2017-05-15,2017-06-05,,MACD Bullish breath,346.04,0.83,326.0,-0.98,,
2017-06-05,2017-06-05,2017-07-24,,MACD Bullish,395.15,26.71,325.9,12.18,Weekly Bearish Divergence,Sell signal
2017-07-24,2017-07-24,2017-09-04,,MACD Bullish breath,383.97,16.35,335.03,-7.86,Weekly Bearish Divergence,
2017-09-04,2017-09-04,2017-09-18,,MACD Bearish,345.67,-11.18,323.74,-12.98,Weekly Bearish Divergence,
2017-09-18,2017-09-18,2017-10-02,,MACD Bearish breath,379.49,9.11,341.5,-2.96,Weekly Bearish Divergence,
2017-10-02,2017-10-02,2017-11-06,,MACD Bullish,417.98,39.18,371.52,16.15,Weekly Bearish Divergence,Sell signal
2017-11-06,2017-11-06,2017-12-11,Bullish,MACD Bullish,436.0,36.22,387.22,28.16,Weekly Bearish Divergence,
2017-12-11,2017-12-11,2018-01-08,Bullish,MACD Bullish breath,422.53,28.79,393.77,22.62,Weekly Bearish Divergence,
2018-01-08,2018-01-08,2018-01-29,Bullish,MACD Bullish,459.27,44.06,420.04,38.83,Weekly Bearish Divergence,
2018-01-29,2018-01-29,2018-02-05,Bullish,MACD Bullish breath,441.44,31.88,423.57,31.88,Weekly Bearish Divergence,
2018-02-05,2018-02-05,2018-03-05,Bullish breath,MACD Bullish breath,438.48,26.35,402.62,16.48,Sell - divergence,
2018-03-05,2018-03-05,2018-03-19,Bullish breath,MACD Bullish,463.44,31.62,415.25,28.87,,
2018-03-19,2018-03-19,2018-04-02,Bullish breath,MACD Bullish breath,453.0,12.19,400.18,5.96,,
2018-04-02,2018-04-02,2018-04-23,Bullish,MACD Bullish breath,428.74,6.03,398.5,0.66,,
2018-04-23,2018-04-23,2018-06-04,Bullish,MACD Bullish,457.74,22.06,421.68,13.91,,
2018-06-04,2018-06-04,2018-07-09,Bullish breath,MACD Bullish breath,450.0,16.64,399.0,-11.35,,
2018-07-09,2018-07-09,2018-07-30,Bullish breath,MACD Bearish,419.97,-12.75,396.12,-15.38,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-07-30,2018-07-30,2018-08-06,Bullish breath,MACD Bearish breath,427.48,-3.54,403.3,-3.54,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-08-06,2018-08-06,2018-08-13,Bullish,MACD Bearish breath,443.78,7.72,421.26,7.72,Buy - divergence,Buy signal
2018-08-13,2018-08-13,2018-09-24,Bullish,MACD Bullish,488.44,36.37,441.45,18.97,,
