Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish breath,Neutral,132.99,,108.6,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,135.2,5.63,109.19,-4.06,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bullish,134.28,6.58,129.33,6.58,,
2015-08-17,2015-08-17,2015-09-14,,MACD Bullish breath,134.27,2.48,112.43,-3.36,,
2015-09-14,2015-09-14,2015-10-19,,MACD Bearish,123.25,-3.06,111.43,-5.99,,
2015-10-19,2015-10-19,2015-10-26,,MACD Bearish breath,122.0,-2.4,116.7,-2.4,,
2015-10-26,2015-10-26,2016-01-25,,MACD Bearish,121.75,-5.96,88.75,-14.36,,
2016-01-25,2016-01-25,2016-02-01,,MACD Bearish breath,96.94,-12.17,92.49,-12.17,,
2016-02-01,2016-02-01,2016-02-15,,MACD Bearish,94.29,-12.83,86.03,-13.67,Weekly Bullish Divergence,
2016-02-15,2016-02-15,2016-04-11,,MACD Bearish breath,106.86,1.29,88.12,-11.5,Weekly Bullish Divergence,
2016-04-11,2016-04-11,2016-04-18,,MACD Bearish,99.78,-3.48,93.64,-3.48,Weekly Bullish Divergence,
2016-04-18,2016-04-18,2016-05-16,,MACD Bearish breath,107.08,1.66,95.01,-0.49,Weekly Bullish Divergence,
2016-05-16,2016-05-16,2016-08-22,,MACD Bullish,127.13,12.05,103.54,2.72,Weekly Bullish Divergence,Sell signal
2016-08-22,2016-08-22,2016-10-24,,MACD Bullish breath,125.97,9.96,114.45,1.98,Weekly Bullish Divergence,
2016-10-24,2016-10-24,2016-12-26,,MACD Bullish,148.34,17.26,116.5,8.49,Weekly Bullish Divergence,Sell signal
2016-12-26,2016-12-26,2017-03-06,,MACD Bullish breath,146.98,14.01,130.61,4.25,Weekly Bullish Divergence,
2017-03-06,2017-03-06,2017-03-27,,MACD Bullish,149.5,9.01,140.5,7.69,Weekly Bearish Divergence,
2017-03-27,2017-03-27,2017-05-01,,MACD Bullish breath,147.54,6.01,125.3,-4.27,Weekly Bearish Divergence,
2017-05-01,2017-05-01,2017-06-12,,MACD Bearish,131.93,-5.13,124.27,-7.01,Weekly Bearish Divergence,
2017-06-12,2017-06-12,2017-06-26,,MACD Bearish breath,132.2,-3.91,126.98,-4.65,Weekly Bearish Divergence,
2017-06-26,2017-06-26,2017-09-18,,MACD Bearish,130.49,-4.61,114.76,-9.99,Weekly Bearish Divergence,
2017-09-18,2017-09-18,2017-11-06,,MACD Bearish breath,127.48,-3.03,114.63,-6.57,Weekly Bearish Divergence,
2017-11-06,2017-11-06,2017-12-04,Bullish breath,MACD Bearish breath,134.5,4.12,119.4,-2.85,Weekly Bearish Divergence,Sell signal
2017-12-04,2017-12-04,2018-01-01,Bullish breath,MACD Bullish,136.35,6.26,129.7,5.68,Weekly Bearish Divergence,Sell signal
2018-01-01,2018-01-01,2018-03-19,Bullish,MACD Bullish,153.91,12.43,131.31,7.32,Weekly Bearish Divergence,
2018-03-19,2018-03-19,2018-04-09,Bullish,MACD Bullish breath,151.07,9.3,138.67,5.43,Weekly Bearish Divergence,
2018-04-09,2018-04-09,2018-06-18,Bullish,MACD Bullish,182.75,23.23,139.68,10.16,Weekly Bearish Divergence,
2018-06-18,2018-06-18,2018-08-20,Bullish,MACD Bullish breath,183.27,18.36,168.03,10.02,Weekly Bearish Divergence,
2018-08-20,2018-08-20,2018-10-01,Bullish,MACD Bullish,199.71,20.42,180.68,15.88,Weekly Bearish Divergence,Buy signal
2018-10-01,2018-10-01,2018-12-03,Bullish breath,MACD Bullish breath,195.41,13.14,161.25,-3.32,Sell - divergence,
2018-12-03,2018-12-03,2019-01-28,Bullish breath,MACD Bearish,176.7,-5.26,149.87,-11.28,,
2019-01-28,2019-01-28,2019-03-04,Bullish breath,MACD Bearish breath,173.44,1.07,155.52,-7.72,,Waiting for confirmation : Buy
2019-03-04,2019-03-04,2019-04-01,Bullish breath,MACD Bearish,167.29,-4.21,148.91,-9.8,Weekly Bullish Divergence,Waiting for confirmation : Buy
2019-04-01,2019-04-01,2019-04-29,Bullish breath,MACD Bearish breath,168.94,-0.49,156.0,-2.96,Weekly Bullish Divergence,Waiting for confirmation : Buy
2019-04-29,2019-04-29,2019-06-17,Bullish breath,MACD Bearish,160.63,-5.51,131.53,-20.12,Weekly Bullish Divergence,Waiting for confirmation : Buy
2019-06-17,2019-06-17,2019-08-05,Bullish breath,MACD Bearish breath,153.99,-1.71,135.67,-12.89,Weekly Bullish Divergence,Waiting for confirmation : Buy
2019-08-05,2019-08-05,2019-09-02,Bullish breath,MACD Bearish,137.91,-10.67,121.36,-17.26,Weekly Bullish Divergence,Waiting for confirmation : Buy
2019-09-02,2019-09-02,2019-09-09,Bearish,MACD Bearish,133.22,-13.25,126.51,-13.25,Weekly Bullish Divergence,
2019-09-09,2019-09-09,2019-11-25,Bearish,MACD Bearish breath,153.0,3.26,128.51,-8.48,Weekly Bullish Divergence,
2019-11-25,2019-11-25,2019-12-02,Bearish,MACD Bullish,146.8,2.02,142.39,2.02,Weekly Bullish Divergence,
2019-12-02,2019-12-02,2020-02-17,Bearish,MACD Bearish,146.71,-1.1,121.19,-11.55,Weekly Bullish Divergence,
2020-02-17,2020-02-17,2020-02-24,Bearish,MACD Bearish breath,133.43,-6.77,126.89,-6.77,Weekly Bullish Divergence,
2020-02-24,2020-02-24,2020-04-06,Bearish,MACD Bearish,131.63,-10.62,79.78,-22.89,Weekly Bullish Divergence,
2020-04-06,2020-04-06,2020-05-11,Bearish,MACD Bearish breath,153.56,10.36,109.05,-10.1,Weekly Bullish Divergence,Sell signal
2020-05-11,2020-05-11,2020-06-15,Bearish,MACD Bullish,149.38,10.99,134.93,7.93,Weekly Bullish Divergence,
2020-06-15,2020-06-15,2020-07-06,Bearish,MACD Bullish breath,145.2,6.03,132.1,5.02,Weekly Bullish Divergence,
2020-07-06,2020-07-06,2020-07-27,Bearish,MACD Bullish,156.36,11.71,132.94,6.1,Weekly Bullish Divergence,
2020-07-27,2020-07-27,2020-09-07,Bearish,MACD Bullish breath,154.21,5.38,125.92,-5.4,Weekly Bullish Divergence,
2020-09-07,2020-09-07,2020-10-05,Bearish,MACD Bearish,126.2,-9.43,116.79,-11.09,Weekly Bullish Divergence,
2020-10-05,2020-10-05,2020-11-02,Bearish,MACD Bearish breath,139.79,-0.75,122.25,-6.75,Weekly Bullish Divergence,
2020-11-02,2020-11-02,2020-11-09,Bearish breath,MACD Bearish breath,144.62,5.11,129.43,5.11,Buy - divergence,
2020-11-09,2020-11-09,2020-12-07,Bearish breath,MACD Bullish,167.0,22.33,150.55,14.06,,Sell signal
2020-12-07,2020-12-07,2021-02-15,Bullish,MACD Bullish,211.01,37.22,165.02,24.73,,
2021-02-15,2021-02-15,2021-03-22,Bullish,MACD Bullish breath,213.8,30.94,182.41,19.59,,
2021-03-22,2021-03-22,2021-04-12,Bullish,MACD Bullish,216.15,25.78,197.63,24.55,Weekly Bearish Divergence,Buy signal
2021-04-12,2021-04-12,2021-07-19,Bullish,MACD Bullish breath,213.38,23.58,174.34,-1.53,Weekly Bearish Divergence,
2021-07-19,2021-07-19,2021-09-06,Bullish,MACD Bullish,215.56,14.11,181.98,2.22,Weekly Bearish Divergence,
2021-09-06,2021-09-06,2021-10-18,Bullish,MACD Bullish breath,210.47,8.63,193.5,4.94,Weekly Bearish Divergence,
2021-10-18,2021-10-18,2022-01-03,Bullish,MACD Bullish,249.0,23.27,200.4,7.47,Weekly Bearish Divergence,Buy signal
2022-01-03,2022-01-03,2022-02-14,Bullish breath,MACD Bullish breath,245.59,18.71,188.5,-12.17,Sell - divergence,Waiting for confirmation : Buy
2022-02-14,2022-02-14,2022-03-21,Bullish breath,MACD Bearish,205.78,-8.95,188.58,-12.32,,Waiting for confirmation : Buy
2022-03-21,2022-03-21,2022-04-11,Bullish breath,MACD Bearish breath,217.41,-1.21,203.1,-4.55,,Waiting for confirmation : Buy
2022-04-11,2022-04-11,2022-07-04,Bullish breath,MACD Bearish,210.0,-5.06,147.47,-32.4,,Waiting for confirmation : Buy
2022-07-04,2022-07-04,2022-09-05,Bullish breath,MACD Bearish breath,174.38,-4.66,142.43,-26.01,,Waiting for confirmation : Buy
2022-09-05,2022-09-05,2022-09-12,Bearish,MACD Bearish breath,160.49,-11.34,153.92,-11.34,,
2022-09-12,2022-09-12,2022-10-17,Bearish,MACD Bearish,164.27,-15.44,135.1,-19.96,,
2022-10-17,2022-10-17,2022-10-31,Bearish,MACD Bearish breath,153.95,-15.33,135.18,-16.53,,
2022-10-31,2022-10-31,2022-11-07,Bearish,MACD Bearish,145.26,-17.38,134.8,-17.38,Weekly Bullish Divergence,
2022-11-07,2022-11-07,2022-12-19,Bearish,MACD Bearish breath,159.96,-4.5,133.68,-12.53,Weekly Bullish Divergence,
2022-12-19,2022-12-19,2023-01-09,Bearish,MACD Bearish,147.61,-9.86,137.49,-10.28,Weekly Bullish Divergence,
2023-01-09,2023-01-09,2023-02-20,Bearish,MACD Bearish breath,159.95,-2.29,138.5,-7.74,Weekly Bullish Divergence,
2023-02-20,2023-02-20,2023-02-27,Bearish,MACD Bearish,145.64,-6.21,139.1,-6.21,Weekly Bullish Divergence,
2023-02-27,2023-02-27,2023-03-06,Bearish,MACD Bearish breath,146.91,-5.0,140.19,-5.0,Weekly Bullish Divergence,
2023-03-06,2023-03-06,2023-03-27,Bearish,MACD Bearish,147.86,-6.6,135.49,-7.28,Weekly Bullish Divergence,
2023-03-27,2023-03-27,2023-04-17,Bearish,MACD Bearish breath,148.22,-2.12,138.3,-4.18,Weekly Bullish Divergence,
2023-04-17,2023-04-17,2023-05-15,Bearish,MACD Bearish,146.2,-6.75,127.05,-9.48,Weekly Bullish Divergence,
2023-05-15,2023-05-15,2023-06-26,Bearish,MACD Bearish breath,154.04,3.83,137.29,-4.5,Weekly Bullish Divergence,
2023-06-26,2023-06-26,2023-07-03,Bearish,MACD Bullish,148.11,1.29,142.52,1.29,Weekly Bullish Divergence,
2023-07-03,2023-07-03,2023-07-10,Bearish,MACD Bullish breath,146.45,-0.12,142.16,-0.12,Weekly Bullish Divergence,
2023-07-10,2023-07-10,2023-08-07,Bearish,MACD Bullish,167.89,8.36,142.81,0.7,Weekly Bullish Divergence,Sell signal
2023-08-07,2023-08-07,2023-09-18,Bearish breath,MACD Bullish,165.62,10.28,153.31,7.32,Buy - divergence,
2023-09-18,2023-09-18,2023-11-06,Bearish breath,MACD Bullish breath,162.73,7.31,145.45,-1.77,,
2023-11-06,2023-11-06,2024-01-01,Bearish breath,MACD Bullish,180.7,16.08,152.97,2.74,,Sell signal
2024-01-01,2024-01-01,2024-01-15,Bearish breath,MACD Bullish breath,178.15,12.22,171.05,12.0,,
2024-01-15,2024-01-15,2024-01-22,Bullish,MACD Bullish,185.24,14.68,174.61,13.13,,
