Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,17.72,,15.96,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,20.72,0.69,15.68,0.02,,
2015-08-10,2015-08-10,2015-09-07,,MACD Bullish,20.98,0.92,18.38,0.3,,Sell signal
2015-09-07,2015-09-07,2015-10-05,,MACD Bullish breath,20.0,0.42,17.88,0.07,,
2015-10-05,2015-10-05,2015-12-07,,MACD Bullish,24.48,2.96,18.56,0.71,,Sell signal
2015-12-07,2015-12-07,2015-12-21,,MACD Bullish breath,23.89,2.04,21.43,1.99,,
2015-12-21,2015-12-21,2015-12-28,,MACD Bullish,24.53,2.32,22.8,2.32,Weekly Bearish Divergence,
2015-12-28,2015-12-28,2016-01-25,,MACD Bullish breath,24.34,2.27,21.29,1.19,Weekly Bearish Divergence,
2016-01-25,2016-01-25,2016-03-14,,MACD Bullish,29.93,4.72,22.65,1.99,Weekly Bearish Divergence,Sell signal
2016-03-14,2016-03-14,2016-03-21,,MACD Bullish breath,28.28,3.52,27.11,3.52,Weekly Bearish Divergence,
2016-03-21,2016-03-21,2016-05-16,,MACD Bullish,36.75,5.42,28.15,4.32,Weekly Bearish Divergence,Sell signal
2016-05-16,2016-05-16,2016-05-23,,MACD Bullish breath,34.32,4.5,31.59,4.5,Weekly Bearish Divergence,
2016-05-23,2016-05-23,2016-06-20,,MACD Bullish,39.05,5.93,32.28,4.95,Weekly Bearish Divergence,Sell signal
2016-06-20,2016-06-20,2016-07-11,,MACD Bullish breath,38.37,4.81,33.91,4.63,Weekly Bearish Divergence,
2016-07-11,2016-07-11,2016-07-25,,MACD Bullish,38.83,5.12,36.34,5.04,Weekly Bearish Divergence,
2016-07-25,2016-07-25,2016-08-08,,MACD Bullish breath,41.2,4.73,33.96,4.07,Weekly Bearish Divergence,
2016-08-08,2016-08-08,2016-08-22,,MACD Bullish,45.01,5.22,36.55,5.16,Weekly Bearish Divergence,Sell signal
2016-08-22,2016-08-22,2016-09-12,,MACD Bullish breath,42.48,4.83,38.6,4.44,Weekly Bearish Divergence,Sell signal
2016-09-12,2016-09-12,2016-10-10,,MACD Bullish,46.5,6.66,39.01,5.51,Weekly Bearish Divergence,
2016-10-10,2016-10-10,2016-11-14,,MACD Bullish breath,46.12,4.84,36.42,0.62,Weekly Bearish Divergence,
2016-11-14,2016-11-14,2016-11-28,,MACD Bullish,45.2,3.67,40.7,3.16,Weekly Bearish Divergence,
2016-11-28,2016-11-28,2017-01-23,,MACD Bullish breath,44.21,1.92,33.98,-1.64,Weekly Bearish Divergence,
2017-01-23,2017-01-23,2017-03-06,,MACD Bullish,49.63,5.11,36.93,0.26,Weekly Bearish Divergence,Sell signal
2017-03-06,2017-03-06,2017-04-17,,MACD Bullish breath,44.71,1.56,37.19,-1.51,Weekly Bearish Divergence,
2017-04-17,2017-04-17,2017-05-29,,MACD Bearish,39.45,-1.97,31.97,-4.94,Weekly Bearish Divergence,
2017-05-29,2017-05-29,2017-07-03,,MACD Bearish breath,46.58,1.66,34.35,-1.93,Weekly Bearish Divergence,
2017-07-03,2017-07-03,2017-08-07,,MACD Bullish,47.02,4.41,41.62,2.82,Weekly Bearish Divergence,
2017-08-07,2017-08-07,2017-09-11,,MACD Bullish breath,43.98,1.52,36.19,-1.84,Weekly Bearish Divergence,
2017-09-11,2017-09-11,2017-10-23,,MACD Bearish,39.49,-1.94,34.41,-2.7,Weekly Bearish Divergence,
2017-10-23,2017-10-23,2017-10-30,,MACD Bearish breath,38.19,-1.78,36.2,-1.78,Weekly Bearish Divergence,
2017-10-30,2017-10-30,2017-11-06,,MACD Bearish,37.89,-3.71,31.2,-3.71,Weekly Bearish Divergence,
2017-11-06,2017-11-06,2018-01-08,Bullish breath,MACD Bearish,33.15,-4.45,28.35,-5.47,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-01-08,2018-01-08,2018-01-15,Bullish breath,MACD Bearish breath,30.06,-4.76,28.89,-4.76,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-01-15,2018-01-15,2018-02-05,Bullish breath,MACD Bearish,29.46,-5.02,24.57,-6.24,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-02-05,2018-02-05,2018-04-02,Bullish breath,MACD Bearish breath,33.92,0.7,24.02,-4.31,Weekly Bearish Divergence,Waiting for confirmation : Buy
2018-04-02,2018-04-02,2018-04-23,Bearish,MACD Bearish breath,34.27,0.44,29.58,-0.51,Weekly Bearish Divergence,
2018-04-23,2018-04-23,2018-04-30,Bearish,MACD Bearish,31.03,-1.79,28.01,-1.79,Weekly Bullish Divergence,
2018-04-30,2018-04-30,2018-05-14,Bearish,MACD Bearish breath,36.05,1.41,27.69,-0.51,Weekly Bullish Divergence,
2018-05-14,2018-05-14,2018-06-04,Bearish,MACD Bullish,37.64,3.3,34.27,2.66,Weekly Bullish Divergence,Sell signal
2018-06-04,2018-06-04,2018-08-06,Bullish breath,MACD Bullish,40.38,4.09,35.02,2.89,Buy - divergence,
2018-08-06,2018-08-06,2018-09-17,Bullish,MACD Bullish,48.97,8.22,39.68,4.62,,
2018-09-17,2018-09-17,2018-11-05,Bullish,MACD Bullish breath,47.29,6.11,40.94,2.19,,
2018-11-05,2018-11-05,2018-12-03,Bullish,MACD Bullish,54.7,7.36,44.65,5.72,Weekly Bearish Divergence,Buy signal
2018-12-03,2018-12-03,2019-01-07,Bullish,MACD Bullish breath,54.05,5.21,46.5,3.76,Weekly Bearish Divergence,
