Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,23.24,,19.54,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,22.9,-0.78,15.95,-1.48,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bearish breath,17.85,-0.86,16.7,-0.86,,
2015-08-17,2015-08-17,2015-11-02,,MACD Bearish,17.49,-1.21,12.57,-2.77,,
2015-11-02,2015-11-02,2015-11-09,,MACD Bearish breath,13.49,-2.46,12.7,-2.46,,
2015-11-09,2015-11-09,2015-11-16,,MACD Bearish,13.43,-2.47,12.58,-2.47,,
2015-11-16,2015-11-16,2015-12-07,,MACD Bearish breath,14.9,-1.64,12.07,-2.45,,
2015-12-07,2015-12-07,2015-12-21,,MACD Bearish,14.0,-2.46,11.0,-2.54,Weekly Bullish Divergence,
2015-12-21,2015-12-21,2016-01-11,,MACD Bearish breath,12.44,-2.11,11.18,-2.3,Weekly Bullish Divergence,
2016-01-11,2016-01-11,2016-01-18,,MACD Bearish,12.0,-2.34,10.83,-2.34,Weekly Bullish Divergence,
2016-01-18,2016-01-18,2016-03-21,,MACD Bearish breath,15.17,0.91,10.76,-1.99,Weekly Bullish Divergence,Sell signal
2016-03-21,2016-03-21,2016-05-09,,MACD Bullish,16.57,1.75,14.5,1.16,Weekly Bullish Divergence,Sell signal
2016-05-09,2016-05-09,2016-06-20,,MACD Bullish breath,15.98,1.07,11.78,-0.58,Weekly Bullish Divergence,
2016-06-20,2016-06-20,2016-07-04,,MACD Bearish,14.64,-0.15,13.0,-0.69,Weekly Bullish Divergence,
2016-07-04,2016-07-04,2016-07-11,,MACD Bearish breath,15.27,0.33,14.46,0.33,Weekly Bullish Divergence,
2016-07-11,2016-07-11,2016-08-08,,MACD Bullish,16.29,0.87,14.65,0.56,Weekly Bullish Divergence,
2016-08-08,2016-08-08,2016-08-29,,MACD Bullish breath,15.25,0.14,13.7,-0.05,Weekly Bullish Divergence,
2016-08-29,2016-08-29,2016-09-05,,MACD Bullish,15.13,0.29,14.71,0.29,Weekly Bullish Divergence,
2016-09-05,2016-09-05,2016-09-12,,MACD Bullish breath,15.25,0.03,14.28,0.03,Weekly Bullish Divergence,
2016-09-12,2016-09-12,2016-12-12,,MACD Bullish,23.13,3.85,14.12,0.22,Weekly Bullish Divergence,Sell signal
2016-12-12,2016-12-12,2017-03-13,,MACD Bullish breath,20.43,2.05,13.11,-1.75,Weekly Bullish Divergence,
2017-03-13,2017-03-13,2017-04-17,,MACD Bearish,14.75,-2.62,12.03,-3.85,Weekly Bullish Divergence,
2017-04-17,2017-04-17,2017-06-05,,MACD Bearish breath,17.66,0.56,14.08,-1.82,Weekly Bullish Divergence,
2017-06-05,2017-06-05,2017-07-17,,MACD Bearish,17.71,-0.54,13.38,-1.3,Weekly Bullish Divergence,
2017-07-17,2017-07-17,2017-08-14,,MACD Bearish breath,15.43,-0.66,14.55,-0.76,Weekly Bullish Divergence,
2017-08-14,2017-08-14,2017-08-28,,MACD Bearish,15.25,-1.15,13.2,-1.23,Weekly Bullish Divergence,
2017-08-28,2017-08-28,2017-09-18,,MACD Bearish breath,15.1,-0.83,13.94,-0.9,Weekly Bullish Divergence,
