Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,59.79,,54.77,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish,117.2,28.85,102.63,26.77,None,
2017-10-01,2017-10-01,2018-10-01,Bullish,MACD Bullish,191.8,55.67,116.4,32.04,None,
2018-10-01,2018-10-01,2018-11-01,Bullish breath,MACD Bullish,193.71,47.72,155.69,47.72,None,
2018-11-01,2018-11-01,2019-03-01,Bullish breath,MACD Bullish breath,186.32,43.65,143.41,32.77,,
2019-03-01,2019-03-01,2019-04-01,Bullish,MACD Bullish breath,193.08,38.09,174.56,38.09,,
2019-04-01,2019-04-01,2019-11-01,Bullish breath,MACD Bullish breath,196.44,29.56,151.72,18.01,,
2019-11-01,2019-11-01,2020-01-01,Bullish breath,MACD Bullish,200.53,29.99,180.06,28.59,Sell - Monthly Divergence,
2020-01-01,2020-01-01,2020-06-01,Bullish breath,MACD Bullish breath,206.33,25.08,120.17,6.42,,
2020-06-01,2020-06-01,2020-07-01,Bullish breath,MACD Bullish,200.4,16.78,181.01,16.78,,
2020-07-01,2020-07-01,2021-02-01,Bullish,MACD Bullish,275.6,57.03,188.74,33.46,,
2021-02-01,2021-02-01,2021-03-01,Bullish breath,MACD Bullish,270.93,44.73,242.1,44.73,,
2021-03-01,2021-03-01,2021-04-01,Bullish breath,MACD Bullish breath,253.59,40.49,227.47,40.49,,
2021-04-01,2021-04-01,2021-11-01,Bullish,MACD Bullish,362.67,89.87,248.63,54.93,,
2021-11-01,2021-11-01,2021-12-01,Bullish breath,MACD Bullish breath,369.69,73.94,321.5,73.94,,
2021-12-01,2021-12-01,2022-01-01,Bullish,MACD Bullish,369.21,78.72,313.69,78.72,Sell - Monthly Divergence,
2022-01-01,2022-01-01,2022-07-01,Bullish breath,MACD Bullish breath,362.0,46.02,186.83,-37.81,,
2022-07-01,2022-07-01,2022-08-01,Bullish breath,MACD Bearish,231.26,-32.8,196.1,-32.8,,
2022-08-01,2022-08-01,2022-11-01,Bearish,MACD Bearish,249.14,-26.61,180.07,-49.17,,
2022-11-01,2022-11-01,2023-02-01,Bearish,MACD Bearish breath,285.09,3.06,231.07,-4.99,,
2023-02-01,2023-02-01,2023-03-01,Bearish,MACD Bearish,261.95,-10.79,228.74,-10.79,,
2023-03-01,2023-03-01,2023-04-01,Bearish,MACD Bearish breath,259.02,-3.48,222.65,-3.48,,
2023-04-01,2023-04-01,2023-05-01,Bullish,MACD Bearish breath,304.84,19.51,250.01,19.51,,
2023-05-01,2023-05-01,2023-09-01,Bullish,MACD Bullish,358.07,51.48,282.5,32.25,,
2023-09-01,2023-09-01,2023-11-01,Bullish breath,MACD Bullish breath,318.2,30.31,254.85,10.08,,
2023-11-01,2023-11-01,2023-12-01,Bullish,MACD Bullish breath,318.26,21.05,262.0,21.05,,
2023-12-01,2023-12-01,2024-02-01,Bullish,MACD Bullish,385.43,70.83,304.5,36.18,,
