Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,90.97,,79.84,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish,120.48,15.33,98.01,8.64,None,
2017-10-01,2017-10-01,2018-02-01,Bullish,MACD Bullish,127.99,17.6,105.0,14.07,None,
2018-02-01,2018-02-01,2018-08-01,Bullish breath,MACD Bullish breath,124.88,9.61,78.85,-6.9,None,
2018-08-01,2018-08-01,2019-02-01,Bearish,MACD Bearish,92.24,-9.21,67.9,-13.77,,
2019-02-01,2019-02-01,2019-04-01,Bearish,MACD Bearish breath,93.79,-3.57,79.75,-6.25,,
2019-04-01,2019-04-01,2019-05-01,Bearish breath,MACD Bearish breath,114.81,6.64,92.47,6.64,,
2019-05-01,2019-05-01,2020-01-01,Bullish,MACD Bullish,165.27,39.21,110.39,11.4,,
2020-01-01,2020-01-01,2020-06-01,Bullish breath,MACD Bullish breath,148.44,25.7,55.74,-8.11,,
2020-06-01,2020-06-01,2020-07-01,Bullish breath,MACD Bullish,154.88,15.58,121.43,15.58,,
2020-07-01,2020-07-01,2021-06-01,Bullish,MACD Bullish,417.98,154.16,151.33,55.41,,
2021-06-01,2021-06-01,2021-07-01,Bullish breath,MACD Bullish breath,360.21,113.62,312.81,113.62,,
2021-07-01,2021-07-01,2021-08-01,Bullish,MACD Bullish breath,387.63,115.43,330.88,115.43,,
2021-08-01,2021-08-01,2022-10-01,Bullish breath,MACD Bullish breath,384.91,92.43,209.0,-30.17,,Waiting for confirmation : Buy
2022-10-01,2022-10-01,2023-01-01,Bearish,MACD Bearish,249.69,-35.42,180.0,-46.93,,
2023-01-01,2023-01-01,2023-04-01,Bearish,MACD Bearish breath,299.29,-12.84,198.82,-20.74,,
2023-04-01,2023-04-01,2023-06-01,Bearish,MACD Bearish,249.0,-22.37,205.97,-25.85,,
2023-06-01,2023-06-01,2023-07-01,Bearish,MACD Bearish breath,307.43,10.24,230.98,10.24,,
2023-07-01,2023-07-01,2023-08-01,Bullish,MACD Bearish breath,329.0,27.69,289.6,27.69,,
2023-08-01,2023-08-01,2023-10-01,Bullish,MACD Bullish,319.4,33.68,285.89,29.79,,
2023-10-01,2023-10-01,2023-12-01,Bullish breath,MACD Bullish breath,296.88,4.27,231.36,2.85,,
2023-12-01,2023-12-01,2024-02-01,Bullish,MACD Bullish,331.96,28.61,257.67,23.35,,
