Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,50.11,,44.3,,None,
2017-08-01,2017-08-01,2017-09-01,,MACD Bullish,104.34,23.88,97.99,23.88,None,
2017-09-01,2017-09-01,2017-10-01,,MACD Bullish breath,104.66,21.19,93.72,21.19,None,
2017-10-01,2017-10-01,2018-09-01,Bullish breath,MACD Bullish breath,99.68,15.75,68.33,-4.45,None,
2018-09-01,2018-09-01,2018-12-01,Bullish breath,MACD Bullish,85.83,3.87,73.95,2.7,,
2018-12-01,2018-12-01,2019-01-01,Bullish breath,MACD Bullish breath,85.88,-1.34,68.47,-1.34,,
2019-01-01,2019-01-01,2019-04-01,Bullish breath,MACD Bullish,94.64,7.43,70.49,1.83,,
2019-04-01,2019-04-01,2020-03-01,Bullish,MACD Bullish,140.0,28.35,91.33,11.19,,
2020-03-01,2020-03-01,2020-04-01,Bullish breath,MACD Bullish breath,134.37,17.35,86.2,17.35,,
2020-04-01,2020-04-01,2020-05-01,Bullish,MACD Bullish breath,129.29,17.84,105.15,17.84,,
2020-05-01,2020-05-01,2020-06-01,Bullish,MACD Bullish,137.44,23.35,119.77,23.35,,
2020-06-01,2020-06-01,2020-07-01,Bullish breath,MACD Bullish breath,138.61,19.64,116.78,19.64,,
2020-07-01,2020-07-01,2021-01-01,Bullish,MACD Bullish,165.23,31.99,123.79,22.87,,
2021-01-01,2021-01-01,2021-04-01,Bullish breath,MACD Bullish breath,159.03,26.38,142.63,22.68,,
2021-04-01,2021-04-01,2021-09-01,Bullish,MACD Bullish,191.74,39.29,145.62,26.45,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish,194.05,32.46,171.17,32.46,,
2021-10-01,2021-10-01,2022-05-01,Bullish breath,MACD Bullish breath,179.27,23.73,109.22,-16.82,,Waiting for confirmation : Buy
2022-05-01,2022-05-01,2022-06-01,Bullish breath,MACD Bearish,126.62,-16.55,107.4,-16.55,,Waiting for confirmation : Buy
2022-06-01,2022-06-01,2023-02-01,Bearish,MACD Bearish,126.62,-19.87,68.67,-40.11,,
2023-02-01,2023-02-01,2023-08-01,Bearish,MACD Bearish breath,96.88,-21.21,70.36,-30.16,,
2023-08-01,2023-08-01,2024-02-01,Bearish breath,MACD Bearish breath,95.68,-13.58,73.98,-17.77,,
2024-02-01,2024-02-01,,Bearish breath,MACD Bearish,81.27,-21.73,66.41,-21.73,,
