Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish breath,Neutral,16.92,,15.22,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,18.64,0.24,14.05,-1.43,,
2015-08-10,2015-08-10,2015-09-21,,MACD Bearish breath,17.54,-0.04,14.98,-0.43,,
2015-09-21,2015-09-21,2015-10-05,,MACD Bearish,16.2,-0.61,13.94,-0.97,,
2015-10-05,2015-10-05,2015-10-19,,MACD Bearish breath,17.64,0.44,14.81,0.02,,
2015-10-19,2015-10-19,2015-11-30,,MACD Bullish,18.4,1.02,16.28,0.57,,
2015-11-30,2015-11-30,2015-12-21,,MACD Bullish breath,18.65,0.58,16.35,0.13,,
2015-12-21,2015-12-21,2016-01-04,,MACD Bullish,18.97,0.83,17.09,0.78,Weekly Bearish Divergence,
2016-01-04,2016-01-04,2016-01-25,,MACD Bullish breath,18.09,0.19,14.19,-0.72,Weekly Bearish Divergence,
2016-01-25,2016-01-25,2016-02-22,,MACD Bearish,16.3,-0.84,13.31,-1.56,Weekly Bearish Divergence,
2016-02-22,2016-02-22,2016-04-11,,MACD Bearish breath,18.04,0.78,14.86,-0.82,Weekly Bearish Divergence,
2016-04-11,2016-04-11,2016-06-06,,MACD Bullish,18.77,1.11,16.5,0.57,Weekly Bearish Divergence,
2016-06-06,2016-06-06,2016-07-04,,MACD Bullish breath,18.65,0.68,15.74,-0.02,Weekly Bearish Divergence,
2016-07-04,2016-07-04,2016-08-15,,MACD Bullish,20.97,2.07,17.19,0.72,Weekly Bearish Divergence,Sell signal
2016-08-15,2016-08-15,2016-08-29,,MACD Bullish breath,19.45,1.04,18.53,0.92,Weekly Bearish Divergence,
2016-08-29,2016-08-29,2016-09-05,,MACD Bullish,20.04,1.24,19.07,1.24,Weekly Bearish Divergence,
2016-09-05,2016-09-05,2016-11-07,,MACD Bullish breath,20.29,1.07,17.08,-0.53,Weekly Bearish Divergence,
2016-11-07,2016-11-07,2016-11-14,,MACD Bearish,18.5,-0.48,17.41,-0.48,Weekly Bearish Divergence,
2016-11-14,2016-11-14,2016-12-26,,MACD Bullish,21.16,1.31,18.05,0.3,Weekly Bearish Divergence,Sell signal
2016-12-26,2016-12-26,2017-01-09,,MACD Bullish breath,20.06,0.46,18.77,0.38,Weekly Bearish Divergence,
2017-01-09,2017-01-09,2017-01-16,,MACD Bullish,19.98,0.62,19.07,0.62,Weekly Bearish Divergence,
2017-01-16,2017-01-16,2017-01-30,,MACD Bullish breath,20.13,0.31,18.69,0.21,Weekly Bearish Divergence,
2017-01-30,2017-01-30,2017-05-01,,MACD Bullish,26.93,3.36,18.72,0.5,Weekly Bearish Divergence,Sell signal
