Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish,Neutral,33.5,,30.76,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,33.86,0.71,27.35,-1.69,,
2015-08-10,2015-08-10,2015-10-05,,MACD Bearish,29.04,-1.86,26.14,-2.41,,
2015-10-05,2015-10-05,2015-11-23,,MACD Bearish breath,31.99,0.87,27.5,-1.48,,
2015-11-23,2015-11-23,2015-12-07,,MACD Bullish,32.22,1.32,29.51,0.63,,
2015-12-07,2015-12-07,2015-12-14,,MACD Bullish breath,30.67,-0.15,28.71,-0.15,,
2015-12-14,2015-12-14,2016-01-04,,MACD Bullish,31.25,0.58,28.69,0.22,,
2016-01-04,2016-01-04,2016-01-11,,MACD Bullish breath,29.78,-0.64,27.74,-0.64,,
2016-01-11,2016-01-11,2016-02-15,,MACD Bearish,30.3,-0.61,27.12,-1.06,,
2016-02-15,2016-02-15,2016-03-14,,MACD Bearish breath,31.2,0.5,27.64,-0.37,,
2016-03-14,2016-03-14,2016-03-28,,MACD Bearish,29.44,-0.29,27.9,-0.33,,
2016-03-28,2016-03-28,2016-04-11,,MACD Bearish breath,30.55,0.25,28.7,0.09,,
2016-04-11,2016-04-11,2016-06-06,,MACD Bullish,35.32,3.09,29.72,0.44,,Sell signal
2016-06-06,2016-06-06,2016-07-04,,MACD Bullish breath,33.62,1.88,31.15,1.03,,
2016-07-04,2016-07-04,2016-10-31,,MACD Bullish,42.14,4.39,32.74,1.85,,Sell signal
2016-10-31,2016-10-31,2016-12-12,,MACD Bullish breath,41.43,3.23,36.7,2.3,,Sell signal
2016-12-12,2016-12-12,2017-01-02,,MACD Bullish,43.15,3.39,39.97,3.0,Weekly Bearish Divergence,
2017-01-02,2017-01-02,2017-02-06,,MACD Bullish breath,42.9,2.94,40.23,2.35,Weekly Bearish Divergence,
2017-02-06,2017-02-06,2017-03-06,,MACD Bullish,46.36,4.41,41.87,3.34,Weekly Bearish Divergence,Sell signal
2017-03-06,2017-03-06,2017-04-24,,MACD Bullish breath,46.1,2.76,40.35,1.69,Weekly Bearish Divergence,Sell signal
2017-04-24,2017-04-24,2017-05-15,,MACD Bullish,47.35,3.26,43.3,2.86,Weekly Bearish Divergence,
2017-05-15,2017-05-15,2017-07-03,,MACD Bullish breath,45.78,1.47,40.55,-0.8,Weekly Bearish Divergence,
2017-07-03,2017-07-03,2017-07-24,,MACD Bearish,42.4,-0.65,40.0,-1.16,Weekly Bearish Divergence,
2017-07-24,2017-07-24,2017-08-07,,MACD Bearish breath,43.32,0.02,41.24,-0.04,Weekly Bearish Divergence,
2017-08-07,2017-08-07,2017-10-30,,MACD Bullish,64.26,10.28,41.87,3.65,Weekly Bearish Divergence,Sell signal
2017-10-30,2017-10-30,2017-11-06,,MACD Bullish breath,63.17,8.92,60.6,8.92,Weekly Bearish Divergence,
2017-11-06,2017-11-06,2017-11-27,Bullish,MACD Bullish,71.73,11.46,60.69,11.26,Weekly Bearish Divergence,
2017-11-27,2017-11-27,2017-12-04,Bullish,MACD Bullish breath,69.5,10.17,66.55,10.17,Weekly Bearish Divergence,
2017-12-04,2017-12-04,2017-12-25,Bullish,MACD Bullish,74.78,12.59,64.8,11.94,Weekly Bearish Divergence,
2017-12-25,2017-12-25,2018-02-05,Bullish,MACD Bullish breath,74.29,10.15,66.6,5.32,Weekly Bearish Divergence,
2018-02-05,2018-02-05,2018-03-05,Bullish breath,MACD Bullish breath,70.12,4.01,61.96,1.77,Sell - divergence,
2018-03-05,2018-03-05,2018-09-17,Bullish,MACD Bullish,260.98,70.2,65.22,11.2,,Buy signal
2018-09-17,2018-09-17,2018-11-05,Bullish,MACD Bullish breath,252.46,54.78,181.76,22.79,,
2018-11-05,2018-11-05,2018-11-26,Bullish breath,MACD Bullish breath,219.9,0.25,143.38,-20.91,,
2018-11-26,2018-11-26,2019-01-28,Bullish breath,MACD Bearish,155.69,-23.8,106.31,-38.23,,Waiting for confirmation : Buy
2019-01-28,2019-01-28,2019-05-20,Bullish breath,MACD Bearish breath,159.41,6.46,120.09,-27.74,,Sell signal
2019-05-20,2019-05-20,2019-09-09,Bullish breath,MACD Bearish,148.72,-0.96,96.4,-22.24,Weekly Bullish Divergence,Waiting for confirmation : Buy
2019-09-09,2019-09-09,2019-11-04,Bullish breath,MACD Bearish breath,113.0,-6.45,95.1,-16.47,Weekly Bullish Divergence,Waiting for confirmation : Buy
2019-11-04,2019-11-04,2019-12-02,Bullish breath,MACD Bearish,113.62,-19.05,66.5,-24.1,Weekly Bullish Divergence,Waiting for confirmation : Buy
2019-12-02,2019-12-02,2020-01-27,Bullish breath,MACD Bearish breath,119.99,6.68,84.31,-15.62,Weekly Bullish Divergence,Waiting for confirmation : Buy
