Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,44.72,,35.53,,None,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,50.1,5.95,38.8,3.59,None,
2017-11-01,2017-11-01,2018-02-01,Bullish,MACD Bullish,55.5,9.49,46.55,7.1,None,
2018-02-01,2018-02-01,2018-11-01,Bullish breath,MACD Bullish breath,51.0,3.72,32.02,-2.71,None,Waiting for confirmation : Buy
2018-11-01,2018-11-01,2019-01-01,Bearish,MACD Bearish,39.3,-3.03,33.57,-3.72,,
2019-01-01,2019-01-01,2019-02-01,Bearish,MACD Bearish breath,45.61,-0.34,36.03,-0.34,,
2019-02-01,2019-02-01,2019-04-01,Bullish breath,MACD Bearish breath,46.69,1.54,40.99,0.71,,
2019-04-01,2019-04-01,2019-12-01,Bullish,MACD Bullish,76.83,18.55,44.0,4.61,,
2019-12-01,2019-12-01,2020-01-01,Bullish breath,MACD Bullish breath,67.31,12.19,60.43,12.19,,
2020-01-01,2020-01-01,2020-02-01,Bullish,MACD Bullish,76.38,14.08,60.84,14.08,,
2020-02-01,2020-02-01,2020-06-01,Bullish breath,MACD Bullish breath,78.43,11.24,25.24,-1.97,,
2020-06-01,2020-06-01,2020-10-01,Bullish,MACD Bullish,111.99,34.77,66.28,12.56,,
2020-10-01,2020-10-01,2020-11-01,Bullish breath,MACD Bullish,117.06,26.63,85.54,26.63,,
2020-11-01,2020-11-01,2020-12-01,Bullish,MACD Bullish,98.74,23.18,83.37,23.18,,
2020-12-01,2020-12-01,2021-03-01,Bullish breath,MACD Bullish breath,97.94,17.6,78.0,12.51,,
2021-03-01,2021-03-01,2021-04-01,Bullish,MACD Bullish breath,94.02,14.93,79.8,14.93,,
2021-04-01,2021-04-01,2021-06-01,Bullish,MACD Bullish,120.19,24.52,91.41,21.66,,
2021-06-01,2021-06-01,2021-07-01,Bullish breath,MACD Bullish breath,109.0,19.15,91.53,19.15,,
2021-07-01,2021-07-01,2021-09-01,Bullish,MACD Bullish,115.62,23.95,86.67,22.13,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish breath,115.0,17.71,96.99,17.71,,
2021-10-01,2021-10-01,2021-11-01,Bullish,MACD Bullish breath,113.42,19.16,96.0,19.16,,
2021-11-01,2021-11-01,2022-01-01,Bullish,MACD Bullish,125.01,24.83,104.6,20.88,,
2022-01-01,2022-01-01,2022-08-01,Bullish breath,MACD Bullish breath,123.3,17.2,62.51,-9.52,,
2022-08-01,2022-08-01,2022-09-01,Bullish breath,MACD Bearish,90.27,-6.95,78.17,-6.95,,
2022-09-01,2022-09-01,2022-11-01,Bearish,MACD Bearish,81.3,-10.01,65.41,-11.04,,
2022-11-01,2022-11-01,2023-01-01,Bearish,MACD Bearish breath,97.01,0.25,71.04,-4.8,,
2023-01-01,2023-01-01,2023-02-01,Bullish breath,MACD Bearish breath,107.86,9.18,92.29,9.18,,
2023-02-01,2023-02-01,2023-09-01,Bullish,MACD Bullish,152.55,36.37,103.61,13.63,,
2023-09-01,2023-09-01,2023-11-01,Bullish breath,MACD Bullish breath,141.81,23.91,109.34,15.0,,
2023-11-01,2023-11-01,2023-12-01,Bullish,MACD Bullish breath,146.29,21.93,109.23,21.93,,
2023-12-01,2023-12-01,2024-01-01,Bullish,MACD Bullish,179.69,41.4,141.06,38.35,,
