Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,38.35,,31.69,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,49.9,3.86,35.53,0.01,,
2015-08-10,2015-08-10,2015-08-31,,MACD Bullish breath,46.25,-0.36,38.95,-1.37,,
2015-08-31,2015-08-31,2015-10-12,,MACD Bearish,42.49,-1.93,35.6,-4.14,,
2015-10-12,2015-10-12,2015-10-26,,MACD Bearish breath,41.33,-1.95,37.97,-2.62,,
2015-10-26,2015-10-26,2015-11-23,,MACD Bearish,40.65,-3.75,33.74,-5.09,,
2015-11-23,2015-11-23,2015-12-07,,MACD Bearish breath,38.16,-2.8,35.79,-3.32,,
2015-12-07,2015-12-07,2016-01-25,,MACD Bearish,37.26,-3.88,25.48,-7.01,,
2016-01-25,2016-01-25,2016-04-11,,MACD Bearish breath,38.85,1.84,26.88,-4.84,,
2016-04-11,2016-04-11,2016-04-25,,MACD Bullish,39.76,2.46,37.32,2.27,,
2016-04-25,2016-04-25,2016-05-16,,MACD Bullish breath,38.73,0.51,32.48,-1.06,,
2016-05-16,2016-05-16,2016-05-23,,MACD Bearish,35.89,-0.67,33.63,-0.67,,
2016-05-23,2016-05-23,2016-05-30,,MACD Bearish breath,37.03,0.37,34.23,0.37,,
2016-05-30,2016-05-30,2016-07-25,,MACD Bullish,40.69,3.08,34.72,0.81,,
2016-07-25,2016-07-25,2016-09-05,,MACD Bullish breath,41.22,1.43,34.26,-1.01,,
2016-09-05,2016-09-05,2016-11-14,,MACD Bearish,36.88,-0.91,29.7,-3.3,,
2016-11-14,2016-11-14,2016-12-12,,MACD Bearish breath,39.0,1.77,33.75,-0.63,,
2016-12-12,2016-12-12,2016-12-26,,MACD Bullish,38.55,1.55,35.15,1.07,,
2016-12-26,2016-12-26,2017-01-23,,MACD Bullish breath,36.7,0.36,34.1,-0.14,,
2017-01-23,2017-01-23,2017-01-30,,MACD Bullish,37.85,0.68,34.3,0.68,,
2017-01-30,2017-01-30,2017-02-20,,MACD Bullish breath,37.0,0.25,33.4,-0.49,,
2017-02-20,2017-02-20,2017-02-27,,MACD Bearish,34.85,-0.49,33.8,-0.49,,
