Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,449.95,,393.25,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,483.25,0.77,387.0,-36.83,,
2015-08-10,2015-08-10,2015-10-05,,MACD Bearish,404.9,-35.15,348.38,-43.2,,
2015-10-05,2015-10-05,2015-12-07,,MACD Bearish breath,419.48,-3.61,363.17,-33.49,,
2015-12-07,2015-12-07,2016-01-25,,MACD Bearish,399.75,-13.4,351.52,-25.74,,
2016-01-25,2016-01-25,2016-02-01,,MACD Bearish breath,379.27,-17.17,356.88,-17.17,,
2016-02-01,2016-02-01,2016-02-22,,MACD Bearish,379.59,-25.52,322.54,-34.35,Weekly Bullish Divergence,
2016-02-22,2016-02-22,2016-04-04,,MACD Bearish breath,405.82,11.55,354.0,-18.67,Weekly Bullish Divergence,
2016-04-04,2016-04-04,2016-05-16,,MACD Bullish,414.89,15.52,388.01,10.2,Weekly Bullish Divergence,
2016-05-16,2016-05-16,2016-05-23,,MACD Bullish breath,412.23,9.45,391.33,9.45,Weekly Bullish Divergence,
2016-05-23,2016-05-23,2016-05-30,,MACD Bullish,410.58,12.27,397.8,12.27,Weekly Bullish Divergence,
2016-05-30,2016-05-30,2016-06-06,,MACD Bullish breath,411.62,10.51,399.6,10.51,Weekly Bullish Divergence,
2016-06-06,2016-06-06,2016-06-13,,MACD Bullish,412.41,10.96,398.55,10.96,Weekly Bullish Divergence,
2016-06-13,2016-06-13,2016-07-04,,MACD Bullish breath,419.47,10.45,385.66,6.75,Weekly Bullish Divergence,
2016-07-04,2016-07-04,2016-09-05,,MACD Bullish,447.97,23.67,399.91,11.02,Weekly Bullish Divergence,Sell signal
2016-09-05,2016-09-05,2016-10-24,,MACD Bullish breath,441.43,15.57,397.76,-8.08,Weekly Bullish Divergence,
2016-10-24,2016-10-24,2016-11-14,,MACD Bearish,418.86,-3.67,386.9,-12.55,Weekly Bullish Divergence,
2016-11-14,2016-11-14,2016-12-05,,MACD Bearish breath,430.09,1.68,403.1,-2.18,Weekly Bullish Divergence,
2016-12-05,2016-12-05,2017-03-06,,MACD Bullish,447.57,16.24,415.03,8.43,Weekly Bullish Divergence,
2017-03-06,2017-03-06,2017-03-13,,MACD Bullish breath,439.89,12.08,431.68,12.08,Weekly Bullish Divergence,
2017-03-13,2017-03-13,2017-04-10,,MACD Bullish,455.73,17.8,434.31,15.59,Weekly Bullish Divergence,
2017-04-10,2017-04-10,2017-04-17,,MACD Bullish breath,453.54,13.88,442.65,13.88,Weekly Bullish Divergence,
2017-04-17,2017-04-17,2017-05-08,,MACD Bullish,483.86,23.15,445.88,16.32,Weekly Bearish Divergence,Sell signal
2017-05-08,2017-05-08,2017-05-22,,MACD Bullish breath,464.84,17.81,450.56,17.09,Weekly Bearish Divergence,
2017-05-22,2017-05-22,2017-06-12,,MACD Bullish,478.84,24.02,459.83,20.59,Weekly Bearish Divergence,
2017-06-12,2017-06-12,2017-08-14,,MACD Bullish breath,477.1,19.44,417.65,-14.92,Weekly Bearish Divergence,
2017-08-14,2017-08-14,2017-09-25,,MACD Bearish,429.98,-16.68,409.37,-21.95,Weekly Bearish Divergence,
2017-09-25,2017-09-25,2017-10-23,,MACD Bearish breath,434.49,-6.47,417.68,-14.29,Weekly Bearish Divergence,
2017-10-23,2017-10-23,2017-11-06,,MACD Bearish,432.02,-18.11,382.04,-25.15,Weekly Bearish Divergence,
2017-11-06,2017-11-06,2017-12-18,Bearish,MACD Bearish,408.96,-25.94,377.27,-29.75,Weekly Bearish Divergence,
2017-12-18,2017-12-18,2018-03-05,Bearish,MACD Bearish breath,430.0,8.98,373.59,-24.32,Weekly Bearish Divergence,
2018-03-05,2018-03-05,2018-03-19,Bearish,MACD Bullish,437.63,14.11,407.46,7.45,Weekly Bearish Divergence,Sell signal
2018-03-19,2018-03-19,2018-03-26,Bearish,MACD Bullish breath,418.2,-3.92,392.63,-3.92,Weekly Bearish Divergence,Sell signal
2018-03-26,2018-03-26,2018-05-28,Bearish,MACD Bearish,417.99,-3.81,358.33,-27.07,Weekly Bullish Divergence,
2018-05-28,2018-05-28,2018-07-23,Bearish,MACD Bearish breath,412.3,4.73,374.31,-16.14,Weekly Bullish Divergence,
2018-07-23,2018-07-23,2018-08-06,Bearish,MACD Bullish,413.69,5.31,397.69,4.73,Weekly Bullish Divergence,
2018-08-06,2018-08-06,2018-08-27,Bearish,MACD Bearish,411.0,-3.88,367.88,-7.16,Weekly Bullish Divergence,
2018-08-27,2018-08-27,2018-09-24,Bearish,MACD Bearish breath,412.69,4.17,389.35,-1.48,Weekly Bullish Divergence,
2018-09-24,2018-09-24,2018-10-01,Bearish,MACD Bullish,409.65,4.76,402.06,4.76,Weekly Bullish Divergence,
2018-10-01,2018-10-01,2018-10-08,Bearish,MACD Bullish breath,409.1,0.4,390.82,0.4,Weekly Bullish Divergence,
2018-10-08,2018-10-08,2018-10-29,Bearish,MACD Bearish,399.28,-11.29,352.89,-15.31,Weekly Bullish Divergence,
2018-10-29,2018-10-29,2018-11-05,Bearish,MACD Bearish breath,404.2,-5.08,376.0,-5.08,Weekly Bullish Divergence,
2018-11-05,2018-11-05,2018-11-19,Bearish breath,MACD Bearish breath,422.35,9.85,395.52,2.69,Buy - divergence,
2018-11-19,2018-11-19,2018-12-10,Bearish breath,MACD Bullish,425.62,13.99,398.02,8.93,,
2018-12-10,2018-12-10,2018-12-31,Bearish breath,MACD Bullish breath,410.45,2.01,378.24,-5.81,,
2018-12-31,2018-12-31,2019-01-14,Bearish breath,MACD Bullish,414.34,5.39,396.78,4.61,,
2019-01-14,2019-01-14,2019-02-04,Bearish breath,MACD Bullish breath,411.2,2.41,393.76,0.56,,
2019-02-04,2019-02-04,2019-03-18,Bearish breath,MACD Bullish,452.54,28.44,393.45,14.44,,Sell signal
2019-03-18,2019-03-18,2019-05-27,Bearish breath,MACD Bullish breath,443.94,17.91,404.72,-5.31,,
2019-05-27,2019-05-27,2019-07-08,Bearish breath,MACD Bearish,418.36,-10.48,382.88,-16.07,,
2019-07-08,2019-07-08,2019-07-29,Bearish breath,MACD Bearish breath,423.92,4.53,398.07,-4.27,,
2019-07-29,2019-07-29,2019-08-05,Bearish breath,MACD Bullish,470.98,17.65,421.61,17.65,Weekly Bearish Divergence,Sell signal
2019-08-05,2019-08-05,2019-09-16,Bullish,MACD Bullish,489.11,43.34,438.56,21.41,Weekly Bearish Divergence,
2019-09-16,2019-09-16,2019-10-28,Bullish,MACD Bullish breath,478.22,28.2,446.34,20.61,Weekly Bearish Divergence,
2019-10-28,2019-10-28,2019-12-02,Bullish,MACD Bullish,505.16,36.97,466.06,25.7,Weekly Bearish Divergence,
2019-12-02,2019-12-02,2020-01-06,Bullish,MACD Bullish breath,492.46,26.26,472.76,12.06,Weekly Bearish Divergence,
2020-01-06,2020-01-06,2020-02-03,Bullish breath,MACD Bullish breath,478.04,2.99,437.34,-13.68,Sell - divergence,Waiting for confirmation : Buy
2020-02-03,2020-02-03,2020-04-06,Bullish breath,MACD Bearish,449.43,-23.21,304.65,-57.16,,Waiting for confirmation : Buy
2020-04-06,2020-04-06,2020-06-01,Bullish breath,MACD Bearish breath,458.51,6.32,373.55,-34.22,,Waiting for confirmation : Buy
2020-06-01,2020-06-01,2020-06-08,Bearish,MACD Bearish breath,448.47,5.68,425.6,5.68,,
2020-06-08,2020-06-08,2020-07-13,Bearish,MACD Bearish,439.12,-10.3,384.7,-20.77,,
2020-07-13,2020-07-13,2020-07-27,Bearish,MACD Bearish breath,431.69,-0.29,393.0,-6.93,,
2020-07-27,2020-07-27,2020-10-12,Bearish,MACD Bearish,426.84,-18.35,335.37,-38.18,,
2020-10-12,2020-10-12,2020-12-21,Bearish,MACD Bearish breath,406.87,11.72,332.45,-24.54,,Sell signal
2020-12-21,2020-12-21,2021-01-25,Bearish,MACD Bullish,432.55,28.14,392.0,13.92,,Sell signal
2021-01-25,2021-01-25,2021-03-29,Bearish,MACD Bullish breath,419.74,13.11,377.7,-3.29,,
2021-03-29,2021-03-29,2021-07-26,Bearish,MACD Bearish,394.65,-2.48,298.55,-40.95,,
2021-07-26,2021-07-26,2021-10-18,Bearish,MACD Bearish breath,375.1,15.07,297.29,-33.9,,Sell signal
2021-10-18,2021-10-18,2021-11-01,Bearish,MACD Bullish,378.63,20.1,320.99,6.79,,Sell signal
2021-11-01,2021-11-01,2021-11-29,Bearish,MACD Bullish breath,353.15,-0.24,329.99,-2.67,,
2021-11-29,2021-11-29,2021-12-20,Bearish,MACD Bearish,345.47,-5.04,322.33,-10.2,,
2021-12-20,2021-12-20,2022-01-17,Bearish,MACD Bearish breath,360.77,2.34,332.05,-2.83,,
2022-01-17,2022-01-17,2022-02-28,Bearish,MACD Bearish,352.98,-1.99,296.05,-21.96,Weekly Bullish Divergence,
2022-02-28,2022-02-28,2022-05-02,Bearish,MACD Bearish breath,340.26,-1.84,309.61,-11.7,Weekly Bullish Divergence,
2022-05-02,2022-05-02,2022-06-06,Bearish breath,MACD Bearish breath,351.74,3.57,322.51,-0.38,Buy - divergence,
2022-06-06,2022-06-06,2022-07-18,Bearish,MACD Bearish,330.84,-9.77,285.6,-22.47,,
2022-07-18,2022-07-18,2022-08-22,Bearish,MACD Bearish breath,312.58,-11.49,297.86,-15.67,,
2022-08-22,2022-08-22,2022-09-05,Bearish,MACD Bearish,300.87,-17.93,280.28,-22.56,,
2022-09-05,2022-09-05,2022-11-07,Bearish,MACD Bearish breath,315.0,-1.08,283.72,-14.39,,
2022-11-07,2022-11-07,2022-11-28,Bearish breath,MACD Bearish breath,318.32,4.65,296.9,-2.72,,
2022-11-28,2022-11-28,2022-12-12,Bearish breath,MACD Bullish,324.55,8.92,306.0,7.48,Weekly Bearish Divergence,Sell signal
2022-12-12,2022-12-12,2023-01-02,Bearish breath,MACD Bullish breath,321.37,1.74,297.62,1.37,Weekly Bearish Divergence,
2023-01-02,2023-01-02,2023-02-20,Bearish breath,MACD Bullish,370.59,29.87,310.9,12.55,Weekly Bearish Divergence,Sell signal
2023-02-20,2023-02-20,2023-02-27,Bearish breath,MACD Bullish breath,343.89,18.52,334.36,18.52,Weekly Bearish Divergence,
2023-02-27,2023-02-27,2023-03-06,Bearish breath,MACD Bullish,353.75,21.05,340.72,21.05,Weekly Bearish Divergence,
2023-03-06,2023-03-06,2023-03-20,Bearish breath,MACD Bullish breath,354.7,15.87,334.88,14.9,Weekly Bearish Divergence,
2023-03-20,2023-03-20,2023-05-01,Bearish breath,MACD Bullish,400.91,37.99,346.91,18.18,Weekly Bearish Divergence,Sell signal
2023-05-01,2023-05-01,2023-06-05,Bullish,MACD Bullish,409.91,41.37,387.16,37.57,Weekly Bearish Divergence,
2023-06-05,2023-06-05,2023-07-03,Bullish,MACD Bullish breath,411.55,36.54,396.07,28.93,Weekly Bearish Divergence,
2023-07-03,2023-07-03,2023-09-04,Bullish,MACD Bullish,475.94,57.69,402.01,35.48,Weekly Bearish Divergence,
2023-09-04,2023-09-04,2023-10-30,Bullish,MACD Bullish breath,490.44,43.94,436.9,20.7,Weekly Bearish Divergence,
2023-10-30,2023-10-30,2024-01-01,Bullish,MACD Bullish,578.33,75.58,469.68,38.56,,Buy signal
2024-01-01,2024-01-01,2024-01-08,Bullish,MACD Bullish breath,558.0,61.76,539.83,61.76,,
2024-01-08,2024-01-08,2024-01-22,Bullish,MACD Bullish,599.04,75.56,550.01,65.25,,
2024-01-22,2024-01-22,2024-01-29,Bullish,MACD Bullish breath,599.61,62.21,557.38,62.21,,
2024-01-29,2024-01-29,,Bullish,MACD Bullish,596.8,65.65,551.58,65.65,,
