Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,14.94,,12.89,,None,
2017-09-01,2017-09-01,2017-11-01,,MACD Bearish breath,7.07,-1.44,6.21,-1.5,None,
2017-11-01,2017-11-01,2018-09-01,Bearish breath,MACD Bearish breath,9.4,0.39,6.25,-1.24,None,
2018-09-01,2018-09-01,2018-12-01,Bearish breath,MACD Bearish,8.15,-0.17,6.35,-0.9,None,
2018-12-01,2018-12-01,2019-02-01,Bearish,MACD Bearish,6.68,-1.27,5.12,-1.35,,
2019-02-01,2019-02-01,2019-04-01,Bearish,MACD Bearish breath,7.72,-0.68,6.49,-0.7,,
2019-04-01,2019-04-01,2019-09-01,Bearish breath,MACD Bearish breath,7.75,-0.35,6.32,-0.57,,
2019-09-01,2019-09-01,2020-10-01,Bearish,MACD Bearish,6.88,-0.8,2.19,-2.69,,
2020-10-01,2020-10-01,2021-01-01,Bearish,MACD Bearish breath,3.29,-1.81,2.78,-1.98,,
2021-01-01,2021-01-01,2021-07-01,Bearish breath,MACD Bearish breath,7.18,1.26,2.92,-1.21,,
2021-07-01,2021-07-01,2022-06-01,Bullish,MACD Bullish,20.72,8.18,6.5,1.68,,
2022-06-01,2022-06-01,2022-07-01,Bullish breath,MACD Bullish breath,20.18,5.06,12.1,5.06,,
2022-07-01,2022-07-01,2022-09-01,Bullish,MACD Bullish breath,17.99,5.57,11.25,5.56,,
2022-09-01,2022-09-01,2023-11-01,Bullish breath,MACD Bullish breath,18.49,4.3,10.03,-0.65,,
2023-11-01,2023-11-01,2023-12-01,Bullish breath,MACD Bearish,10.26,-2.43,6.59,-2.43,,Waiting for confirmation : Buy
2023-12-01,2023-12-01,2024-01-01,Bearish,MACD Bearish,7.74,-3.84,5.01,-4.69,,Waiting for confirmation : Buy
