Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,5.19,,4.77,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,5.9,0.09,4.74,-0.3,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bearish breath,5.99,0.31,5.67,0.31,,
2015-08-17,2015-08-17,2015-12-14,,MACD Bullish,8.45,1.56,5.0,0.16,,Sell signal
2015-12-14,2015-12-14,2016-02-22,,MACD Bullish breath,8.48,1.32,6.19,-0.26,,
2016-02-22,2016-02-22,2016-04-25,,MACD Bullish,9.36,1.3,7.65,0.47,Weekly Bearish Divergence,
2016-04-25,2016-04-25,2016-05-09,,MACD Bullish breath,9.33,1.05,8.6,0.91,Weekly Bearish Divergence,
2016-05-09,2016-05-09,2016-06-27,,MACD Bullish,12.14,2.43,8.73,1.42,Weekly Bearish Divergence,Sell signal
2016-06-27,2016-06-27,2016-07-04,,MACD Bullish breath,11.84,2.02,11.14,2.02,Weekly Bearish Divergence,
2016-07-04,2016-07-04,2016-09-05,,MACD Bullish,15.88,3.69,11.51,2.35,Weekly Bearish Divergence,Sell signal
2016-09-05,2016-09-05,2016-09-26,,MACD Bullish breath,16.36,2.98,14.33,2.85,Weekly Bearish Divergence,
2016-09-26,2016-09-26,2016-10-10,,MACD Bullish,17.42,3.3,15.88,3.16,Weekly Bearish Divergence,
2016-10-10,2016-10-10,2016-11-07,,MACD Bullish breath,18.24,2.99,15.93,2.65,Weekly Bearish Divergence,
2016-11-07,2016-11-07,2017-01-09,,MACD Bullish,29.98,7.26,16.69,4.57,Weekly Bearish Divergence,Sell signal
2017-01-09,2017-01-09,2017-01-30,,MACD Bullish breath,27.97,5.97,24.78,5.53,Weekly Bearish Divergence,
2017-01-30,2017-01-30,2017-02-06,,MACD Bullish,28.98,6.23,26.98,6.23,Weekly Bearish Divergence,
2017-02-06,2017-02-06,2017-05-08,,MACD Bullish breath,30.23,6.04,23.79,1.06,Weekly Bearish Divergence,
2017-05-08,2017-05-08,2017-07-03,,MACD Bullish,42.12,8.49,25.58,4.06,Weekly Bearish Divergence,Sell signal
2017-07-03,2017-07-03,2017-07-10,,MACD Bullish breath,36.88,6.56,34.65,6.56,Weekly Bearish Divergence,
2017-07-10,2017-07-10,2017-08-07,,MACD Bullish,42.52,8.65,37.17,7.96,Weekly Bearish Divergence,
2017-08-07,2017-08-07,2017-09-11,,MACD Bullish breath,43.64,6.48,38.23,5.59,Weekly Bearish Divergence,
2017-09-11,2017-09-11,2017-11-06,,MACD Bullish,52.49,9.35,41.33,6.69,Weekly Bearish Divergence,Sell signal
2017-11-06,2017-11-06,2017-11-27,Bullish,MACD Bullish,54.67,10.08,50.09,9.53,Weekly Bearish Divergence,
2017-11-27,2017-11-27,2018-01-08,Bullish,MACD Bullish breath,54.51,7.12,45.15,3.23,Weekly Bearish Divergence,
2018-01-08,2018-01-08,2018-02-26,Bullish,MACD Bullish,62.99,9.67,51.0,6.78,Weekly Bearish Divergence,Buy signal
2018-02-26,2018-02-26,2018-03-12,Bullish,MACD Bullish breath,62.23,7.83,55.46,7.76,Weekly Bearish Divergence,
2018-03-12,2018-03-12,2018-03-19,Bullish,MACD Bullish,63.62,8.12,61.51,8.12,Weekly Bearish Divergence,
2018-03-19,2018-03-19,2018-04-02,Bullish,MACD Bullish breath,63.0,6.09,54.25,4.77,Weekly Bearish Divergence,
2018-04-02,2018-04-02,2018-05-07,Bullish breath,MACD Bullish breath,59.81,3.21,52.58,2.12,Sell - divergence,
2018-05-07,2018-05-07,2018-06-04,Bullish,MACD Bullish,65.12,5.9,60.06,5.07,,Buy signal
2018-06-04,2018-06-04,2018-06-18,Bullish breath,MACD Bullish,67.3,6.88,64.43,6.52,,Sell signal
2018-06-18,2018-06-18,2018-08-06,Bullish breath,MACD Bullish breath,66.45,5.27,58.31,2.71,,
2018-08-06,2018-08-06,2018-08-20,Bullish,MACD Bullish breath,65.91,2.99,60.93,1.88,,
2018-08-20,2018-08-20,2018-09-17,Bullish,MACD Bullish,71.31,6.04,59.68,4.22,,Buy signal
2018-09-17,2018-09-17,2018-09-24,Bullish,MACD Bullish breath,69.56,4.31,65.53,4.31,,
2018-09-24,2018-09-24,2018-10-01,Bullish,MACD Bullish,70.48,5.31,64.67,5.31,,
2018-10-01,2018-10-01,2018-10-29,Bullish breath,MACD Bullish breath,73.19,4.39,48.28,-6.76,,Sell signal
2018-10-29,2018-10-29,2019-01-07,Bullish breath,MACD Bearish,55.5,-6.93,31.11,-16.85,,
2019-01-07,2019-01-07,2019-04-29,Bullish breath,MACD Bearish breath,48.37,2.15,32.75,-12.78,,Sell signal
2019-04-29,2019-04-29,2019-05-06,Bullish breath,MACD Bullish,46.22,0.97,43.88,0.97,,Waiting for confirmation : Buy
2019-05-06,2019-05-06,2019-06-24,Bullish breath,MACD Bearish,45.08,-0.57,33.15,-6.42,,Waiting for confirmation : Buy
2019-06-24,2019-06-24,2019-08-05,Bullish breath,MACD Bearish breath,44.72,0.91,37.68,-2.46,,Waiting for confirmation : Buy
2019-08-05,2019-08-05,2019-08-19,Bullish breath,MACD Bearish,40.38,-1.3,36.85,-1.36,,Waiting for confirmation : Buy
2019-08-19,2019-08-19,2019-09-09,Bullish breath,MACD Bearish breath,45.27,1.37,39.75,-0.92,,Waiting for confirmation : Buy
