Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,1355.09,,1187.84,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish,2891.43,748.96,2606.76,684.52,None,
2017-10-01,2017-10-01,2018-02-01,Bullish,MACD Bullish,3700.0,1101.87,2828.0,932.66,None,
2018-02-01,2018-02-01,2019-03-01,Bullish breath,MACD Bullish breath,3250.0,683.66,2040.71,-98.89,None,
2019-03-01,2019-03-01,2019-05-01,Bullish breath,MACD Bullish,3335.23,318.28,2586.54,124.47,,
2019-05-01,2019-05-01,2020-02-01,Bullish,MACD Bullish,4058.0,705.54,3151.2,417.13,,
2020-02-01,2020-02-01,2020-07-01,Bullish breath,MACD Bullish breath,4071.13,574.23,2043.01,15.6,,
2020-07-01,2020-07-01,2020-08-01,Bullish breath,MACD Bullish,4000.0,386.28,3158.88,386.28,,
2020-08-01,2020-08-01,2021-09-01,Bullish,MACD Bullish,5332.08,1017.79,3770.02,567.16,,
2021-09-01,2021-09-01,2021-11-01,Bullish breath,MACD Bullish breath,5197.04,779.31,4750.01,694.76,,
2021-11-01,2021-11-01,2021-12-01,Bullish,MACD Bullish breath,5364.04,770.68,4844.0,770.68,,
2021-12-01,2021-12-01,2022-01-01,Bullish,MACD Bullish,5982.45,1068.41,5193.69,1068.41,,
2022-01-01,2022-01-01,2022-02-01,Bullish breath,MACD Bullish,5885.0,918.94,5001.01,918.94,,
2022-02-01,2022-02-01,2022-09-01,Bullish breath,MACD Bullish breath,5569.8,658.64,3576.01,-204.73,,
2022-09-01,2022-09-01,2022-11-01,Bullish breath,MACD Bearish,4350.25,-219.05,3816.56,-294.97,,
2022-11-01,2022-11-01,2023-01-01,Bullish breath,MACD Bearish breath,4973.0,83.19,4027.04,-4.89,,
2023-01-01,2023-01-01,2023-02-01,Bullish breath,MACD Bullish,5349.99,400.9,4519.05,400.9,,
2023-02-01,2023-02-01,2023-09-01,Bullish,MACD Bullish,6474.53,1159.97,4988.99,492.08,,
2023-09-01,2023-09-01,2023-10-01,Bullish breath,MACD Bullish,6525.0,950.04,5848.58,950.04,,
2023-10-01,2023-10-01,2023-11-01,Bullish breath,MACD Bullish breath,6280.0,583.12,5210.49,583.12,,
2023-11-01,2023-11-01,2023-12-01,Bullish,MACD Bullish breath,6356.19,708.02,5419.0,708.02,,
2023-12-01,2023-12-01,2024-02-01,Bullish,MACD Bullish,7423.73,1408.9,6105.02,1099.55,,
