Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish,Neutral,206.92,,186.17,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,209.57,8.89,182.08,-6.06,,
2015-08-10,2015-08-10,2015-08-31,,MACD Bullish,217.99,12.2,196.61,9.23,,Sell signal
2015-08-31,2015-08-31,2015-09-21,,MACD Bullish breath,210.75,4.92,197.38,3.54,,
2015-09-21,2015-09-21,2016-01-04,,MACD Bullish,253.93,23.8,204.63,6.35,,Sell signal
2016-01-04,2016-01-04,2016-02-22,,MACD Bullish breath,257.98,20.79,224.71,6.93,,
2016-02-22,2016-02-22,2016-02-29,,MACD Bullish,256.79,14.84,247.85,14.84,,
2016-02-29,2016-02-29,2016-03-07,,MACD Bullish breath,256.96,13.85,248.35,13.85,,
2016-03-07,2016-03-07,2016-04-18,,MACD Bullish,277.6,25.41,247.67,15.8,,Sell signal
2016-04-18,2016-04-18,2016-07-04,,MACD Bullish breath,272.91,14.64,234.98,-6.1,,
2016-07-04,2016-07-04,2016-07-25,,MACD Bullish,260.83,2.56,248.96,1.78,,
2016-07-25,2016-07-25,2016-08-01,,MACD Bullish breath,255.17,-3.91,236.3,-3.91,,
2016-08-01,2016-08-01,2016-09-26,,MACD Bearish,239.3,-9.25,212.69,-20.15,,
2016-09-26,2016-09-26,2016-10-03,,MACD Bearish breath,227.77,-14.83,221.57,-14.83,,
2016-10-03,2016-10-03,2016-11-07,,MACD Bearish,222.6,-17.72,200.65,-20.08,,
2016-11-07,2016-11-07,2016-11-14,,MACD Bearish breath,218.73,-15.95,206.65,-15.95,,
2016-11-14,2016-11-14,2016-11-21,,MACD Bearish,219.22,-17.8,201.7,-17.8,,
2016-11-21,2016-11-21,2017-02-27,,MACD Bearish breath,231.49,3.52,200.72,-17.24,,
2017-02-27,2017-02-27,2017-03-27,,MACD Bullish,230.68,3.84,215.64,0.76,,
2017-03-27,2017-03-27,2017-04-03,,MACD Bullish breath,224.9,-0.95,217.19,-0.95,,
2017-04-03,2017-04-03,2017-04-24,,MACD Bullish,232.21,3.53,216.06,0.28,,
2017-04-24,2017-04-24,2017-05-01,,MACD Bullish breath,229.03,-3.91,208.46,-3.91,,
2017-05-01,2017-05-01,2017-06-19,,MACD Bearish,218.99,-4.59,201.97,-8.99,,
2017-06-19,2017-06-19,2017-06-26,,MACD Bearish breath,214.96,-4.63,207.11,-4.63,,
2017-06-26,2017-06-26,2017-08-21,,MACD Bearish,215.62,-6.06,192.15,-12.12,,
2017-08-21,2017-08-21,2017-10-09,,MACD Bearish breath,219.93,2.27,196.56,-9.02,,
2017-10-09,2017-10-09,2017-10-23,,MACD Bullish,219.53,4.05,211.63,3.35,,
2017-10-23,2017-10-23,2017-11-06,,MACD Bullish breath,216.57,-0.58,198.11,-1.5,,
2017-11-06,2017-11-06,2017-11-20,Bearish,MACD Bearish,214.75,-0.28,208.8,-0.78,Weekly Bullish Divergence,
2017-11-20,2017-11-20,2017-12-04,Bearish,MACD Bullish,216.11,0.36,206.0,0.34,Weekly Bullish Divergence,
2017-12-04,2017-12-04,2017-12-11,Bearish,MACD Bullish breath,213.24,-0.21,207.99,-0.21,Weekly Bullish Divergence,
2017-12-11,2017-12-11,2018-02-19,Bearish,MACD Bearish,215.45,-0.15,180.48,-14.44,Weekly Bullish Divergence,
2018-02-19,2018-02-19,2018-04-16,Bearish,MACD Bearish breath,204.75,-2.23,185.77,-10.09,Weekly Bullish Divergence,
2018-04-16,2018-04-16,2018-04-23,Bearish,MACD Bearish,199.57,-4.61,192.21,-4.61,Weekly Bullish Divergence,
2018-04-23,2018-04-23,2018-05-14,Bearish,MACD Bearish breath,213.92,5.89,192.02,-1.24,Weekly Bullish Divergence,Sell signal
2018-05-14,2018-05-14,2018-06-04,Bearish,MACD Bullish,212.87,6.46,201.84,3.85,Weekly Bullish Divergence,Sell signal
2018-06-04,2018-06-04,2018-07-23,Bearish breath,MACD Bullish,234.9,18.21,211.33,8.86,Buy - divergence,Sell signal
2018-07-23,2018-07-23,2018-09-24,Bearish breath,MACD Bullish breath,225.29,8.18,201.05,-5.06,,
2018-09-24,2018-09-24,2018-11-05,Bearish breath,MACD Bearish,211.5,-6.85,194.09,-9.93,,
2018-11-05,2018-11-05,2018-12-17,Bearish breath,MACD Bearish breath,216.7,3.84,198.53,-4.16,,
2018-12-17,2018-12-17,2019-01-21,Bearish breath,MACD Bearish,209.33,-2.11,193.89,-6.3,Weekly Bullish Divergence,
2019-01-21,2019-01-21,2019-02-18,Bearish breath,MACD Bearish breath,213.14,2.17,198.42,-2.1,Weekly Bullish Divergence,
2019-02-18,2019-02-18,2019-02-25,Bearish breath,MACD Bearish,208.22,-1.46,199.53,-1.46,Weekly Bullish Divergence,
2019-02-25,2019-02-25,2019-03-04,Bearish breath,MACD Bearish breath,213.05,1.77,199.59,1.77,Weekly Bullish Divergence,
2019-03-04,2019-03-04,2019-04-01,Bearish breath,MACD Bullish,226.06,9.34,209.47,4.2,Weekly Bullish Divergence,Sell signal
2019-04-01,2019-04-01,2019-04-22,Bullish,MACD Bullish,222.48,8.91,215.75,7.15,Weekly Bullish Divergence,
2019-04-22,2019-04-22,2019-04-29,Bullish,MACD Bullish breath,219.57,6.71,212.65,6.71,Weekly Bullish Divergence,
2019-04-29,2019-04-29,2019-06-24,Bullish,MACD Bullish,247.63,19.59,215.28,9.58,Weekly Bullish Divergence,
2019-06-24,2019-06-24,2019-07-01,Bullish,MACD Bullish breath,241.8,15.07,232.38,15.07,Weekly Bullish Divergence,
2019-07-01,2019-07-01,2019-07-15,Bullish,MACD Bullish,250.39,17.79,233.77,16.34,Weekly Bearish Divergence,
2019-07-15,2019-07-15,2019-08-05,Bullish,MACD Bullish breath,251.37,15.85,238.29,12.38,Weekly Bearish Divergence,
2019-08-05,2019-08-05,2019-09-09,Bullish,MACD Bullish,266.76,22.12,242.84,18.32,Weekly Bearish Divergence,
2019-09-09,2019-09-09,2019-10-07,Bullish,MACD Bullish breath,257.94,10.84,237.21,5.3,Weekly Bearish Divergence,
2019-10-07,2019-10-07,2019-11-04,Bullish breath,MACD Bullish breath,249.03,4.44,218.24,-10.65,Sell - divergence,Waiting for confirmation : Buy
2019-11-04,2019-11-04,2019-12-23,Bullish breath,MACD Bearish,219.08,-17.33,202.84,-21.01,,Waiting for confirmation : Buy
2019-12-23,2019-12-23,2020-02-24,Bullish breath,MACD Bearish breath,233.37,3.2,208.55,-15.48,,Waiting for confirmation : Buy
2020-02-24,2020-02-24,2020-03-02,Bullish breath,MACD Bearish,229.96,-5.89,204.4,-5.89,,Waiting for confirmation : Buy
2020-03-02,2020-03-02,2020-03-09,Bearish,MACD Bearish breath,230.04,-0.83,209.94,-0.83,,
2020-03-09,2020-03-09,2020-04-06,Bearish,MACD Bearish,229.96,-5.95,155.37,-25.19,,
2020-04-06,2020-04-06,2020-04-13,Bearish,MACD Bearish breath,212.3,-14.14,193.3,-14.14,,
2020-04-13,2020-04-13,2020-05-25,Bearish,MACD Bearish,210.27,-15.03,172.11,-23.21,,
2020-05-25,2020-05-25,2020-07-20,Bearish,MACD Bearish breath,213.61,-4.51,186.36,-10.71,,
2020-07-20,2020-07-20,2020-07-27,Bearish,MACD Bearish,192.52,-9.91,184.2,-9.91,,
2020-07-27,2020-07-27,2020-08-31,Bearish,MACD Bearish breath,213.65,7.0,183.22,-4.75,,
2020-08-31,2020-08-31,2020-10-05,Bearish,MACD Bullish,231.96,17.03,208.19,8.24,,Sell signal
2020-10-05,2020-10-05,2020-11-02,Bearish breath,MACD Bullish,239.4,20.45,225.68,17.09,,Sell signal
2020-11-02,2020-11-02,2020-12-07,Bearish breath,MACD Bullish breath,240.75,15.86,217.23,6.26,,
2020-12-07,2020-12-07,2020-12-28,Bullish,MACD Bullish breath,233.26,7.49,216.2,3.99,,
2020-12-28,2020-12-28,2021-01-04,Bullish,MACD Bullish,231.26,8.52,226.42,8.52,,
2021-01-04,2021-01-04,2021-02-01,Bullish,MACD Bullish breath,231.97,5.15,212.22,2.85,,Buy signal
2021-02-01,2021-02-01,2021-07-26,Bullish,MACD Bullish,315.93,37.42,226.29,5.4,,
2021-07-26,2021-07-26,2021-08-30,Bullish,MACD Bullish breath,326.44,33.73,304.13,28.04,,
2021-08-30,2021-08-30,2021-09-06,Bullish,MACD Bullish,331.29,32.76,316.88,32.76,Weekly Bearish Divergence,
2021-09-06,2021-09-06,2021-10-18,Bullish,MACD Bullish breath,332.95,29.89,292.32,5.64,Weekly Bearish Divergence,
2021-10-18,2021-10-18,2021-11-22,Bullish,MACD Bullish,340.95,22.94,318.58,18.47,Weekly Bearish Divergence,Buy signal
2021-11-22,2021-11-22,2021-11-29,Bullish,MACD Bullish breath,335.91,18.97,327.02,18.97,Weekly Bearish Divergence,
2021-11-29,2021-11-29,2022-01-17,Bullish,MACD Bullish,377.36,40.9,325.41,20.65,Weekly Bearish Divergence,
2022-01-17,2022-01-17,2022-02-28,Bullish,MACD Bullish breath,373.19,25.97,340.08,13.74,Weekly Bearish Divergence,
2022-02-28,2022-02-28,2022-03-07,Bullish,MACD Bullish,379.85,24.8,352.56,24.8,Weekly Bearish Divergence,
2022-03-07,2022-03-07,2022-03-21,Bullish,MACD Bullish breath,380.42,22.43,351.0,20.38,Weekly Bearish Divergence,Buy signal
2022-03-21,2022-03-21,2022-04-25,Bullish,MACD Bullish,421.76,42.68,365.13,23.06,Weekly Bearish Divergence,
2022-04-25,2022-04-25,2022-05-02,Bullish,MACD Bullish breath,403.94,23.4,370.43,23.4,Weekly Bearish Divergence,
2022-05-02,2022-05-02,2022-05-23,Bullish breath,MACD Bullish breath,374.95,0.34,303.58,-28.45,Sell - divergence,Waiting for confirmation : Buy
2022-05-23,2022-05-23,2022-07-11,Bullish breath,MACD Bearish,336.51,-20.95,293.39,-36.03,,Waiting for confirmation : Buy
2022-07-11,2022-07-11,2022-09-12,Bullish breath,MACD Bearish breath,357.13,8.02,299.79,-22.78,,Waiting for confirmation : Buy
2022-09-12,2022-09-12,2022-10-24,Bullish breath,MACD Bearish,340.21,-9.56,280.83,-35.75,Weekly Bullish Divergence,Waiting for confirmation : Buy
2022-10-24,2022-10-24,2022-10-31,Bullish breath,MACD Bearish breath,312.77,-19.31,290.09,-19.31,Weekly Bullish Divergence,Waiting for confirmation : Buy
2022-10-31,2022-10-31,2022-11-07,Bullish breath,MACD Bearish,312.74,-27.69,270.86,-27.69,Weekly Bullish Divergence,Waiting for confirmation : Buy
