Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,427.45,,395.56,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,605.93,64.63,393.0,41.75,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bullish,591.84,65.64,555.5,65.64,,Sell signal
2015-08-17,2015-08-17,2015-10-19,,MACD Bullish breath,579.98,42.76,435.52,-11.42,,
2015-10-19,2015-10-19,2015-12-07,,MACD Bullish,592.59,40.39,500.66,11.52,,
2015-12-07,2015-12-07,2016-01-11,,MACD Bullish breath,563.79,17.99,490.99,-12.28,,
2016-01-11,2016-01-11,2016-03-28,,MACD Bearish,498.7,-34.4,348.96,-93.81,,
2016-03-28,2016-03-28,2016-06-13,,MACD Bearish breath,433.93,-25.67,357.34,-60.9,,
2016-06-13,2016-06-13,2016-07-04,,MACD Bearish,376.32,-43.26,329.09,-52.52,Weekly Bullish Divergence,
2016-07-04,2016-07-04,2016-08-29,,MACD Bearish breath,443.99,13.61,355.5,-33.9,Weekly Bullish Divergence,Sell signal
2016-08-29,2016-08-29,2016-09-12,,MACD Bearish,405.99,-4.79,384.01,-10.11,Weekly Bullish Divergence,
2016-09-12,2016-09-12,2016-10-03,,MACD Bearish breath,424.35,2.73,384.27,-1.89,Weekly Bullish Divergence,
2016-10-03,2016-10-03,2016-11-07,,MACD Bearish,407.79,-4.64,325.35,-36.59,Weekly Bullish Divergence,
2016-11-07,2016-11-07,2016-12-05,,MACD Bearish breath,452.96,2.28,344.19,-7.41,Weekly Bullish Divergence,
2016-12-05,2016-12-05,2016-12-19,,MACD Bearish,396.68,-10.51,348.82,-11.57,Weekly Bullish Divergence,
2016-12-19,2016-12-19,2016-12-26,,MACD Bearish breath,383.28,-8.37,361.95,-8.37,Weekly Bullish Divergence,
2016-12-26,2016-12-26,2017-02-13,,MACD Bearish,391.49,-13.34,340.09,-23.76,Weekly Bullish Divergence,
2017-02-13,2017-02-13,2017-04-10,,MACD Bearish breath,401.21,4.86,355.0,-12.12,Weekly Bullish Divergence,
2017-04-10,2017-04-10,2017-04-24,,MACD Bearish,382.89,-1.04,363.39,-3.39,Weekly Bullish Divergence,
2017-04-24,2017-04-24,2017-05-01,,MACD Bearish breath,393.5,3.48,360.0,3.48,Weekly Bullish Divergence,
2017-05-01,2017-05-01,2017-07-31,,MACD Bullish,543.55,72.22,388.22,23.78,Weekly Bullish Divergence,Sell signal
2017-07-31,2017-07-31,2017-10-23,,MACD Bullish breath,505.49,40.69,426.47,-10.59,Weekly Bullish Divergence,
2017-10-23,2017-10-23,2017-11-06,,MACD Bearish,437.9,-23.65,394.56,-29.16,Weekly Bullish Divergence,
2017-11-06,2017-11-06,2017-12-04,Bearish breath,MACD Bearish,432.5,-32.28,353.14,-47.38,Weekly Bullish Divergence,
